0,1,2,3,4,5,6,7,8,9,10
35,1,2.0,NYSE_E_2023.pdf,304,179,0,What is the overall count of species recorded on the national conservation list that have habitats in regions impacted by the organization's activities in 2023?,6,,
36,1,,NYSE_E_2023.pdf,305,163,0,What was the overall figure for direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2023?,38.69,,
37,1,,NYSE_E_2023.pdf,305,163,0,What was the amount of CO2 equivalent emissions from indirect energy use (Scope 2) in the year 2023?,0.73,,
38,1,2.0,NYSE_E_2023.pdf,305,163,0,What was the total amount of biofuels sold in ktonnes during the year 2021?,585,,
39,1,2.0,NYSE_E_2023.pdf,305,163,0,What were the research and development expenses in million euros for the year 2022?,164,,
40,1,2.0,NYSE_E_2023.pdf,305,163,0,What was the number of patent application first filings in 2021?,23,,
41,1,,NYSE_E_2023.pdf,305,163,0,What was the total direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2022?,39.39,,
42,1,,NYSE_E_2023.pdf,305,163,0,What was the overall figure for indirect GHG emissions (Scope 2) in million tonnes of CO2 equivalent for the year 2021?,0.81,,
43,1,1.0,NYSE_E_2023.pdf,305,163,0,What was the amount of indirect GHG emissions in million tonnes of CO2 equivalent resulting from energy use (Scope 2) in 2022?,0.79,,
44,1,,NYSE_E_2023.pdf,305,163,0,What was the total direct methane emissions (Scope 1) measured in thousands of tonnes for the year 2023?,39.1,,
45,1,1.0,NYSE_E_2023.pdf,305,163,0,What was the overall electricity generation from renewable sources in GWh for the year 2022?,2863,,
46,1,,NYSE_E_2023.pdf,305,162,0,What is the value of the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2023?,8.9,,
47,1,,NYSE_E_2023.pdf,305,162,0,What was the value of the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2022?,9.9,,
48,1,,NYSE_E_2023.pdf,305,162,0,What was the upstream Net Carbon Footprint (Scope 1+2) measured in million tonnes CO2eq. for the year 2021?,11,,
49,1,,NYSE_E_2023.pdf,305,162,0,What is the value of the Net Carbon Footprint Eni (Scope 1+2) for 2023 expressed in million tonnes of CO2 equivalent?,26.1,,
50,1,,NYSE_E_2023.pdf,305,162,0,What was the value of the Net Carbon Footprint for Eni (Scope 1+2) in million tonnes CO2 equivalent for the year 2022?,29.9,,
51,1,,NYSE_E_2023.pdf,305,162,0,What was the value of the Net Carbon Footprint for Eni (Scope 1+2) in million tonnes CO2 equivalent for the year 2021?,33.6,,
52,1,,NYSE_E_2023.pdf,305,162,0,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) measured in million tonnes of CO2 equivalent for the year 2023?,398,,
53,1,,NYSE_E_2023.pdf,305,162,0,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) measured in million tonnes CO2 equivalent for the year 2022?,419,,
54,1,,NYSE_E_2023.pdf,305,162,0,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) measured in million tonnes of CO2 equivalent for the year 2021?,456,,
55,1,,NYSE_E_2023.pdf,305,162,0,What was the value of Net Carbon Intensity (Scope 1+2+3) measured in gCO2eq./MJ for the year 2023?,65.6,,
56,1,,NYSE_E_2023.pdf,305,162,0,What was the value of Net Carbon Intensity (Scope 1+2+3) measured in gCO2eq./MJ for the year 2022?,66.3,,
57,1,,NYSE_E_2023.pdf,305,162,0,What was the value of Net Carbon Intensity (Scope 1+2+3) measured in gCO2eq./MJ for the year 2021?,66.5,,
58,1,2.0,NYSE_E_2023.pdf,305,162,0,What was the installed capacity for renewable energy in megawatts in 2023?,3056,,
59,1,2.0,NYSE_E_2023.pdf,305,162,0,What was the installed capacity for renewable energy in megawatts in 2022?,2256,,
60,1,2.0,NYSE_E_2023.pdf,305,162,0,What was the installed capacity for renewable energy in megawatts in 2021?,1188,,
61,1,2.0,NYSE_E_2023.pdf,305,162,0,What is the biorefinery capacity measured in million tonnes per year for the year 2023?,1.65,,
62,1,2.0,NYSE_E_2023.pdf,305,162,0,What was the biorefinery capacity measured in million tonnes per year for the year 2022?,1.1,,
63,1,2.0,NYSE_E_2023.pdf,305,162,0,What was the biorefineries' capacity in million tonnes per year for the year 2021?,1.1,,
64,1,,NYSE_E_2023.pdf,305,24,0,What was the upstream net carbon footprint (Scope 1+2) measured in mmtonnes CO2eq for the year 2023?,8.9,,
65,1,,NYSE_E_2023.pdf,305,24,0,What was Eni's net carbon footprint (Scope 1+2) in mmtonnes CO2eq for the year 2022?,29.9,,
66,1,,NYSE_E_2023.pdf,305,24,0,What were the indirect greenhouse gas emissions (Scope 3) excluding those from purchases from other firms in tonnes of CO2 equivalent for the year 2023?,174,,
67,1,,NYSE_E_2023.pdf,305,24,0,What were the total GHG emissions (Scope 1+2+3) measured in tonnes of CO2 equivalent for the year 2022?,194,,
68,1,,NYSE_E_2023.pdf,305,24,0,What were the total lifecycle GHG emissions (Scope 1+2+3) in metric tonnes of CO2 equivalent for the year 2021?,456,,
69,1,,NYSE_E_2023.pdf,305,24,0,What was the value of Net Carbon Intensity (Scope 1+2+3) measured in gCO2eq./MJ for the year 2023?,65.6,,
70,1,,NYSE_E_2023.pdf,305,24,0,What were the direct greenhouse gas emissions (Scope 1) measured in mmtonnes CO2 equivalent for the year 2022?,39.39,,
71,1,,NYSE_E_2023.pdf,305,24,0,What was the amount of indirect GHG emissions (Scope 2) measured in tonnes of CO2 equivalent for the year 2023?,0.73,,
72,1,,NYSE_E_2023.pdf,305,24,0,What were the methane direct emissions (Scope 1) in Ktonnes CH4 for the year 2021?,54.5,,
73,1,2.0,NYSE_E_2023.pdf,305,92,0,"What was the total recordable incident rate (TRIR) for the year 2023, calculated as total recordable injuries divided by worked hours and then multiplied by 1,000,000?",0.83,,
74,1,2.0,NYSE_E_2023.pdf,305,92,0,"What was the volume of retail gas sales in 2023, expressed in bcm?",6.06,,
75,1,2.0,NYSE_E_2023.pdf,305,92,0,"What were the retail electricity sales to final consumers in 2023, expressed in TWh?",17.98,,
76,1,2.0,NYSE_E_2023.pdf,305,92,0,"What was the number of retail/business customers in 2023, expressed in millions of POD?",10.11,,
77,1,2.0,NYSE_E_2023.pdf,305,92,0,"What was the number of EV charging points in 2023, expressed in thousands?",19,,
78,1,2.0,NYSE_E_2023.pdf,305,92,0,"What was the amount of energy generated from renewable sources in 2023, expressed in TWh?",3.98,,
79,1,2.0,NYSE_E_2023.pdf,305,92,0,"What was the renewable energy installed capacity at the end of the period in 2023, expressed in gigawatts?",3,,
80,1,2.0,NYSE_E_2023.pdf,305,92,0,"What were the open market power sales for the year 2023, expressed in TWh?",19.88,,
81,1,2.0,NYSE_E_2023.pdf,305,92,0,What was the total number of employees at the end of the year in 2023?,3018,,
82,1,,NYSE_E_2023.pdf,305,92,0,"What was the amount of direct GHG emissions (Scope 1) recorded in 2023, expressed in mmtonnes CO2eq?",9.36,,
83,1,,NYSE_E_2023.pdf,305,92,0,"What was the amount of direct GHG emissions (Scope 1) per unit of equivalent electricity generated (Eni Power) in 2023, expressed in gCO2eq/kWheq?",389,,
84,1,,NYSE_E_2023.pdf,305,84,0,What were the direct GHG emissions (Scope 1) for the year 2023 expressed in mmtonnes of CO2 equivalent?,5.69,,
85,1,,NYSE_E_2023.pdf,305,84,0,What was the amount of direct CO2 equivalent emissions (Scope 1) in tonnes for the year 2022?,6,,
86,1,,NYSE_E_2023.pdf,305,84,0,What were the Scope 1 direct greenhouse gas emissions in 2021 measured in mmtonnes of CO2 equivalent?,6.72,,
87,1,,NYSE_E_2023.pdf,305,84,0,What is the proportion of direct GHG emissions (Scope 1) to refinery throughputs for the year 2023 expressed in tonnes CO2 equivalent per ktonnes?,232,,
88,1,,NYSE_E_2023.pdf,305,84,0,What was the proportion of direct greenhouse gas emissions (Scope 1) to refinery throughputs in 2022 expressed in tonnes of CO2 equivalent per ktonnes?,233,,
89,1,,NYSE_E_2023.pdf,305,84,0,What was the ratio of direct GHG emissions (Scope 1) to refinery throughputs in 2021 expressed in tonnes of CO2 equivalent per ktonnes?,228,,
90,1,,NYSE_E_2023.pdf,306,178,0,What was the overall amount of waste generated from production processes in 2023 (in million tonnes)?,3.4,,
91,1,3.0,NYSE_E_2023.pdf,306,178,0,What was the amount of hazardous waste produced in 2023 (in million tonnes)?,2.1,,
92,1,3.0,NYSE_E_2023.pdf,306,178,0,What was the total amount of non-hazardous waste produced in 2023 (in million tonnes)?,1.3,,
93,1,,NYSE_E_2023.pdf,306,178,0,What was the overall amount of waste allocated for disposal in 2023 (in million tonnes)?,2.8,,
94,1,,NYSE_E_2023.pdf,306,178,0,What was the volume of waste that was recycled in 2021 measured in million tonnes?,0.2,,
95,1,3.0,NYSE_E_2023.pdf,306,178,0,What was the volume of hazardous waste that was recycled in 2021 measured in million tonnes?,0,,
96,1,3.0,NYSE_E_2023.pdf,306,178,0,What was the volume of non-hazardous waste that was recycled in 2021 measured in million tonnes?,0.2,,
97,1,3.0,NYSE_E_2023.pdf,306,178,0,What was the amount of hazardous waste allocated for disposal in 2023 (in million tonnes)?,1.9,,
98,1,3.0,NYSE_E_2023.pdf,306,178,0,What is the total amount of non-hazardous waste allocated for disposal in 2023 (in million tonnes)?,0.9,,
99,1,,NYSE_E_2023.pdf,308,184,0,What is the overall count of suppliers evaluated for social responsibility factors in 2023?,6471,,
100,1,3.0,NYSE_E_2023.pdf,308,184,0,What was the number of suppliers noted for critical issues or improvement needs in 2022?,659,,
101,1,3.0,NYSE_E_2023.pdf,308,184,0,How many suppliers did Eni end relations with in the year 2021?,34,,
102,1,,NYSE_E_2023.pdf,308,184,0,What was the proportion of newly evaluated suppliers based on social criteria in the year 2023?,100,,
103,1,2.0,continental-ag_2023.pdf,301,49,0,What percentage of waste was allocated for recovery in the year 2023?,87,,
104,1,2.0,continental-ag_2023.pdf,301,49,0,What percentage represented the waste for recovery quota in the year 2022?,85,,
105,1,,continental-ag_2023.pdf,305,47,0,What were the direct CO2 emissions (Scope 1) measured in millions of metric tons of CO2 for the year 2023?,0.69,,
106,1,,continental-ag_2023.pdf,305,47,0,What were the direct CO2 emissions (Scope 1) measured in millions of metric tons of CO2 for the year 2022?,0.76,,
107,1,,continental-ag_2023.pdf,305,47,0,What were the Scope 2 indirect CO2 emissions measured in millions of metric tons for the year 2023?,0.21,,
108,1,,continental-ag_2023.pdf,305,47,0,What were the Scope 2 indirect CO2 emissions measured in millions of metric tons for the year 2022?,0.23,,
109,1,,continental-ag_2023.pdf,305,47,0,What were the total CO2 emissions (Scopes 1 and 2) in millions of metric tons for the year 2023?,0.89,,
110,1,,continental-ag_2023.pdf,305,47,0,What were the total CO2 emissions (Scopes 1 and 2) in millions of metric tons for the year 2022?,0.99,,
111,1,,continental-ag_2023.pdf,306,49,0,What percentage of waste was designated for recovery in the year 2023?,87,,
112,1,,continental-ag_2023.pdf,306,49,0,What was the waste recovery percentage in the year 2022?,85,,
113,1,,continental-ag_2023.pdf,308,50,0,"What was the total count of valid supplier self-assessment questionnaires available on December 31, 2023?",1291,,
114,1,,continental-ag_2023.pdf,308,50,0,"What was the overall count of valid supplier self-assessment questionnaires accessible on December 31, 2022?",1009,,
115,1,,OTC_ENAKF_2023.pdf,301,48,0,What was the total non-hazardous waste produced in kilotons during the year 2023?,496.1,,
116,1,,OTC_ENAKF_2023.pdf,301,48,0,What was the amount of non-hazardous waste documented in 2022 measured in kilotons?,381.3,,
117,1,,OTC_ENAKF_2023.pdf,301,48,0,What was the total quantity of non-hazardous waste in kilotons for the year 2021?,428,,
118,1,,OTC_ENAKF_2023.pdf,301,48,0,What was the amount of materials recovered in kilotons for the year 2023?,467,,
119,1,,OTC_ENAKF_2023.pdf,301,48,0,What was the amount of recovered materials in kilotons for the year 2022?,364.1,,
120,1,,OTC_ENAKF_2023.pdf,301,48,0,What was the quantity of waste recovered in kilotons for the year 2021?,410.1,,
121,1,,OTC_ENAKF_2023.pdf,301,48,0,What was the quantity of waste that was disposed of in 2023 measured in kilotons?,29.1,,
122,1,,OTC_ENAKF_2023.pdf,301,48,0,What was the amount of waste disposed of in 2022 measured in kilotons?,17.3,,
123,1,,OTC_ENAKF_2023.pdf,301,48,0,What was the quantity of waste disposed of in 2021 measured in kilotons?,17.9,,
124,1,,OTC_ENAKF_2023.pdf,301,48,1,What was the quantity of hazardous waste measured in kilotons for the year 2023?,205.4,,
125,1,,OTC_ENAKF_2023.pdf,301,48,1,What was the amount of hazardous waste documented in kilotons for the year 2022?,162.2,,
126,1,,OTC_ENAKF_2023.pdf,301,48,1,What was the total hazardous waste measured in kilotons for the year 2021?,141.3,,
127,1,,OTC_ENAKF_2023.pdf,301,48,1,What was the quantity of recovered waste in kilotons for the year 2023?,170.7,,
128,1,,OTC_ENAKF_2023.pdf,301,48,1,What was the amount recovered in kilotons for the year 2022?,107.5,,
129,1,,OTC_ENAKF_2023.pdf,301,48,1,What was the quantity of recovered waste in kilotons for the year 2021?,106.7,,
130,1,,OTC_ENAKF_2023.pdf,301,48,1,What was the quantity of waste disposed of in kilotons for the year 2023?,34.7,,
131,1,,OTC_ENAKF_2023.pdf,301,48,1,What was the amount disposed of in kilotons during the year 2022?,54.7,,
132,1,,OTC_ENAKF_2023.pdf,301,48,1,What was the quantity disposed of in kilotons during the year 2021?,34.5,,
133,1,,OTC_ENAKF_2023.pdf,301,268,0,What percentage of the total waste was recycled in the year 2023?,91,,
134,1,3.0,OTC_ENAKF_2023.pdf,301,268,0,What was the amount of non-hazardous waste disposed of in 2022 (in metric kilotons)?,17.3,,
135,1,3.0,OTC_ENAKF_2023.pdf,301,268,0,What quantity of hazardous waste was recovered in 2021 (measured in metric kilotons)?,106.7,,
136,1,,OTC_ENAKF_2023.pdf,301,268,0,What was the total amount of waste produced in 2023 (in metric kilotons)?,701.5,,
137,1,,OTC_ENAKF_2023.pdf,301,268,0,What percentage of the total waste was recycled in the year 2022?,87,,
138,1,,OTC_ENAKF_2023.pdf,301,268,0,What was the amount of low and intermediate-level radioactive waste documented in 2023 (in metric tons)?,1374.1,,
139,1,3.0,OTC_ENAKF_2023.pdf,301,268,0,What was the quantity of hazardous waste that was disposed of in 2022 (measured in metric kilotons)?,54.7,,
140,1,,OTC_ENAKF_2023.pdf,302,267,0,What was the organization's energy usage in million GJ for the year 2023?,49,,
141,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the percentage of employees employed at ISO-14001 certified business units in 2022?,75,,
142,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What percentage of employees were employed at business units that held ISO 50001 certification in 2021?,86,,
143,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the number of moderate environmental incidents recorded in 2023?,16,,
144,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,How many minor environmental incidents were documented in 2022?,287,,
145,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the number of low-level environmental incidents recorded in 2023?,506,,
146,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the amount allocated for environmental remediation and related obligations in millions for the year 2023?,402,,
147,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the amount allocated for short-term environmental remediation provisions in millions of euros for the year 2022?,84,,
148,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the long-term allocation for environmental remediation expenses in millions of euros for the year 2021?,453,,
149,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the volume of fresh water consumed - PEL in million cubic meters for the year 2023?,12.6,,
150,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the amount of fresh water sourced from water utilities in million cubic meters for the year 2023?,83.2,,
151,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the amount of groundwater used in million cubic meters in 2023?,36.6,,
152,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the volume of surface water or bank filtrate used in million cubic meters in 2023?,46.4,,
153,1,2.0,OTC_ENAKF_2023.pdf,302,267,0,What was the amount of spring water sources used in million cubic meters in 2023?,0.2,,
154,1,,OTC_ENAKF_2023.pdf,303,49,1,What was the amount of fresh water used in million cubic meters in 2023?,< 1,,
155,1,,OTC_ENAKF_2023.pdf,303,49,1,What was the amount of fresh water used in million cubic meters during the year 2022?,< 1,,
156,1,,OTC_ENAKF_2023.pdf,303,49,1,What was the amount of fresh water used in million cubic meters during the year 2021?,< 1,,
157,1,,OTC_ENAKF_2023.pdf,303,49,2,What is the value of the infrastructure leakage index (ILI) for the year 2023?,<=1.5,,
158,1,,OTC_ENAKF_2023.pdf,303,49,2,What was the value of the infrastructure leakage index (ILI) for the year 2022?,<=1.5,,
159,1,,OTC_ENAKF_2023.pdf,303,49,2,What was the value of the infrastructure leakage index (ILI) in 2021?,<=1.5,,
160,1,2.0,OTC_ENAKF_2023.pdf,303,267,0,What was the organization's energy usage in million GJ for the year 2023?,49,,
161,1,2.0,OTC_ENAKF_2023.pdf,303,267,0,What percentage of employees were employed at business units with ISO-14001 certification in 2022?,75,,
162,1,2.0,OTC_ENAKF_2023.pdf,303,267,0,What was the percentage of employees engaged in business units that held ISO 50001 certification in 2021?,86,,
163,1,2.0,OTC_ENAKF_2023.pdf,303,267,0,How many moderate environmental incidents were reported in the year 2023?,16,,
164,1,2.0,OTC_ENAKF_2023.pdf,303,267,0,What was the number of minor environmental incidents recorded in 2022?,287,,
165,1,2.0,OTC_ENAKF_2023.pdf,303,267,0,What is the total value of provisions for environmental remediation and related obligations in millions of euros for the year 2023?,402,,
166,1,2.0,OTC_ENAKF_2023.pdf,303,267,0,What was the amount allocated for short-term environmental remediation provisions in millions of euros for the year 2022?,84,,
167,1,2.0,OTC_ENAKF_2023.pdf,303,267,0,What was the long-term allocation for environmental remediation expenses in millions of euros for the year 2021?,453,,
168,1,,OTC_ENAKF_2023.pdf,303,267,0,What was the amount of fresh water used in million cubic meters during the year 2023?,12.6,,
169,1,1.0,OTC_ENAKF_2023.pdf,303,267,0,What was the volume of fresh water sourced from water utilities in million cubic meters for the year 2022?,na.,,
170,1,,OTC_ENAKF_2023.pdf,303,267,0,What was the amount of groundwater extracted in million cubic meters for the year 2023?,36.6,,
171,1,,OTC_ENAKF_2023.pdf,303,267,0,What was the volume of surface water used in million cubic meters in 2023?,46.4,,
172,1,,OTC_ENAKF_2023.pdf,303,267,0,What was the volume of spring water sources in million cubic meters for the year 2023?,0.2,,
173,1,,OTC_ENAKF_2023.pdf,303,50,0,What was the volume of fresh water withdrawn in million cubic meters for the year 2023?,203.1,,
174,1,,OTC_ENAKF_2023.pdf,303,50,0,What was the volume of fresh water discharged in million cubic meters during the year 2022?,216,,
175,1,,OTC_ENAKF_2023.pdf,303,50,0,What was the amount of fresh water used in million cubic meters during the year 2021?,53,,
176,1,,OTC_ENAKF_2023.pdf,303,50,0,What was the amount of fresh water withdrawal in million cubic meters for the year 2022?,245,,
177,1,,OTC_ENAKF_2023.pdf,303,50,0,What was the volume of fresh water discharged in million cubic meters for the year 2023?,191,,
178,1,,OTC_ENAKF_2023.pdf,303,50,0,What was the amount of fresh water consumption in million cubic meters for the year 2022?,29,,
179,1,,OTC_ENAKF_2023.pdf,305,266,0,What were the total greenhouse gas emissions measured in million metric tons (location-based) for the year 2023?,76.17,,
180,1,,OTC_ENAKF_2023.pdf,305,266,0,What was the total amount of greenhouse gas emissions (market-based) in million metric tons for the year 2022?,91.29,,
181,1,,OTC_ENAKF_2023.pdf,305,266,0,What was the total Scope 1 emissions measured in tonnes of CO2 equivalent for the year 2021?,3.71,,
182,1,,OTC_ENAKF_2023.pdf,305,266,0,What were the location-based Scope 2 greenhouse gas emissions in million metric tons of CO2 equivalents for the year 2023?,3.46,,
183,1,,OTC_ENAKF_2023.pdf,305,266,0,What were the Scope 2 emissions based on market criteria in metric tons of CO2 equivalent for the year 2022?,5.83,,
184,1,,OTC_ENAKF_2023.pdf,305,266,0,What was the amount of location-based Scope 3 emissions in million metric tons of CO2 equivalent for the year 2021?,100.38,,
185,1,,OTC_ENAKF_2023.pdf,305,266,0,What were the Scope 3 emissions based on market criteria in million metric tons of CO2 equivalent for the year 2023?,65.23,,
186,1,,OTC_ENAKF_2023.pdf,305,43,0,What were the total emissions of CO2 equivalents in million metric tons for the year 2023?,2.01,,
187,1,,OTC_ENAKF_2023.pdf,305,43,0,What was the contribution of power and heat generation to CO2 equivalent emissions in million metric tons for the year 2022?,1.9,,
188,1,,OTC_ENAKF_2023.pdf,305,43,0,What was the amount of fugitive emissions in million metric tons for the year 2021?,1.44,,
189,1,,OTC_ENAKF_2023.pdf,305,43,0,What are the CO2 equivalent emissions from vehicles owned by the company in million metric tons for the year 2023?,0.05,,
190,1,,OTC_ENAKF_2023.pdf,305,43,0,What were the total emissions of CO2 equivalents from fuel combustion in million metric tons for the year 2022?,0.05,,
191,1,,OTC_ENAKF_2023.pdf,305,43,0,What was the total amount of CO2 equivalent emissions in million metric tons for the year 2021?,3.71,,
192,1,,OTC_ENAKF_2023.pdf,305,44,0,What is the amount of power distribution losses calculated using location-based data for CO2 equivalents in million metric tons in 2023?,3.19,,
193,1,,OTC_ENAKF_2023.pdf,305,44,0,What were the location-based power distribution losses in million metric tons of CO2 equivalents for the year 2022?,3.14,,
194,1,,OTC_ENAKF_2023.pdf,305,44,0,What were the location-based power distribution losses in million metric tons of CO2 equivalents for the year 2021?,3.67,,
195,1,,OTC_ENAKF_2023.pdf,305,44,0,What is the amount of power distribution losses calculated on a market basis for CO2 equivalents in million metric tons in 2023?,5.85,,
196,1,,OTC_ENAKF_2023.pdf,305,44,0,What were the market-based power distribution losses in million metric tons of CO2 equivalents for the year 2022?,5.52,,
197,1,,OTC_ENAKF_2023.pdf,305,44,0,What were the market-based power distribution losses in million metric tons of CO2 equivalents for the year 2021?,5.56,,
198,1,,OTC_ENAKF_2023.pdf,305,44,0,What is the total CO2 equivalents in million metric tons for purchased power using location-based data in 2023?,0.27,,
199,1,,OTC_ENAKF_2023.pdf,305,44,0,What was the amount of purchased power calculated using location-based data for CO2 equivalents in million metric tons in 2022?,0.25,,
200,1,,OTC_ENAKF_2023.pdf,305,44,0,What was the amount of purchased power calculated using location-based metrics for CO2 equivalents in million metric tons in 2021?,0.23,,
201,1,,OTC_ENAKF_2023.pdf,305,44,0,What is the total CO2 equivalents in million metric tons for purchased power using a market-based approach in 2023?,0.32,,
202,1,,OTC_ENAKF_2023.pdf,305,44,0,What was the market-based purchased power for CO2 equivalents in million metric tons in 2022?,0.31,,
203,1,,OTC_ENAKF_2023.pdf,305,44,0,What was the market-based purchased power for CO2 equivalents in million metric tons in 2021?,0.17,,
204,1,,OTC_ENAKF_2023.pdf,305,44,0,What is the total CO2 equivalents in million metric tons for the year 2023 calculated using location-based data?,3.46,,
205,1,,OTC_ENAKF_2023.pdf,305,44,0,What was the total CO2 equivalents in million metric tons for the year 2022 calculated using location-based data?,3.38,,
206,1,,OTC_ENAKF_2023.pdf,305,44,0,What was the total CO2 equivalents in million metric tons for the year 2021 calculated using location-based data?,3.9,,
207,1,,OTC_ENAKF_2023.pdf,305,44,0,What is the market-based total of CO2 equivalents in million metric tons for the year 2023?,6.17,,
208,1,,OTC_ENAKF_2023.pdf,305,44,0,What was the total CO2 equivalents in million metric tons for the market-based calculation in 2022?,5.83,,
209,1,,OTC_ENAKF_2023.pdf,305,44,0,What was the total market-based CO2 equivalents in million metric tons for the year 2021?,5.73,,
