index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
111,['OTC_SU_2023.pdf'],[310],[1],302,,average,What is the average estimated total energy consumption from renewable sources in MWh for the years 2023 and 2022?,697753.5,quant
60,['NYSE_TTE_2023.pdf'],[383],[0],305,,sum,What is the sum of scope 3 GHG emissions in the last 3 years?,1144.0,quant
15,['NYSE_TTE_2023.pdf'],[381],[0],302,,sum,What is the total sum of the net primary energy consumption (in TWh) from the years 2015 to 2023?,931.0,quant
193,['OTC_ADDDF_2023.pdf'],[110],[0],301,,sum,What is the total number of pairs of shoes produced containing 'Parley Ocean Plastic' from 2021 to 2023?,45.0,quant
238,['OTC_SAPMY_2023.pdf'],[145],[0],302,,average,What is the average group-level electricity consumed from the grid in MWh for the years 2023 and 2022?,53127.0,quant
201,['NASDAQ_DASTY_2023.pdf'],[117],[0],302,,reduction_difference,What is the difference in energy consumption (MWh) from 2022 to 2023?,11548.0,quant
33,['NYSE_TTE_2023.pdf'],[619],[0],305,,reduction_difference,What is the difference between GHG emissions from Oil in 2015 compared to the emissions from Gas in the same year?,290.0,quant
137,['OTC_SU_2023.pdf'],[311],[0],302,,reduction_difference,What is the reduction in MWh in grid electricity consumption from 2021 to 2022?,41701.0,quant
247,['OTC_SAPMY_2023.pdf'],[145],[0],302,,reduction_percentage,What is the percentage reduction in full consolidated thermal energy consumed from 2022 to 2023?,80.36,quant
246,['OTC_SAPMY_2023.pdf'],[145],[0],302,,sum,"What is the total electricity consumed from the grid (in MWh) across the years 2021 to 2023, considering full consolidated values?",108432.0,quant
16,['NYSE_TTE_2023.pdf'],[381],[0],302,,increase_percentage,What is the percentage increase in the number of operated sites with annual consumption greater than 50 ktoe from 2020 to 2023?,2.38,quant
10,['NYSE_TTE_2023.pdf'],[306],[3],305,,reduction_percentage,What is the percentage reduction in the intensity of methane emissions from operated oil and gas facilities (Upstream) when comparing the values from 2021 to 2022?,15.38,quant
