index,question,value,response
21,"What is the sum of the Global Energy Efficiency Indicator (GEEI) values for the years 2015, 2019, 2020, 2021, 2022, and 2023?",527.5, 527.5
22,What is the difference between the fresh water withdrawals (excluding open loop cooling water) and the fresh water consumption in 2021?,21, 21
23,"What is the sum of the SO2 emissions, NOx emissions and NMVOC emissions for the year 2021?",133, 133
24,What is the reduction in offshore continuous water discharges hydrocarbon content from the year 2020 to 2022?,-0.1, -0.1
25,What is the increase in the percentage of sites that meet the target for offshore discharges quality from 2020 to 2021?,8, -8
26,What is the average value of onshore continuous water discharges hydrocarbon content for the years 2021 and 2022?,2.2, 2.2
27,What is the decrease in the lifecycle carbon intensity of energy products used by customers from 2022 to 2023?,1, 1
28,"What is the sum of the intensity of GHG emissions (Scope 1+2) of operated Upstream oil & gas activities for the years 2023, 2022, 2021, and 2015?",72, 72
29,What is the difference between the total Scope 3 GHG emissions and those related to Europe alone in 2015?,154, 154
30,What is the percentage decrease in the GHG emissions from Gas in 2023 compared to 2022?,4.62, 4.62
31,What is the sum of GHG emissions from Biofuels and Gas in 2022?,134, 134
32,What is the average between GHG emissions from Biofuels and Gas in 2022?,192, 67
33,What is the difference between GHG emissions from Oil in 2015 compared to the emissions from Gas in the same year?,290, 290
34,What is the sum of gas-related GHG emissions and petroleum products emissions for the year 2015?,410, 410
35,What is the percentage increase in indirect GHG emissions from gas between the years 2021 and 2023?,7.83, 7.83
36,"What is the total of the indirect GHG emissions from gas for the years 2023, 2022, 2021, and 2015?",429, 429
37,What is the average lifecycle carbon intensity of energy products sold between the years 2021 and 2023?,88.33, 88
38,"What is the difference between the indirect GHG emissions from ""Cat 1 Purchased goods and services"" in 2022 and ""Cat 9 Downstream transportation"" in the same year?",29, 29
39,"What is the total estimate of indirect GHG emissions from the categories of Purchased goods and services, Fuel-and-energy-related activities, Upstream transportation, Downstream transportation, Processing of sold products, Use of sold products, and End of life treatment of sold products for the year 2023?",410, 410
40,"What is the percentage increase in indirect GHG emissions from the category ""Cat 3 Fuel-and-energy-related activities"" when comparing the values for the years 2023 and 2022?",33.33, 33.33
41,"What is the reduction in indirect GHG emissions from the category ""Upstream transportation"" when comparing the values for the years 2022 and 2023?",1, 1
42,"What is the sum of the indirect GHG emissions for the category ""Downstream transportation"" in the years 2022 and 2023?",2, 2
43,"What is the average of the GHG emissions in Mt CO2e for ""End of life treatment of sold products"" and ""Waste generated in operations"" for the year 2023?",5.5, 5.5
44,"What is the average of the indirect GHG emissions from ""Cat 3 Fuel-and-energy-related activities"" for the years 2022 and 2023?",3.5, 3.5
45,What is the reduction in indirect GHG emissions from upstream transportation between the years 2022 and 2023?,1, 1
46,"What is the sum of indirect GHG emissions from the category ""Purchased goods and services"" for the years 2022 and 2023?",57, 57
47,What is the average of indirect GHG emissions in Mt CO2e for the upstream and downstream transportation for the year 2022?,5, 5
48,"What is the total amount of indirect GHG emissions (in Mt CO2e) for the year 2023, calculated by summing all the reported values in the table, excluding values less than 1 and any unspecified values?",414, 410
49,What is the difference between the total volume of processed waste compared to the non-hazardous waste in 2019?,287, 287
50,What is the percentage reduction in the volume of hazardous waste from 2019 to 2020?,31.25, 31.25
51,What is the percentage reduction in the volume of non-hazardous waste from 2019 to 2021?,10.67, 10.67
52,What is the reduction in the volume of hazardous waste from 2020 to 2022?,22, 22
53,What is the average waste percentage reuse from 2019 to 2023?,61.4, 61.4
54,What is the average amount of hazardous waste processed in the years 2021 and 2023?,183.5, 183.5
55,What is the average of the indirect GHG Scope 3 emissions in Mt CO2e from 2020 to 2023?,386, 386
56,What is the difference between the total Scope 3 indirect GHG emissions in 2023 and the emissions produced in Europe in the same year?,139, 139
57,What is the difference between emissions derived from petroleum and gas products in 2015?,290, 290
58,What is the percentage reduction of Scope 3 GHG emissions from 2022 to 2023?,8.74, 8.74
59,What is the average of the indirect GHG emissions in Mt CO2e from petroleum products and gas in 2019?,207.5, 205
60,What is the sum of scope 3 GHG emissions in the last 3 years?,1144, 296744
61,What is the percentage difference in indirect GHG emissions from gas in 2022 compared to the emissions from biofuels in the same year?,96.92, 3150
62,"What is the average of indirect GHG emissions from petroleum, biofuels and gas in 2023?",118.33, 118
63,What is the percentage reduction of indirect GHG emissions from petroleum products in 2023 compared to 2022?,10.63, 10.63
64,What is the percentage of GHG emissions derived from petroleum products in 2020 compared to all scope 3 emissions?,80, 80
65,What is the sum of the indirect GHG emissions from Europe in Mt CO2e for the years 2022 and 2023?,407, 407
66,What is the average reduction of indirect GHG emissions from petroleum products in the last 3 years?,27, 29
67,What is the average of the indirect GHG emissions from biofuels in 2022 and 2023?,4, 4
68,What is the difference in indirect GHG emissions from petroleum products compared to gas in the year 2023?,103, 103
69,What is the sum of the hazardous and non-hazardous waste for the year 2021?,500, 500
70,What is the average volume of non-hazardous waste processed by the company from 2019 to 2023?,330.8, 331
71,What is the increase in the volume of hazardous waste from 2022 to 2023?,26, 26
72,What is the total volume of hazardous waste processed by the company from 2019 to 2023?,1029, 1029
73,"What is the total GHG emissions intensity for 2022, combining operated upstream oil and gas activities and equity-based upstream oil and gas activities?",36, 36
74,What is the average intensity of GHG emissions of operated upstream oil and gas activities and on equity basis for the year 2023?,17.5, 17.5
75,What is the difference between the GHG emissions of operated upstream oil and gas activities and the those from upstream oil and gas activities on an equity basis for the year 2022?,-2, 2
76,What is the percentage increase in the GHG emissions of operated upstream oil & gas activities from 2021 to 2015?,23.53, -19.05
77,What is the average intensity of GHG emissions of upstream oil & gas activities on an equity basis for the years 2021 and 2023?,18.5, 18.5
78,What is the difference between the intensity of methane emissions from operated oil and gas facilities in 2023 and 2022?,0, 0.00
79,What is the percentage reduction in the intensity of methane emissions from operated oil and gas facilities when comparing the values from 2015 to 2023?,52.17, 52.17
80,What is the sum of the intensity of methane emissions from operated oil and gas facilities in 2021 and 2022?,0.24, 0.24
81,What is the sum of the net primary energy consumption in TWh for the years 2021 and 2022?,314, 314
82,What is the percentage increment in renewable energy consumption from 2020 to 2023?,50, 100
83,What is the difference in net primary energy consumption (TWh) from 2023 and 2021?,9, 9.0
84,What is the difference in the Global Energy Efficiency Indicator from the year 2020 to 2022?,5.1, 5.1
85,What is the percentage change in the Global Energy Efficiency Indicator (GEEI) from 2021 to 2022?,-2.18, -2.18
86,What is the average of the Global Energy Efficiency Indicator values for the years 2020 and 2021?,88.6, 88.6
87,What is the percentage reduction in the Global Energy Efficiency Indicator from 2015 to 2019?,3.08, 3.08
88,What is the average of the fresh water withdrawals excluding open loop cooling water and the fresh water withdrawal in water stress area for the year 2021?,77.5, 77.5
89,What is the difference in kt between the NOx and NMVOC emissions in 2021?,1, 1
90,What is the percentage reduction in offshore continuous water with hydrocarbon content from 2019 to 2020?,1.54, 1.54
91,What is the percentage increase in the number of sites that meet the target for offshore discharges quality (30 mg/l) from 2019 to 2021?,-8, -8
92,What is the sum of the onshore continuous water with hydrocarbon content for the years 2019 and 2022?,3.5, 3.5
93,What is the percentage reduction in the lifecycle carbon intensity of energy products used by customers from 2022 to 2023?,1.14, 1.14
94,What is the difference between the intensity of GHG emissions of operated upstream oil and gas activities from 2015 to 2023?,4, 4
95,What is the average of the other indirect GHG emissions in Mt CO2e from oil and gas in the year 2015?,205, 205
96,What is the difference between the GHG emissions from oil and gas in 2015?,290, 290
97,What is the difference between the amount of indirect GHG emissions from gas and those from biofuels in 2022 (in Mt CO2e)?,126, 126
98,What is the sum of indirect GHG emissions in Mt CO2e derived from petroleum products and gas in the year 2015?,351, 410
99,What is the difference in total indirect GHG emissions compared to the indirect GHG emissions produced in Europe in 2015?,154, 154
100,What is the percentage increase in indirect GHG emissions from gas products when comparing the values for the year 2023 to those from 2015?,106.67, 106.67
101,What is the difference in indirect GHG emissions from gas between the years 2022 and 2015?,70, 70
102,What is the difference in indirect GHG emissions from petroleum products in 2015 compared to gas emissions in the same year?,290, 290
103,"What is the total estimated energy consumption by source in MWh for the year 2023, calculated by summing the values for grid electricity, purchased renewable electricity, district heating, fuel oil, gas, and coal?",189522, 189522
104,What is the percentage reduction in grid electricity consumption from 2022 to 2023?,13.68, 13.68
105,"What is the average of the measured renewable electricity generated on site and sold back to the grid for the years 2023, 2022, and 2021?","2,594", 2594
106,What is the reduction in grid electricity consumption from 2021 to 2022?,41701, 41601
107,What is the percentage increase in measured renewable electricity generated from 2021 to 2023?,15.72, 15.7
108,What is the reduction in estimated total energy consumption from 2022 to 2023?,76949, 76949
109,What is the percentage reduction when comparing the estimated total energy consumption from non-renewable sources in 2022 to that in 2023?,18.65, 18.6
110,"What is the total measured energy consumption from all sources in MWh for the year 2023, calculated by summing the values related to grid electricity, purchased renewable electricity and self generated renewable electricity?",716398, 716398
111,What is the average estimated total energy consumption from renewable sources in MWh for the years 2023 and 2022?,697753.5, 695753.5
112,"What is the sum of the total water withdrawals (other than for cooling) for the years 2020, 2021, 2022, and 2023?",7821054, 7821054
113,What is the percentage reduction in groundwater water withdrawals from 2021 to 2022?,4.15, 4.15
114,What is the difference in water withdrawals from third party sources from the year 2021 to 2023?,130229, 130229
115,What is the average of the surface water and groudwater withdrawals for the year 2020?,235031.5, 234532
116,What is the difference in total water withdrawals (other than for cooling) and those for cooling in 2023?,1085779, 1085779
117,What is the average between the total water withdrawals (other than for cooling) and those for cooling in 2020?,1354116.5, 1354116.5
118,What is the average of the direct and indirect (scope 2) GHG emissions in 2023?,101116, 101116
119,What is the difference between scope 3 and scope 2 indirect GHG emissions in 2022?,60678819, 60777819
120,What is the sum of the direct and scope 3 indirect GHG emissions for the year 2023?,56890756, 56890756
121,What is the percentage reduction of the direct GHG emissions in 2023 compared to the previous year?,6, 5.48
122,What is the difference between the total scope 2 GHG emissions in 2022 and those related to grid electricity only?,60056, 60056
123,What is the average of the direct GHG emissions in TCO2e for the years 2020 to 2023?,127590, 128836.25
124,What is the difference between the direct (scope 1) GHG emissions from the year 2020 to 2021?,1670, -1670
125,What is the percentage reduction in direct GHG emissions from the year 2020 to 2023?,20.78545945, 20.74
126,What is the sum of SF GHG emissions for the years 2022 and 2023?,8660, 431409
127,What is the reduction in energy indirect (Scope 2) GHG emissions from 2020 to 2023?,55767, 55667
128,What is the percentage reduction of grid electricity (market-based) indirect GHG emissions from 2020 to 2022?,29.18, 29.15
129,"What is the sum of indirect emissions (scope 2) from renewable electricity (market-based) in TCO2e for the years 2023, 2022, 2021, and 2020?",2098, 2098
130,What is the percentage increase of the indirect emissions from district heating from the year 2020 to 2021?,27.39, 27.43
131,What is the difference between the estimated scope 2 GHG emissions of sites out of reporting perimeter in 2021 and those in 2023?,28047, 28047
132,"What is the average of the direct GHG emissions, scope 2 and scope 3 indirect emissions for the year 2023?",56980196, 18965432
133,"What is the average of the measured renewable electricity generated in MWh for the years 2023, 2022, and 2021?",2593.67, 2594
134,What is the increase in energy consumption from grid electricity between the years 2022 and 2023?,-14640, -14640
135,"What is the total estimated energy consumption in MWh for the year 2023, calculated by summing the values of grid electricity, purchased renewable electricity, district heating, fuel oil, gas, and coal?",189522, 189522
136,What is the percentage increase of measured renewable electricity generated from 2021 to 2023?,15.72, 15.7
137,"What is the reduction in grid electricity consumption from 2021 to 2022, given the values of 148720 MWh in 2021 and 107019 MWh in 2022?",41701, 41601
138,What is the percentage increase in measured renewable electricity generated from 2022 to 2023?,30.8, 30.85
139,What is the sum of the self-generated renewable electricity measured in MWh for the years 2022 and 2023?,0, 0
140,What percentage of total estimated energy consumption in 2023 came from renewable sources?,62.89, 62.9
141,What is the difference of estimated energy consumption between renewable source and non-renewable source in 2021?,15083, 13083
