index,question,value,response
14,Which company has the highest energy consumed in the last 2 years among the following companies in MWh?,OTC_SU,"OTC_SU |

| GRI          | Indicators                                                                  | Units         | 2023    | 2022    | 2021    | 2020    |
|:-------------|:----------------------------------------------------------------------------|:--------|:--------|:--------|:--------|:--------|
| nan          | Estimated coverage (% energy consumption)                                   | %             | 95%     | 95%     | 95%     | 96%     |
| nan          | ISO 50001 certified sites                                                   | #             | 128     | 132     | 140     | 150     |
| 302-1, 302-4 | Estimated total energy consumption                                          | MWh           | 1124327 | 1201276 | 1325491 | 1216845 |
| 302-1, 302-4 | of which measured energy consumption                                        | MWh           | 934805  | 979497  | 1080366 | 1034003 |
| 302-1, 302-4 | of which estimated energy consumption for sites out of reporting perimeter? | MWh           | 189522  | 221779  | 245125  | 182842  |
| 302-1, 302-4 | Estimated total energy consumption/turnover                                 | MWh/million € | 31.3    | 35.1    | 45.9    | 48.3    |
| 302-1, 302-4 | Estimated total energy productivity                                         | €/MWh         | 31932   | 28450   | 21803   | 20709   |
| 302-1, 302-4 | Estimated total improvement in energy productivity vs 2005                  | %             | 157.3%  | 129.3%  | 75.7%   | 66.9%   |
| 302-1, 302-4 | Estimated total energy consumption from renewable sources                   | MWh           | 707033  | 688474  | 670287  | UP      |
| 302-1, 302-4 | Estimated total percentage of renewable energy                              | %             | 62.9%   | 57.3%   | 50.6%   | UP      |
| 302-1, 302-4 | Estimated total energy consumption from non-renewable sources               | MWh           | 417294  | 512802  | 655204  | UP      |
| 302-1, 302-4 | Estimated total percentage of non renewable energy                          | %             | 37.1%   | 42.7%   | 49.4%   | UP      |
| 302-1, 302-4 | Measured energy consumption by source                                       | nan           | nan     | nan     | nan     | nan     |
| 302-1, 302-4 | grid electricity                                                            | MWh           | 82590   | 108263  | 132771  | 148969  |
| 302-1, 302-4 | purchased renewable electricity                                             | MWh           | 610614  | 588851  | 612752  | 585495  |
| 302-1, 302-4 | self generated renewable electricity                                        | MWh           | 23194   | 20719   | 15861   | 12464   |
| 302-1, 302-4 | district heating                                                            | MWh           | 14736   | 24519   | 33830   | 27602   |
| 302-1, 302-4 | fuel oil                                                                    | MWh           | 12991   | 6520    | 6967    | 6941    |
| 302-1, 302-4 | gas                                                                         | MWh           | 190088  | 229552  | 276954  | 251377  |
| 302-1, 302-4 | coal                                                                        | MWh           | 0       | 0       | 0       | 0       |
| 302-1, 302-4 | renewable fuel and heat                                                     | MWh           | 593     | 1073    | 1231    | 1155    |

"
15,What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"19496.0, 30490.0",19496#22603#30724#770748#727100
16,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_ADDDF, OTC_BAYZF",142293#142457
17,What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"4178.0, 21779.0",21779#21856
18,What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"0.2, 0.02",22042#32333
19,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,OTC_BAYZF,OTC_BAYZF
20,Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"axa, NYSE_AZ",31774#21598
21,Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"vivendi, OTC_ESOCF",vivendi#OTC_ESOCF
22,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in million mt CO2e?,"0.09, 23.8",23.8#92467
23,What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"112228.0, 42423.0",174336#112228
24,Which company has the highest energy consumed in the last 2 years among the following companies in MWh?,munich-re,prosiebensat1-media
25,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,3192798.0,3192798
26,Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in tCO2e?,OTC_RWNEF,OTC_RWNEF
27,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"OTC_ESOCF, NYSE_AZ",OTC_ESOCF#NYSE_AZ
28,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"OTC_SU, munich-re","munich-re#OTC_SU |

| Company name |

| OTC_SU |

| 302-1, 302-4 | Estimated total energy consumption |

| munich-re |

| 302-1, 302-4 | Estimated total energy consumption |

| "
29,What is the largest energy consumption from 2022 to 2023 among the following companies?,1201276,"1124327#1201276 |

The value of ‘#1201276#1124327’ is 1201276. |

The value of ‘#1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1201276#1124327’ is 1201276. |

The value of ‘1124327#1201276’ is 1201276. |

The value of ‘1"
30,What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"3193.0, 1110000.0","1.11#1.12 |

"
31,Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"vivendi, OTC_RWNEF",vivendi#OTC_RWNEF
32,What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"33.09, 12241.0",12241#33.09 |
33,Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"OTC_ADDDF, NYSE_AZ","92467#763578 |

The corresponding scale is: none |

"
34,Which company has the highest water consumption in the years 2023 and 2022 for the following companies in m3?,OTC_ESOCF,OTC_BAMGF
35,Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"NASDAQ_DASTY, OTC_RWNEF","RWNEF#NASDAQ_DASTY |

| Company name: NASDAQ_DASTY |

| Unnamed: 0                                                                  | 2023                                                    | 2023.1   | Unnamed: 3   | Unnamed: 4   | Unnamed: 5   | Unnamed: 6       |
|:----------------------------------------------------------------------------|:--------------------------------------------------------|:---------|:-------------|:-------------|:-------------|:-----------------|
| nan                                                                         | Workforce in-scope™                                     | Value    | 2022         | 2021         | 2019         | Target 2025-2027 |
| nan                                                                         | Environment (Sustainability Accounting Standards Board) | nan      | nan          | nan          | nan          | nan              |
| Carbon intensity — in tCO₂-eq                                               | 98%                                                     | 8.1      | 8.2          | -            | 13.5         | nan              |
| Scope 1 — in tCO₂-eq                                                        | 87%                                                     | 4178     | 4476         | 3950         | 5403         | nan              |
| Natural Gas                                                                 | 87%                                                     | 644      | 821          | 748          | 825          | nan              |
| Fuel                                                                        | 87%                                                     | 61       | 384          | 197          | -            | nan              |
| Refrigerant                                                                 | 87%                                                     | 1222     | 522          | 1032         | 315          | nan              |
| Company cars                                                                | 87%                                                     | 2251     | 2749         | 1972         | 4263         | (35%)            |
| Scope 2 — in tCO₂-eq                                                        | 100%                                                    | 3193     | 3324         | 12500        | 19695        | nan              |
| Electricity (“Market based”)                                                | 100%                                                    | 2808     | 2870         | 12029        | 19153        | nan              |
| Electricity (“Location based”)                                              | 100%                                                    | 21094    | 22929        | 21056        | 22338        | nan              |
| Urban steam and cold                                                        | 87%                                                     | 384      | 455          | 472          | 542          | nan              |
| Scope 3 — in tCO₂-eq                                                        | 99%                                                     | 179523   | 168709       | 123269       | 206044       | nan              |
| Business travel                                                             | 96%                                                     | 21012    | 21464        | 7367         | 50982        | nan              |
| Employees’ commute                                                          | 99%                                                     | 16125    | 15792        | 4624         | 26613        | (20%)            |
| Capital goods                                                               | 99%                                                     | 40794    | 35821        | 27183        | 27491        | nan              |
| Goods and services                                                          | 99%                                                     | 97471    | 91399        | 79615        | 97084        | nan              |
| Electric and electronic                                                     | 87%                                                     | 115      | 95           | 27           | 77           | nan              |
| Ordinary waste                                                              | 99%                                                     | 1704     | 1620         | 1473         | 1441         | nan              |
| Upstream emissions                                                          | 100%                                                    | 2303     | 2519         | 2980         | 2356         | nan              |
| % of suppliers in emissions w/science-based targets set                     | -                                                       | 37%      | 26%          | -            | -            | 50%              |
| Total - in tCO₂-eq                                                          | 98%                                                     | 186894   | 176510       | 139719       | 231142       | nan              |
| Scope 3 - Use of goods sold (customers “on premise”) — in tCO₂-eq           | nan                                                     | 495039   | 465870       | 463487       | -            | nan              |

"
36,Which company has the highest energy consumed in the last 4 years among the following companies in GWh?,OTC_DPSGY,deutsche-telekom-ag
37,What are the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,"8430.0, 322000.0",303#8430
38,What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"10291.0, 31774.0",10291#11228
39,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"42423.0, 200000.0","42423#65470 |

### Solution
"
40,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"7635784.0, 3130824.0",3113093#3016864
41,What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"30490.0, 19496.0",19496#30490
42,What are the top 2 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,"35.4, 6.78",35.4#45.2
43,Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"NASDAQ_DASTY, OTC_BAYZF",NASDAQ_DASTY#OTC_BAYZF
44,What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"3193.0, 200000.0","0.2#3193 |

"
45,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tons CO2e?,OTC_ADDDF,munich-re
46,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"vivendi, axa","19496#59232 |

### Table
Company name: axa

| TCO,eq                              |   2022 |   2023 | (2023 vs 2022)   |
|:------------------------------------|-------:|-------:|:-----------------|
| Scope 1                             |  11228 |  10291 | -8%              |
| Scope 2 market-based                |  19496 |  14221 | -27%             |
| Scope 2 location-based              |  22603 |  22042 | -2%              |
| Total Scopes 1 and 2 market-based   |  30724 |  24512 | -20%             |
| Total Scopes 1 and 2 location-based |  33831 |  32333 | -4%              |
| Partial Scope 3 (a)                 | 770748 | 735018 | -5%              |
| Partial Scope 3 restated (a) (b)    | 770748 | 735018 | 1.00%            |

Company name: vivendi

| TCO,eq                              |   2022 |   2023 | (2023 vs 2022)   |
|:------------------------------------|-------:|-------:|:-----------------|
| Scope 1                             |  11228 |  10291 | -8%              |
| Scope 2 market-based                |  19496 |  14221 | -27%             |
| Scope 2 location-based              |  22603 |  22042 | -2%              |
| Total Scopes 1 and 2 market-based   |  30724 |  24512 | -20%             |
| Total Scopes 1 and 2 location-based |  33831 |  32333 | -4%              |
| Partial Scope 3 (a)                 | 770748 | 735018 | -5%              |
| Partial Scope 3 restated (a) (b)    | 770748 | 735018 | 1.00%            |

"
47,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,4510000.0,"142457#4.51#16349 |

The corresponding scale is: none |

"
48,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"NYSE_AZ, axa","174336#42423 |

### Instruction
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format of """
49,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"7.64, 9.72",9.72#9.18
50,Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in MtCO2eq?,"OTC_ESOCF, munich-re",71.04#3130824
51,Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tons CO2e?,"OTC_ADDDF, OTC_BAYZF",142457#142293
52,Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"vivendi, NYSE_AZ",10291#11228
53,What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"142293.0, 37172.0",37172#59232
54,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,31774.0,31774#30953
55,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"0.02, 0.2",22042#22603
56,What is the highest energy consumed in the last 4 years among the following companies in GWh?,35056,12241
57,What is the largest energy consumption from 2022 to 2023 among the following companies?,347068,"329775 |

#### and its corresponding scale is: none"
58,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,85400000.0,85.4#61.9
59,Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"OTC_ADDDF, axa",37172#59232
60,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,munich-re,munich-re
61,Which companies have the 2 highest amounts of hazardous waste produced in 2023 (sorted in descending order) among the following companies in kt?,"NYSE_TTE, OTC_SU",NYSE_TTE#OTC_SU
62,What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"14249.0, 1110000.0",14249#18310
63,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,"axa, vivendi",vivendi#axa
64,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,"0.04, 3.28","42423#45848 |

### Solution
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format of """
65,Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"NYSE_AZ, OTC_ESOCF","92467#71.04 |

The corresponding scale is: none |

"
66,What is the largest energy consumption from 2022 to 2023 among the following companies?,35056.0,33.09#33.26
67,Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"NYSE_AZ, vivendi","vivendi#NYSE_AZ |

The corresponding scale is: none |

"
68,What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"0.02, 61.9",61.9#85.4
69,What is the highest water consumption in the years 2023 and 2022 for the following companies in million cubic meters?,6.78,5.41743e+06
70,Which companies have the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,"vivendi, NYSE_TTE","vivendi#NYSE_TTE |

"
71,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"OTC_ESOCF, NASDAQ_DASTY","ESOCF#ESOCF |

"
72,Which company has the lowest energy consumption over the last 2 years among the following companies in GWh?,NASDAQ_DASTY,deutsche-telekom-ag
73,What is the lowest energy consumption over the last 4 years among the following companies in GWh?,12241,12241
74,Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"munich-re, vivendi",vivendi#munich-re
75,What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in TCO2eq?,22042.0,22042#22603
76,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, OTC_ADDDF",OTC_ADDDF#OTC_BAYZF
77,Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"OTC_ADDDF, munich-re",3113093#779993 |
78,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"deutsche-telekom-ag, OTC_DPSGY",deutsche-telekom-ag#OTC_DPSGY
79,What is the lowest energy consumption over the last 4 years among the following companies in million kWh?,1124.33,1124327
80,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in million mt CO2e?,OTC_RWNEF,OTC_RWNEF
81,Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"OTC_BAYZF, NYSE_AZ",NYSE_AZ#OTC_BAYZF
82,What are the 2 lowest amounts of hazardous waste produced in 2023 (sorted in ascending order) among the following companies in tons?,"7573.0, 202000.0",7573#176 |
83,What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.89, 0.02",1.89#1.91
84,Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,"OTC_RWNEF, OTC_ESOCF","0.2#3.28 |

"
85,What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"34510000.0, 31774.0",34.51#56.53
86,What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"19496.0, 37172.0",19496#14221
87,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"3130824.0, 770748.0",770748#727100
88,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,30712.0,"30712#59232#42423 |

The value of ‘#30712#59232#42423 |’ is 59232."
89,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,OTC_SU,OTC_SU |
90,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,OTC_ADDDF,munich-re
91,What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in MtCO2eq?,0.1,"0.2#0.1 |

The lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in MtCO2eq is 0.2"
92,Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,OTC_ESOCF,"OTC_ESOCF |

"
93,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,munich-re,munich-re
94,Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"axa, NYSE_AZ",37172#59232
95,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,axa,axa
96,Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"munich-re, OTC_BAYZF","14249#112 |

The corresponding scale is: none |

"
97,Which companies have the top 2 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of cu.m?,"OTC_ESOCF, OTC_CRERF",OTC_CRERF#OTC_ESOCF
98,What is the highest water consumption in the years 2023 and 2022 for the following companies in m3?,12200000.0,8.2#12.2
99,What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.2","1.12#1.11 |

"
100,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,71.04,"71.04#770748#56.53#770748 |

The corresponding scale is: none |

"
101,Which company has the smallest water consumption from 2022 to 2023 among the following companies in m3?,munich-re,munich-re
102,What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,37172.0,"30490#59232 |

### | Unnamed: 0                                                                                                                                                               |   Base year 2019 |     2022 |     2023 | % 2023/2022   | Target 2025   | % 2023/Base Year   |
|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------:|---------:|---------:|:--------------|:--------------|:-------------------|
| Scope 1 GHG emissions                                                                                                                                                    |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| Gross Scope 1 GHG emissions                                                                                                                                              |          33617   |  21382   |  21598   | 1%            | -25%          | -36%               |
| Scope 2 GHG emissions                                                                                                                                                    |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| Gross Market-based Scope 2 GHG emissions                                                                                                                                 |          59232   |  37172   |  30712   | -17%          | -35%          | -48%               |
| Gross Location-based ”’ Scope 2 GHG emissions                                                                                                                            |          65470   |  45848   |  42423   | -7%%          | nan           | -35%               |
| Significant Scope 3 GHG emissions                                                                                                                                        |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| Total Gross indirect (Scope 3) GHG emissions Market-based                                                                                                                |         258541   | 185354   | 169296   | -9%           | nan           | -35%               |
| o/w GHG emissions from purchase services related to IT (Category 1)                                                                                                      |           4623   |   5234   |   5955   | 14%           | nan           | 29%                |
| o/w GHG emissions from capital goods related to IT (Category 2)                                                                                                          |          24147   |  24493   |  23430   | -4%           | nan           | -3%                |
| o/w GHG emissions from fuel and energy-related Activities (not included in Scope 1 or Scope 2) Market-based ® (Category 3)                                               |          20672   |  13324   |  11757   | -12%          | nan           | -43%               |
| o/w GHG emissions from business travelling (Category 6)                                                                                                                  |          86004   |  24831   |  57006   | 130%          | -18%          | -34%               |
| o/w GHG emissions from employee commuting (Category 7)                                                                                                                   |         123094   | 117472   |  71148   | -39%          | nan           | -42%               |
| Total Gross indirect (Scope 3) GHG emissions Location-based                                                                                                              |         259356   | 188605   | 174336   | -8%           | nan           | -33%               |
| Total GHG Emissions                                                                                                                                                      |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| Total GHG emissions Market-based ®                                                                                                                                       |         351389   | 243909   | 221606   | -9%           | nan           | -37%               |
| Total GHG emissions Location-based                                                                                                                                       |         358443   | 255836   | 238357   | -7%           | nan           | -34%               |
| Total GHG emissions of Energy, car fleet, business travel and purchase services and capital goods related to IT (excluding commuting) (used in “AXA for Progress Index”) |         228295   | 126436   | 150458   | 19%           | -20%          | -34%               |
| GHG emissions - Breakdown by Source                                                                                                                                      |            nan   |    nan   |    nan   | nan           | nan           | nan                |
| GHG emissions company’s cars                                                                                                                                             |          24939   |  17273   |  17485   | 1%            | -20%          | -30%               |
| GHG emissions from energy consumption Market-based                                                                                                                       |          88582   |  54605   |  46581   | -15%          | -35%          | -47%               |
| GHG emissions from energy consumption Location-based "
103,What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"33.09, 71.22",33.09
104,Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"NASDAQ_DASTY, OTC_ADDDF",21856#7.63578e+06
105,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"22042.0, 3280000.0",22042#22603
