Unnamed: 0,hierarchical,pdf name,gri,gri_finegrained,page nbr,table nbr,question,value,row,column
15,0,['NYSE_E_2023.pdf'],303,303-5.1,[178],[0],What was the total water consumption in 2023 in million m3?,128,23,3
16,0,['NYSE_E_2023.pdf'],303,303-5.2,[178],[0],How much total water consumption was recorded in areas with water stress in 2021 (million m3)?,34.3,24,6
17,0,['NYSE_E_2023.pdf'],303,303-4.7,[178],[0],What was the total volume of fresh water discharge in areas with water stress in 2023 in million m3?,25.2,22,3
18,0,['NYSE_E_2023.pdf'],304,304-4.1,[179],[0],What is the total number of species listed on the IUCN Red List with habitats in areas affected by the organization's operations in 2023?,1,5,4
19,0,['NYSE_E_2023.pdf'],304,304-3.1,[179],[0],How many KBAs are there in areas affected by the organization's operations in 2023?,8,8,4
20,0,['NYSE_E_2023.pdf'],304,304-3.1,[179],[0],What is the total number of Natura 2000 sites in areas affected by the organization's operations in 2023?,11,4,4
21,0,['NYSE_E_2023.pdf'],304,304-3.1,[179],[0],What is the number of Other Protected Areas in areas affected by the organization's operations in 2023?,12,7,4
22,0,['NYSE_E_2023.pdf'],304,304-3.1,[179],[0],How many Ramsar sites are there in areas affected by the organization's operations in 2023?,2,6,4
23,0,['NYSE_E_2023.pdf'],305,305-1.1,[163],[0],What was the total amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2023?,38.69,4,3
24,0,['NYSE_E_2023.pdf'],305,305-2.3,[163],[0],How many tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2023?,0.73,19,3
25,0,['NYSE_E_2023.pdf'],305,305-1.1,[163],[0],What was the amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2022?,39.39,4,5
26,0,['NYSE_E_2023.pdf'],305,305-2.3,[163],[0],What was the total amount of indirect GHG emissions (Scope 2) in million tonnes of CO2 equivalent for the year 2021?,0.81,19,6
27,0,['NYSE_E_2023.pdf'],305,305-2.3,[163],[0],How many million tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2022?,0.79,19,5
28,0,['NYSE_E_2023.pdf'],305,305-1.1,[163],[0],What was the total amount of direct methane emissions (Scope 1) in thousands of tonnes for the year 2023?,39.1,14,3
29,0,['NYSE_E_2023.pdf'],302,302-1.12,[163],[0],What was the total amount of electricity produced from renewable sources in GWh for the year 2022?,2.836,23,5
30,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3",[162],[0],What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2023?,8.9,2,3
31,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3",[162],[0],What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2022?,9.9,2,4
32,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3",[162],[0],What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2021?,11,2,5
33,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3",[162],[0],What was the Net Carbon Footprint Eni (Scope1+2) for the year 2023 in million tonnes CO2 eq.?,26.1,3,3
34,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3",[162],[0],What was the Net Carbon Footprint Eni (Scope1+2) for the year 2022 in million tonnes CO2 eq.?,29.9,3,4
35,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3",[162],[0],What was the Net Carbon Footprint Eni (Scope1+2) for the year 2021 in million tonnes CO2 eq.?,33.6,3,5
36,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3, 305-3.1",[162],[0],What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2023?,398,4,3
37,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3, 305-3.1",[162],[0],What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2022?,419,4,4
38,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3, 305-3.1",[162],[0],What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2021?,456,4,5
39,0,['NYSE_E_2023.pdf'],305,305-4.1,[162],[0],What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2023?,65.6,5,3
40,0,['NYSE_E_2023.pdf'],305,305-4.1,[162],[0],What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2022?,66.3,5,4
41,0,['NYSE_E_2023.pdf'],305,305-4.1,[162],[0],What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2021?,66.5,5,5
42,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3",[24],[0],What was the net carbon footprint upstream (Scope 1+2) in mmtonnes CO2eq for the year 2023?,8.9,2,3
43,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3",[24],[0],What was the net carbon footprint Eni (Scope 1+2) in mmtonnes CO2eq for the year 2022?,29.9,3,4
44,0,['NYSE_E_2023.pdf'],305,305-3.1,[24],[0],How much were the indirect GHG emissions (Scope 3) other than those due to purchases from other companies in tonnes of CO2 equivalent for the year 2023?,174,4,3
45,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3, 305-3.1",[24],[0],What were the net GHG emissions (Scope 1+2+3) in tonnes of CO2 equivalent for the year 2022?,194,5,4
46,0,['NYSE_E_2023.pdf'],305,"305-1.1, 305-2.3, 305-3.1",[24],[0],What were the net GHG lifecycle emissions (Scope 1+2+3) in tonnes of CO2 equivalent for the year 2021?,456,6,5
47,0,['NYSE_E_2023.pdf'],305,305-4.1,[24],[0],What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2023?,65.6,7,3
48,0,['NYSE_E_2023.pdf'],305,305-1.1,[24],[0],What were the direct GHG emissions (Scope 1) in mmtonnes CO2eq for the year 2022?,39.39,8,4
49,0,['NYSE_E_2023.pdf'],305,305-2.3,[24],[0],What were the indirect GHG emissions (Scope 2) in tonnes of CO2 equivalent for the year 2023?,0.73,9,3
50,0,['NYSE_E_2023.pdf'],305,305-7.7,[24],[0],How much were the methane direct emissions (Scope 1) in Ktonnes CH4 for the year 2021?,54.5,10,5
51,0,['NYSE_E_2023.pdf'],305,305-1.1,[92],[0],"How many direct GHG emissions (Scope 1) were reported in 2023, measured in mmtonnes CO2eq?",9.36,17,3
52,0,['NYSE_E_2023.pdf'],305,305-1.6,[92],[0],"What was the direct GHG emissions (Scope 1) per equivalent produced electricity (Eni Power) in 2023, measured in gCO2eq/kWheq?",389,18,3
53,0,['NYSE_E_2023.pdf'],305,305-1.1,[84],[0],What was the amount of direct GHG emissions (Scope 1) in 2023 measured in mmtonnes CO2 equivalent?,5.69,19,3
54,0,['NYSE_E_2023.pdf'],305,305-1.1,[84],[0],How many tonnes of CO2 equivalent were emitted directly (Scope 1) in 2022?,6,19,4
55,0,['NYSE_E_2023.pdf'],305,305-1.1,[84],[0],What were the direct GHG emissions (Scope 1) in 2021 in mmtonnes CO2 equivalent?,6.72,19,5
56,0,['NYSE_E_2023.pdf'],305,305-1.6,[84],[0],What is the ratio of direct GHG emissions (Scope 1) to refinery throughputs in 2023 in tonnes CO2 equivalent per ktonnes?,232,20,3
57,0,['NYSE_E_2023.pdf'],305,305-1.6,[84],[0],What was the ratio of direct GHG emissions (Scope 1) to refinery throughputs in 2022 in tonnes CO2 equivalent per ktonnes?,233,20,4
58,0,['NYSE_E_2023.pdf'],305,305-1.6,[84],[0],What was the direct GHG emissions (Scope 1) to refinery throughputs ratio in 2021 in tonnes CO2 equivalent per ktonnes?,228,20,5
59,0,['NYSE_E_2023.pdf'],306,306-3.1,[178],[0],What was the total weight of waste from production activities in 2023 (million of tonnes)?,3.4,41,3
60,1,['NYSE_E_2023.pdf'],306,306-3.2,[178],[0],How much hazardous waste was generated in 2023 (million of tonnes)?,0,42,3
61,1,['NYSE_E_2023.pdf'],306,306-3.3,[178],[0],What is the total weight of non-hazardous waste generated in 2023 (million of tonnes)?,1.3,43,3
62,0,['NYSE_E_2023.pdf'],306,306-5.1,[178],[0],What was the total weight of waste destined for disposal in 2023 (million of tonnes)?,2.8,47,3
63,0,['NYSE_E_2023.pdf'],306,306-4.2,[178],[0],What was the amount of recycled waste in 2021 in million of tonnes?,0.2,44,6
64,1,['NYSE_E_2023.pdf'],306,"306-3.2, 306-4.2",[178],[0],What was the amount of hazardous recycled waste in 2021 in million of tonnes?,0,45,6
65,1,['NYSE_E_2023.pdf'],306,"306-3.3, 306-4.2",[178],[0],What was the amount of non hazardous recycled waste in 2021 in million of tonnes?,0.2,46,6
66,1,['NYSE_E_2023.pdf'],306,"306-5.1, 306-3.2",[178],[0],How much hazardous waste was destined for disposal in 2023 (million of tonnes)?,1.9,48,3
67,1,['NYSE_E_2023.pdf'],306,"306-5.1, 306-3.3",[178],[0],What is the total weight of non-hazardous waste destined for disposal in 2023 (million of tonnes)?,0.9,49,3
68,0,['NYSE_E_2023.pdf'],308,308-1.1,[184],[0],What is the total number of suppliers assessed on social responsibility aspects in 2023?,6471,2,3
69,1,['NYSE_E_2023.pdf'],308,308-1.1,[184],[0],How many suppliers were identified with criticalities or areas for improvement in 2022?,659,3,4
70,1,['NYSE_E_2023.pdf'],308,308-1.1,[184],[0],What is the count of suppliers with whom Eni has terminated relations in 2021?,34,4,5
71,0,['NYSE_E_2023.pdf'],308,308-1.1,[184],[0],What percentage of new suppliers were assessed using social criteria in 2023?,100,5,3
72,0,['continental-ag_2023.pdf'],305,305-1.1,[47],[0],What were the direct CO2 emissions (Scope 1) in millions of metric tons of CO2 for the year 2023?,0.69,2,2
73,0,['continental-ag_2023.pdf'],305,305-1.1,[47],[0],What were the direct CO2 emissions (Scope 1) in millions of metric tons of CO2 for the year 2022?,0.76,2,3
74,0,['continental-ag_2023.pdf'],305,305-2.3,[47],[0],What were the indirect CO2 emissions (Scope 2) in millions of metric tons of CO2 for the year 2023?,0.21,3,2
75,0,['continental-ag_2023.pdf'],305,305-2.3,[47],[0],What were the indirect CO2 emissions (Scope 2) in millions of metric tons of CO2 for the year 2022?,0.23,3,3
76,0,['continental-ag_2023.pdf'],305,"305-1.1, 305-2.3",[47],[0],What were the total own CO2 emissions (Scopes 1 and 2) in millions of metric tons of CO2 for the year 2023?,0.89,4,2
77,0,['continental-ag_2023.pdf'],305,"305-1.1, 305-2.3",[47],[0],What were the total own CO2 emissions (Scopes 1 and 2) in millions of metric tons of CO2 for the year 2022?,0.99,4,3
78,0,['continental-ag_2023.pdf'],306,306-4.2,[49],[0],What was the percentage of waste for recovery in 2023?,87,2,2
79,0,['continental-ag_2023.pdf'],306,306-4.2,[49],[0],What was the percentage of waste for recovery in 2022?,85,2,3
80,0,['continental-ag_2023.pdf'],308,308-1.1,[50],[0],"How many valid supplier self-assessment questionnaires were available as of December 31, 2023?",1291,2,2
81,0,['continental-ag_2023.pdf'],308,308-1.1,[50],[0],"What was the total number of valid supplier self-assessment questionnaires available as of December 31, 2022?",1009,2,3
82,0,['OTC_ENAKF_2023.pdf'],306,306-3.3,[48],[0],What was the amount of non-hazardous waste generated in 2023 in kilotons?,496.1,2,2
83,0,['OTC_ENAKF_2023.pdf'],306,306-3.3,[48],[0],How much non-hazardous waste was recorded in 2022 in kilotons?,381.3,2,3
84,0,['OTC_ENAKF_2023.pdf'],306,306-3.3,[48],[0],What is the total amount of non-hazardous waste for the year 2021 in kilotons?,428,2,4
85,0,['OTC_ENAKF_2023.pdf'],301,301-2.2,[48],[0],What quantity of recovered materials was reported in 2023 in kilotons?,467,3,2
86,0,['OTC_ENAKF_2023.pdf'],301,301-2.2,[48],[0],How many kilotons of recovered materials were there in 2022?,364.1,3,3
87,0,['OTC_ENAKF_2023.pdf'],301,301-2.2,[48],[0],What was the recovery amount in kilotons for the year 2021?,410.1,3,4
88,0,['OTC_ENAKF_2023.pdf'],306,306-5.1,[48],[0],What was the disposed amount of waste in 2023 in kilotons?,29.1,4,2
89,0,['OTC_ENAKF_2023.pdf'],306,306-5.1,[48],[0],How much waste was disposed of in 2022 in kilotons?,17.3,4,3
90,0,['OTC_ENAKF_2023.pdf'],306,306-5.1,[48],[0],What was the disposed waste amount in 2021 in kilotons?,17.9,4,4
91,0,['OTC_ENAKF_2023.pdf'],306,306-3.2,[48],[1],What was the amount of hazardous waste in kilotons in 2023?,205.4,2,2
92,0,['OTC_ENAKF_2023.pdf'],306,306-3.2,[48],[1],How much hazardous waste was recorded in kilotons for the year 2022?,162.2,2,3
93,0,['OTC_ENAKF_2023.pdf'],306,306-3.2,[48],[1],What is the total amount of hazardous waste in kilotons for the year 2021?,141.3,2,4
94,0,['OTC_ENAKF_2023.pdf'],306,306-4.2,[48],[1],What was the recovered amount in kilotons in 2023?,170.7,3,2
95,0,['OTC_ENAKF_2023.pdf'],306,306-4.2,[48],[1],How much was recovered in kilotons in 2022?,107.5,3,3
96,0,['OTC_ENAKF_2023.pdf'],306,306-4.2,[48],[1],What is the recovered amount in kilotons for the year 2021?,106.7,3,4
97,0,['OTC_ENAKF_2023.pdf'],306,306-5.1,[48],[1],What was the disposed amount in kilotons in 2023?,34.7,4,2
98,0,['OTC_ENAKF_2023.pdf'],306,306-5.1,[48],[1],How much was disposed of in kilotons in 2022?,54.7,4,3
99,0,['OTC_ENAKF_2023.pdf'],306,306-5.1,[48],[1],What is the disposed amount in kilotons for the year 2021?,34.5,4,4
100,0,['OTC_ENAKF_2023.pdf'],306,306-4.2,[268],[0],What was the percentage of total waste recycled in 2023?,91,9,3
101,1,['OTC_ENAKF_2023.pdf'],306,"306-3.3, 306-5.1",[268],[0],How much non-hazardous waste was disposed of in 2022 (metric kilotons)?,17.3,4,4
102,1,['OTC_ENAKF_2023.pdf'],306,"306-3.2, 306-4.2",[268],[0],What was the amount of hazardous waste recovered in 2021 (metric kilotons)?,106.7,6,5
103,0,['OTC_ENAKF_2023.pdf'],306,306-3.1,[268],[0],How much total waste was generated in 2023 (metric kilotons)?,701.5,8,3
104,0,['OTC_ENAKF_2023.pdf'],306,306-4.2,[268],[0],What was the percentage of total waste recycled in 2022?,87,9,4
105,0,['OTC_ENAKF_2023.pdf'],306,306-3.4,[268],[0],How much low and intermediate-level radioactive waste was recorded in 2023 (metric tons)?,1374.1,10,3
106,1,['OTC_ENAKF_2023.pdf'],306,"306-3.2, 306-5.1",[268],[0],What was the amount of hazardous waste disposed of in 2022 (metric kilotons)?,54.7,7,4
107,0,['OTC_ENAKF_2023.pdf'],302,302-1.7,[267],[0],What was the energy consumption within the organization in million GJ for the year 2023?,49,2,3
108,0,['OTC_ENAKF_2023.pdf'],303,303-5.3,[49],[1],What was the fresh water consumption in million cubic meters for the year 2023?,< 1,2,2
109,0,['OTC_ENAKF_2023.pdf'],303,303-5.3,[49],[1],What was the fresh water consumption in million cubic meters for the year 2022?,< 1,2,3
110,0,['OTC_ENAKF_2023.pdf'],303,303-5.3,[49],[1],What was the fresh water consumption in million cubic meters for the year 2021?,< 1,2,3
111,0,['OTC_ENAKF_2023.pdf'],303,303-4.9,[49],[2],What is the infrastructure leakage index (ILI) for the year 2023?,<=1.5,2,2
112,0,['OTC_ENAKF_2023.pdf'],303,303-4.9,[49],[2],What was the infrastructure leakage index (ILI) in 2022?,<=1.5,2,3
113,0,['OTC_ENAKF_2023.pdf'],303,303-4.9,[49],[2],What was the infrastructure leakage index (ILI) for the year 2021?,<=1.5,2,4
114,0,['OTC_ENAKF_2023.pdf'],303,303-5.3,[267],[0],What was the fresh water consumption in million cubic meters for the year 2023?,12.6,15,3
115,0,['OTC_ENAKF_2023.pdf'],303,303-3.9,[267],[0],How much fresh water was withdrawn from water utilities in million cubic meters for the year 2022?,n.a.,16,4
116,0,['OTC_ENAKF_2023.pdf'],303,303-3.2,[267],[0],What was the groundwater withdrawal in million cubic meters for the year 2023?,36.6,17,3
117,0,['OTC_ENAKF_2023.pdf'],303,303-3.1,[267],[0],How much surface water was utilized in million cubic meters for the year 2023?,46.4,18,3
118,0,['OTC_ENAKF_2023.pdf'],303,303-3.11,[267],[0],What was the amount of spring water sources withdrawal in million cubic meters for the year 2023?,0.2,19,3
119,0,['OTC_ENAKF_2023.pdf'],303,303-3.9,[50],[0],What was the amount of fresh water withdrawal in million cubic meters for the year 2023?,203.1,2,2
120,0,['OTC_ENAKF_2023.pdf'],303,303-4.5,[50],[0],How much fresh water was discharged in million cubic meters in 2022?,216,3,3
121,0,['OTC_ENAKF_2023.pdf'],303,303-5.3,[50],[0],What was the total fresh water consumption in million cubic meters for the year 2021?,53,4,4
122,0,['OTC_ENAKF_2023.pdf'],303,303-3.9,[50],[0],What is the value of fresh water withdrawal in million cubic meters for the year 2022?,245,2,3
123,0,['OTC_ENAKF_2023.pdf'],303,303-4.5,[50],[0],What was the fresh water discharge in million cubic meters for the year 2023?,191,3,2
124,0,['OTC_ENAKF_2023.pdf'],303,303-5.3,[50],[0],How much fresh water consumption was recorded in million cubic meters for the year 2022?,29,4,3
125,0,['OTC_ENAKF_2023.pdf'],305,305-2.1,[266],[0],What was the total greenhouse gas emissions in million metric tons (location-based) for the year 2023?,76.17,2,3
126,0,['OTC_ENAKF_2023.pdf'],305,305-2.2,[266],[0],How many million metric tons of greenhouse gas emissions (market-based) were reported in 2022?,91.29,3,4
127,0,['OTC_ENAKF_2023.pdf'],305,305-1.1,[266],[0],What is the amount of Scope 1 emissions in tonnes of CO2 equivalent for the year 2021?,3.71,4,5
128,0,['OTC_ENAKF_2023.pdf'],305,305-2.1,[266],[0],What was the location-based Scope 2 emissions in tonnes of CO2 equivalent for the year 2023?,3.46,5,3
129,0,['OTC_ENAKF_2023.pdf'],305,305-2.2,[266],[0],What was the market-based Scope 2 emissions in tonnes of CO2 equivalent for the year 2022?,5.83,6,4
130,0,['OTC_ENAKF_2023.pdf'],305,305-3.2,[266],[0],How much were the location-based Scope 3 emissions in tonnes of CO2 equivalent for the year 2021?,100.38,7,5
131,0,['OTC_ENAKF_2023.pdf'],305,305-3.3,[266],[0],What was the market-based Scope 3 emissions in tonnes of CO2 equivalent for the year 2023?,65.23,8,3
132,0,['OTC_ENAKF_2023.pdf'],305,305-*.1,[43],[0],What was the total CO2 equivalent emissions in million metric tons for the year 2023?,2.01,6,2
133,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[43],[0],How much did the power and heat generation contribute to CO2 equivalent emissions in million metric tons in 2022?,1.9,2,3
134,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[43],[0],What were the fugitive emissions in million metric tons for the year 2021?,1.44,3,4
135,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[43],[0],What is the CO2 equivalent emissions from company-owned vehicles in million metric tons for the year 2023?,0.05,4,2
136,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[43],[0],What was the total CO2 equivalent emissions from fuels combustion in million metric tons in 2022?,0.05,5,3
137,0,['OTC_ENAKF_2023.pdf'],305,305-*.1,[43],[0],How much were the total CO2 equivalent emissions in million metric tons for the year 2021?,3.71,6,4
138,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What are the power distribution losses based on location for the year 2023 of CO2 equivalents in million metric tons?,3.19,2,2
139,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What were the power distribution losses based on location for the year 2022 of CO2 equivalents in million metric tons?,3.14,2,3
140,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What were the power distribution losses based on location for the year 2021 of CO2 equivalents in million metric tons?,3.67,2,4
141,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What are the power distribution losses based on market for the year 2023 of CO2 equivalents in million metric tons?,5.85,3,2
142,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What were the power distribution losses based on market for the year 2022 of CO2 equivalents in million metric tons?,5.52,3,3
143,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What were the power distribution losses based on market for the year 2021 of CO2 equivalents in million metric tons?,5.56,3,4
144,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What is the amount of purchased power based on location for the year 2023 of CO2 equivalents in million metric tons?,0.27,4,2
145,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What was the purchased power based on location for the year 2022 of CO2 equivalents in million metric tons?,0.25,4,3
146,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],"What was the purchased power based on location for the year 2021 of CO2, equivalents in million metric tons?",0.23,4,4
147,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What is the amount of purchased power based on market for the year 2023 of CO2 equivalents in million metric tons?,0.32,5,2
148,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What was the purchased power based on market for the year 2022 of CO2 equivalents in million metric tons?,0.31,5,3
149,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What was the purchased power based on market for the year 2021 of CO2 equivalents in million metric tons?,0.17,5,4
150,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What is the total amount based on location for the year 2023 of CO2 equivalents in million metric tons?,3.46,6,2
151,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What was the total amount based on location for the year 2022 of CO2 equivalents in million metric tons?,3.38,6,3
152,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What was the total amount based on location for the year 2021 of CO2 equivalents in million metric tons?,3.9,6,4
153,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What is the total amount based on market for the year 2023 of CO2 equivalents in million metric tons?,6.17,7,2
154,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What was the total amount based on market for the year 2022 of CO2 equivalents in million metric tons?,5.83,7,3
155,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[44],[0],What was the total amount based on market for the year 2021 of CO2 equivalents in million metric tons?,5.73,7,4
156,0,['OTC_ENAKF_2023.pdf'],305,305-2.1,[45],[0],What was the total CO2 equivalents location based in million metric tons for the year 2023?,70.69,10,2
157,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[45],[0],How much CO2 equivalents of purchased power was sold to end-customers (location-based) in million metric tons in 2022?,40.48,2,3
158,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[45],[0],What was the value of CO2 equivalents of purchased power sold to end-customers (market-based) in million metric tons for the year 2021?,54.75,3,4
159,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[45],[0],What is the CO2 equivalents of combustion of natural gas sold to end-customers in million metric tons for the year 2023?,30.12,4,2
160,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[45],[0],What was the amount of CO2 equivalents of purchased goods and services in million metric tons for the year 2022?,2.81,5,3
161,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[45],[0],How much CO2 equivalents of power and heat generation from leased assets was recorded in million metric tons in 2021?,1.29,6,4
162,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[45],[0],What were the CO2 equivalents of total employee commuting emissions in million metric tons for the year 2023?,0.06,7,2
163,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[45],[0],How much were the CO2 equivalents of upstream processes of leased assets (leased vehicles) in million metric tons in 2022?,0.02,8,3
164,0,['OTC_ENAKF_2023.pdf'],305,305-*.2,[45],[0],What were the CO2 equivalents of total business travel emissions in million metric tons for the year 2021?,0,9,4
165,0,['OTC_ENAKF_2023.pdf'],305,305-2.2,[45],[0],How much were the total GHG emissions (market-based) in million metric tons for the year 2022?,82.58,11,3
166,0,['OTC_ENAKF_2023.pdf'],305,305-7.1,[49],[0],What was the amount of NOx emissions in metric tons for the year 2023?,2501,2,2
167,0,['OTC_ENAKF_2023.pdf'],305,305-7.2,[49],[0],How many metric tons of SO2 emissions were recorded in 2022?,652,3,3
168,0,['OTC_ENAKF_2023.pdf'],305,305-7.6,[49],[0],What was the total amount of Dust emissions in metric tons for the year 2021?,61,4,4
169,0,['OTC_ENAKF_2023.pdf'],305,305-7.1,[49],[0],What was the amount of NOx emissions in metric tons for the year 2022?,1727,2,3
170,0,['OTC_ENAKF_2023.pdf'],305,305-7.2,[49],[0],How many metric tons of SO2 emissions were recorded in 2023?,828,3,2
171,0,['OTC_ENAKF_2023.pdf'],305,305-7.6,[49],[0],What was the total amount of Dust emissions in metric tons for the year 2022?,51,4,3
172,0,['OTC_ENAKF_2023.pdf'],305,305-7.1,[49],[0],What was the amount of NOx emissions in metric tons for the year 2021?,1716,2,4
173,0,['OTC_ENAKF_2023.pdf'],305,305-7.2,[49],[0],How many metric tons of SO2 emissions were recorded in 2021?,581,3,4
174,0,['OTC_ENAKF_2023.pdf'],305,305-7.6,[49],[0],What was the total amount of Dust emissions in metric tons for the year 2023?,53,4,2
175,0,['OTC_ENAKF_2023.pdf'],306,306-3.4,[51],[0],What is the total weight of low and intermediate-level radioactive waste generated in 2023 in metric tons?,1374.1,2,2
176,0,['OTC_ENAKF_2023.pdf'],306,306-3.4,[51],[0],How much low and intermediate-level radioactive waste was generated in 2022 in metric tons?,1105.7,2,3
177,0,['OTC_ENAKF_2023.pdf'],306,306-3.4,[51],[0],What is the total weight of low and intermediate-level radioactive waste generated in 2021 in metric tons?,1420.2,2,4
178,0,['OTC_ENAKF_2023.pdf'],306,306-3.4,[51],[0],What is the total weight of high-level radioactive waste generated in 2023 in metric tons?,0,3,2
179,0,['OTC_ENAKF_2023.pdf'],306,306-3.4,[51],[0],How much high-level radioactive waste was generated in 2022 in metric tons?,0,3,3
180,0,['OTC_ENAKF_2023.pdf'],306,306-3.4,[51],[0],What was the total weight of high-level radioactive waste generated in 2021 in metric tons?,65,3,4
