pdf name,gri,page nbr,table nbr,question,question_type_ext,value,row indices,col indices,row/column spanning,metadata
['OTC_SU_2023.pdf'],305,[311],[1],"For the year 2023, between Scope 1, Scope 2 and Scope 3 total emissions, what are the two lowest amounts of emissions in ascending order?",rank,"89440.0, 112792.0","[6, 15, 20]","[4, 4, 4]",1,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],305,[311],[1],Is the value of direct Scope 1 GHG emissions greater than the Scope 3 emissions in TCO2e for the year 2023?,comparative,no,"[6, 20]","[4, 4]",1,{'maximise': True}
['OTC_SU_2023.pdf'],305,[311],[1],What are the top two amounts of GHG Scope 2 emissions by source in TCO2e in 2022 ranked in descending order?,rank,"50995, 49674","[16, 17, 18, 19]","[5, 5, 5, 5]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],305,[311],[1],What is the minimum value of the direct (Scope 1) GHG emissions from gas for the years 2020 to 2023?,superlative,38968,"[8, 8, 8, 8]","[4, 5, 6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],"What are the lowest values of direct (Scope 1) GHG emissions from coal for the years 2023, 2022, 2021, and 2020 in ascending order?",rank,"0.0, 0.0, 0.0, 0.0","[9, 9, 9, 9]","[4, 5, 6, 7]",0,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],305,[311],[1],What was the highest value of GHG emissions from the vehicle fleet (Scope 1) reported in the years 2020 to 2023?,superlative,73229,"[10, 10, 10, 10]","[4, 5, 6, 7]",0,{'maximise': True}
['OTC_SU_2023.pdf'],305,[311],[1],Is the value of SF6 emissions recorded in the year 2022 higher than the one recorded in 2020?,comparative,no,"[11, 11]","[5, 7]",0,{'maximise': True}
['OTC_SU_2023.pdf'],305,[311],[1],What is the minimum estimated Scope 1 GHG emissions of sites out of the reporting perimeter in TCO2e for the years 2020 to 2023?,superlative,5162,"[14, 14, 14, 14]","[4, 5, 6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],"What are the total Scope 2 GHG emissions in TCO2e for the years 2023, 2022, 2021, and 2020, ranked in ascending order?",rank,"89440.0, 109730.0, 145207.0, 153115.0","[15, 15, 15, 15]","[4, 5, 6, 7]",0,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],305,[311],[1],What was the maximum value of grid electricity (market-based) GHG emissions in TCO2e reported for the years 2020 to 2023?,superlative,70145,"[16, 16, 16, 16]","[4, 5, 6, 7]",0,{'maximise': True}
['OTC_SU_2023.pdf'],305,[311],[1],Is the value of the market-based renewable electricity GHG emissions in TCO2e in the year 2021 higher than the one in 2022?,comparative,no,"[17, 17]","[6, 5]",0,{'maximise': True}
['OTC_SU_2023.pdf'],305,[311],[1],What are the two highest values of district heating GHG emissions (in TCO2e) reported for the years 2020 to 2023 in descending order?,rank,"14714.0, 11550.0","[18, 18, 18, 18]","[4, 5, 6, 7]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],305,[311],[1],Is the value of estimated Scope 2 GHG emissions out of reporting perimeter in 2021 lower than in 2023?,comparative,no,"[19, 19]","[6, 4]",0,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],Is the value of the direct Scope 1 GHG emissions lower than the energy indirect Scope 2 GHG emissions in 2023?,comparative,no,"[6, 15]","[4, 4]",1,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],"What was the highest amount of tCO2e emissions between Scope 1, Scope 2 and Scope 3 emissions for the year 2022?",superlative,60788549,"[6, 15, 20]","[5, 5, 5]",1,{'maximise': True}
['OTC_SU_2023.pdf'],305,[311],[1],"What was the lowest amount of tCO2e emissions between Scope 1, Scope 2 and Scope 3 emissions for the year 2022?",superlative,109730,"[6, 15, 20]","[5, 5, 5]",1,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],What are the four values associated to different indirect Scope 2 emissions sources in 2020 in increasing order?,rank,"694, 11550, 62818, 70145","[16, 17, 18, 19]","[7, 7, 7, 7]",1,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],305,[311],[1],What are the top three values associated to different direct Scope 1 emissions sources in 2021 in decreasing order?,rank,"62683, 56776, 5886","[7, 8, 9, 10, 11]","[6, 6, 6, 6, 6]",1,"{'desc': True, 'firstk': 3.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],305,[311],[1],Is the value of the direct (Scope 1) GHG gas emissions in TCO2e in 2021 lower than in 2020?,comparative,no,"[8, 8]","[6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],What is the maximum value of direct (Scope 1) GHG emissions from coal reported in the years 2020 to 2023?,superlative,0,"[9, 9, 9, 9]","[4, 5, 6, 7]",0,{'maximise': True}
['OTC_SU_2023.pdf'],305,[311],[1],"What was the minimum value of the direct (Scope 1) GHG vehicle fleet emissions recorded in the years 2020, 2021, 2022, and 2023?",superlative,55598,"[10, 10, 10, 10]","[4, 5, 6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],Is the value of SF6 emissions (TCO2e) reported for the year 2022 lower than the one reported in 2021?,comparative,yes,"[11, 11]","[5, 6]",0,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],Is the target SF leakage rate of sites out of reporting perimeter in TCO2e in 2021 lower than the one in 2020?,comparative,no,"[14, 14]","[6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],What is the maximum value of the Energy indirect (Scope 2) GHG emissions in TCO2e reported for the years 2020 to 2023?,superlative,153115,"[15, 15, 15, 15]","[4, 5, 6, 7]",0,{'maximise': True}
['OTC_SU_2023.pdf'],305,[311],[1],What is the minimum value of the GHG Scope 2 emissions from grid electricity (market-based) for the years 2020 to 2023?,superlative,39476,"[16, 16, 16, 16]","[4, 5, 6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],Is the value of the GHG Scope 2 market-based emissions from renewable electricity in 2021 higher than in 2020?,comparative,yes,"[17, 17]","[6, 7]",0,{'maximise': True}
['OTC_SU_2023.pdf'],305,[311],[1],What are the two highest values of district heating GHG emissions (in TCO2e) reported in the years 2020 to 2023 in decreasing order?,rank,"14714.0, 11550.0","[18, 18, 18, 18]","[4, 5, 6, 7]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],305,[311],[1],"In ascending order, what are the values of estimated Scope 2 GHG emissions of sites out of the reporting perimeter for the years 2023, 2022, 2021 and 2020?",rank,"42961.0, 50995.0, 62818.0, 71008.0","[19, 19, 19, 19]","[4, 5, 6, 7]",0,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],305,[311],[1],Is the value of energy indirect Scope 2 GHG emissions lower than the other relevant indirect Scope 3 GHG emissions for the year 2023?,comparative,yes,"[15, 20]","[4, 4]",1,{'maximise': False}
['OTC_SU_2023.pdf'],306,[309],[0],"In descending order, what are the amounts of metric tons of the two types of non-hazardous waste management methods associated with the largest amounts of waste generated in 2023?",rank,"105593.0, 6871","[6, 7, 8]","[4, 4, 4]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],306,[309],[0],Is the amount of generated hazardous waste higher than the amount of hazardous waste channeled according to Schneider electric in 2020?,comparative,yes,"[11, 12]","[7, 7]",1,{'maximise': True}
['OTC_SU_2023.pdf'],306,[309],[0],What is the minimum amount of hazardous waste generated in metric tons by the company from 2020 to 2023?,superlative,7573,"[11, 11, 11, 11]","[4, 5, 6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],306,[309],[0],"What are the amounts of non-hazardous waste generated and then recycled in metric tons for the years 2020, 2021, 2022, 2023, ranked in ascending order?",rank,"105593.0, 111567.0, 113211.0, 115550.0","[6, 6, 6, 6]","[4, 5, 6, 7]",0,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],306,[309],[0],What was the highest amount of hazardous waste channeled according to Schneider Electric in metric tons from the years 2020 to 2023?,superlative,8549,"[12, 12, 12, 12]","[4, 5, 6, 7]",0,{'maximise': True}
['OTC_SU_2023.pdf'],306,[309],[0],Is the value of non-hazardous waste reduction reported in metric tons in 2023 higher than in 2020?,comparative,yes,"[9, 9]","[4, 7]",0,{'maximise': True}
['OTC_SU_2023.pdf'],306,[309],[0],What are the two highest values of hazardous waste generated per million euros in the years 2021 and 2022 in ascending order?,rank,"0.24, 0.3","[13, 13]","[5, 6]",0,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],306,[309],[0],"In 2021, is the total amount of generated hazardous waste higher than the amount of non-hazardous?",comparative,no,"[11, 5]","[6, 6]",1,{'maximise': True}
['OTC_SU_2023.pdf'],306,[309],[0],What are the amounts of hazardous and non hazardous waste generated in 2021 in ascending order?,rank,"8549, 128267","[5, 11]","[6, 6]",1,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],306,[309],[0],Is the amount of hazardous waste generated in metric tons in 2021 lower than in 2020?,comparative,no,"[11, 11]","[6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],306,[309],[0],What was the highest amount of non-hazardous waste generated that was reused or recycled from the years 2020 to 2023?,superlative,115550,"[6, 6, 6, 6]","[4, 5, 6, 7]",0,{'maximise': True}
['OTC_SU_2023.pdf'],306,[309],[0],Is the value of non-hazardous waste reduction reported in metric tons for the year 2023 higher than the one reported in 2021?,comparative,yes,"[9, 9]","[4, 6]",0,{'maximise': True}
['OTC_SU_2023.pdf'],306,[309],[0],"What are the top four values of hazardous waste generated per million euros in 2023, 2022, 2021 and 2020, ranked in descending order?",rank,"0.3, 0.3, 0.24, 0.21","[13, 13, 13, 13]","[4, 5, 6, 7]",0,"{'desc': True, 'firstk': 4.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],306,[309],[0],"What are the numbers of 'Waste-to-Resource' sites reported for the years 2020, 2021, 2022, and 2023, ranked in ascending order?",rank,"120.0, 126.0, 127.0, 137.0","[15, 15, 15, 15]","[4, 5, 6, 7]",0,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],306,[309],[0],Is the value of hazardous waste generated lower than the amount of hazardous waste channeled according to Schneider in the year 2020?,comparative,no,"[11, 12]","[7, 7]",1,{'maximise': False}
['OTC_SU_2023.pdf'],306,[309],[0],"In 2022, is the amount, in metric tons, of non-hazardous waste incinerated with energy recovery higher than the non-hazardous waste incinerated without energy recovery or landfilled?",comparative,yes,"[7, 8]","[5, 5]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[306],[3],Is the intensity of GHG emissions (Scope 1+2) of operated Upstream oil/gas activities greater than the intensity of emissions on equity basis Upstream oil/gas activities for the year 2023?,comparative,no,"[3, 4]","[2, 2]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[306],[3],What are the lowest two amounts of intensity emissions in 2022 in descending order in kg CO2e?,rank,"19, 17","[3, 4]","[3, 3]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[306],[3],Is the intensity of GHG emissions (Scope 1+2) of upstream oil & gas activities on an equity basis in 2023 greater than the same metric in 2022?,comparative,no,"[4, 4]","[2, 3]",1,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[306],[3],Is the intensity of GHG emissions (Scope 1+2) of operated upstream oil & gas activities lower than the intensity of GHG emissions (Scope 1+2) of upstream oil & gas activities on an equity basis for the year 2022?,comparative,yes,"[3, 4]","[3, 3]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[306],[3],"What is the minimum intensity of GHG emissions (Scope 1+2) of upstream oil and gas activities on an equity basis (kg CO2e/boe) for the years 2023, 2022, and 2021?",superlative,18,"[4, 4, 4]","[2, 3, 4]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[306],[3],What are the three lowest values of methane emissions intensity from operated oil and gas activities over the years 2021 to 2023 in ascending order?,rank,"0.11, 0.11, 0.13","[5, 5, 5]","[2, 3, 4]",0,"{'desc': False, 'firstk': 3.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[306],[3],"What is the maximum intensity of methane emissions from operated oil and gas facilities (Upstream) recorded in the years 2023, 2022, 2021, and 2015?",superlative,0.23,"[5, 5, 5, 5]","[2, 3, 4, 5]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[306],[3],Is the intensity of methane emissions from operated oil and gas facilities (Upstream) in 2021 greater than in 2023?,comparative,yes,"[5, 5]","[4, 2]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],305,[306],[3],Is the intensity of GHG emissions (Scope 1+2) of upstream oil & gas activities on an equity basis for the years 2021 smaller than in 2022?,comparative,no,"[4, 4]","[4, 3]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[306],[3],"What is the minimum intensity of methane emissions from operated oil and gas facilities (Upstream) in the years 2023, 2022, 2021, and 2015?",superlative,0.11,"[5, 5, 5, 5]","[2, 3, 4, 5]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],305,[306],[3],"What are the four values of methane emissions intensity from operated oil and gas activities for the years 2015, 2021, 2022, and 2023, ranked in descending order?",rank,"0.23, 0.13, 0.11, 0.11","[5, 5, 5, 5]","[2, 3, 4, 5]",0,"{'desc': True, 'firstk': 4.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],305,[306],[3],"What are the top three values of the intensity of methane emissions from operated oil and gas activities for the years 2015, 2021, and 2023, ranked in descending order?",rank,"0.23, 0.13, 0.11","[5, 5, 5]","[2, 4, 5]",0,"{'desc': True, 'firstk': 3.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],302,[381],[0],Is the net primary energy consumption (in TWh) recorded in the year 2022 higher than the one recorder in 2023?,comparative,yes,"[25, 25]","[6, 7]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],302,[381],[0],"What are the top two values of renewable energy consumption (TWh) for the years 2023, 2020, 2021, and 2022 when ranked in descending order?",rank,"2.0, 1.0","[26, 26, 26, 26]","[4, 5, 6, 7]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],302,[381],[0],Is the value of net primary energy consumption in TWh in 2021 lower than in 2023?,comparative,yes,"[25, 25]","[5, 7]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],302,[381],[0],"In 2020, in descending order, what are the two values associated with sites with an auditable energy management system and sites with annual consumption > 50 ktoe?",rank,"42, 26","[29, 30]","[4, 4]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],302,[381],[0],Is the value of LNG sales lower than the production of biofuels in Mt in 2022?,comparative,no,"[9, 16]","[6, 6]",1,{'maximise': False}
['NYSE_TTE_2023.pdf'],302,[381],[0],"What is the minimum number of operated sites with annual consumption greater than 50 ktoe in the years 2020, 2021, 2022, and 2023?",superlative,42,"[30, 30, 30, 30]","[4, 5, 6, 7]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],302,[381],[0],What are the four lowest values of the Global Energy Efficiency Indicator (GEEI) from the years 2019 to 2023 in ascending order?,rank,"85.1, 86.4, 87.0, 88.0","[27, 27, 27, 27, 27]","[3, 4, 5, 6, 7]",0,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],302,[381],[0],What was the maximum value of the Global Energy Efficiency Indicator (GEEI) from the years 2015 to 2023?,superlative,90.8,"[27, 27, 27, 27, 27, 27]","[2, 3, 4, 5, 6, 7]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],302,[381],[0],Is the value of the Global Energy Efficiency Indicator (GEEI) in 2019 higher than the one in 2020?,comparative,no,"[27, 27]","[3, 4]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],302,[381],[0],What are the two highest values in descending order of the Global Energy Efficiency Indicator (GEEI) from the years 2015 to 2022?,rank,"90.8, 90.2","[27, 27, 27, 27, 27, 27]","[2, 3, 4, 5, 6, 7]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['NYSE_TTE_2023.pdf'],302,[381],[0],Is the value of the Global Energy Efficiency Indicator (GEEI) in 2015 lower than in 2019?,comparative,no,"[27, 27]","[2, 3]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],302,[381],[0],"What are the values of net primary energy consumption (TWh) from 2015 to 2023, ranked in ascending order?",rank,"147.0, 148.0, 153.0, 157.0, 160.0, 166.0","[25, 25, 25, 25, 25, 25]","[2, 3, 4, 5, 6, 7]",0,"{'desc': False, 'firstk': 6.0, 'lowest-highest': 0.0}"
['NYSE_TTE_2023.pdf'],302,[381],[0],Is the number of operated sites with annual consumption greater than 50 ktoe in 2020 lower than in 2021?,comparative,yes,"[30, 30]","[4, 5]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],302,[381],[0],What is the minimum value of the Global Energy Efficiency Indicator (GEEI) from the years 2015 to 2023?,superlative,85.1,"[27, 27, 27, 27, 27, 27]","[2, 3, 4, 5, 6, 7]",0,{'maximise': False}
['NYSE_TTE_2023.pdf'],302,[381],[0],Is the value of the Global Energy Efficiency Indicator (GEEI) for the years 2020 higher than the one in 2021?,comparative,yes,"[27, 27]","[4, 5]",0,{'maximise': True}
['NYSE_TTE_2023.pdf'],302,[381],[0],What are the amounts of the Global Energy Efficiency Indicator (GEEI) from the years 2015 to 2023 when ranked in descending order?,rank,"90.8, 90.2, 88.0, 87.0, 86.4, 85.1","[27, 27, 27, 27, 27, 27]","[2, 3, 4, 5, 6, 7]",0,"{'desc': True, 'firstk': 6.0, 'lowest-highest': 0.0}"
