,old_index,checked,"Error (0 no error, 1 value err, 2 unrelated, 3 hierarchical)",pdf name,gri,gri_finegrained,page nbr,table nbr,question,value,row,column
15,27,1,,NYSE_E_2023.pdf,303,303-5.1,178,0,What was the total water consumption in 2023 in million m3?,128,,
16,28,1,1,NYSE_E_2023.pdf,303,303-5.2,178,0,How much total water consumption was recorded in areas with water stress in 2021 (million m3)?,34.3,,
17,29,1,,NYSE_E_2023.pdf,303,303-4.7,178,0,What was the total volume of water discharge in areas with water stress in 2023 in million m3?,25.3,,
18,30,1,,NYSE_E_2023.pdf,304,304-4.1,179,0,What is the total number of species listed on the IUCN Red List with habitats in areas affected by the organization's operations in 2023?,1,,
19,31,1,,NYSE_E_2023.pdf,304,304-3.1,179,0,How many KBAs are there in areas affected by the organization's operations in 2023?,8,,
20,32,1,,NYSE_E_2023.pdf,304,304-3.1,179,0,What is the total number of Natura 2000 sites in areas affected by the organization's operations in 2023?,11,,
21,33,1,,NYSE_E_2023.pdf,304,304-3.1,179,0,What is the number of Other Protected Areas in areas affected by the organization's operations in 2023?,12,,
22,34,1,,NYSE_E_2023.pdf,304,304-3.1,179,0,How many Ramsar sites are there in areas affected by the organization's operations in 2023?,2,,
23,36,1,,NYSE_E_2023.pdf,305,305-1.1,163,0,What was the total amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2023?,38.69,,
24,37,1,,NYSE_E_2023.pdf,305,305-2.3,163,0,How many tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2023?,0.73,,
25,41,1,,NYSE_E_2023.pdf,305,305-1.1,163,0,What was the amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2022?,39.39,,
26,42,1,,NYSE_E_2023.pdf,305,305-2.3,163,0,What was the total amount of indirect GHG emissions (Scope 2) in million tonnes of CO2 equivalent for the year 2021?,0.81,,
27,43,1,1,NYSE_E_2023.pdf,305,305-2.3,163,0,How many million tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2022?,0.79,,
28,44,1,,NYSE_E_2023.pdf,305,305-1.1,163,0,What was the total amount of direct methane emissions (Scope 1) in thousands of tonnes for the year 2023?,39.1,,
29,45,1,1,NYSE_E_2023.pdf,302,302-1.12,163,0,What was the total amount of electricity produced from renewable sources in GWh for the year 2022?,2863,,
30,46,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3",162,0,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2023?,8.9,,
31,47,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3",162,0,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2022?,9.9,,
32,48,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3",162,0,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2021?,11,,
33,49,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3",162,0,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2023 in million tonnes CO2 eq.?,26.1,,
34,50,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3",162,0,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2022 in million tonnes CO2 eq.?,29.9,,
35,51,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3",162,0,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2021 in million tonnes CO2 eq.?,33.6,,
36,52,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3, 305-3.1",162,0,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2023?,398,,
37,53,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3, 305-3.1",162,0,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2022?,419,,
38,54,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3, 305-3.1",162,0,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2021?,456,,
39,55,1,,NYSE_E_2023.pdf,305,305-4.1,162,0,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2023?,65.6,,
40,56,1,,NYSE_E_2023.pdf,305,305-4.1,162,0,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2022?,66.3,,
41,57,1,,NYSE_E_2023.pdf,305,305-4.1,162,0,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2021?,66.5,,
42,64,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3",24,0,What was the net carbon footprint upstream (Scope 1+2) in mmtonnes CO2eq for the year 2023?,8.9,,
43,65,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3",24,0,What was the net carbon footprint Eni (Scope 1+2) in mmtonnes CO2eq for the year 2022?,29.9,,
44,66,1,,NYSE_E_2023.pdf,305,305-3.1,24,0,How much were the indirect GHG emissions (Scope 3) other than those due to purchases from other companies in tonnes of CO2 equivalent for the year 2023?,174,,
45,67,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3, 305-3.1",24,0,What were the net GHG emissions (Scope 1+2+3) in tonnes of CO2 equivalent for the year 2022?,194,,
46,68,1,,NYSE_E_2023.pdf,305,"305-1.1, 305-2.3, 305-3.1",24,0,What were the net GHG lifecycle emissions (Scope 1+2+3) in tonnes of CO2 equivalent for the year 2021?,456,,
47,69,1,,NYSE_E_2023.pdf,305,305-4.1,24,0,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2023?,65.6,,
48,70,1,,NYSE_E_2023.pdf,305,305-1.1,24,0,What were the direct GHG emissions (Scope 1) in mmtonnes CO2eq for the year 2022?,39.39,,
49,71,1,,NYSE_E_2023.pdf,305,305-2.3,24,0,What were the indirect GHG emissions (Scope 2) in tonnes of CO2 equivalent for the year 2023?,0.73,,
50,72,1,,NYSE_E_2023.pdf,305,305-7.7,24,0,How much were the methane direct emissions (Scope 1) in Ktonnes CH4 for the year 2021?,54.5,,
51,82,1,,NYSE_E_2023.pdf,305,305-1.1,92,0,"How many direct GHG emissions (Scope 1) were reported in 2023, measured in mmtonnes CO2eq?",9.36,,
52,83,1,,NYSE_E_2023.pdf,305,305-1.6,92,0,"What was the direct GHG emissions (Scope 1) per equivalent produced electricity (Eni Power) in 2023, measured in gCO2eq/kWheq?",389,,
53,84,1,,NYSE_E_2023.pdf,305,305-1.1,84,0,What was the amount of direct GHG emissions (Scope 1) in 2023 measured in mmtonnes CO2 equivalent?,5.69,,
54,85,1,,NYSE_E_2023.pdf,305,305-1.1,84,0,How many tonnes of CO2 equivalent were emitted directly (Scope 1) in 2022?,6,,
55,86,1,,NYSE_E_2023.pdf,305,305-1.1,84,0,What were the direct GHG emissions (Scope 1) in 2021 in mmtonnes CO2 equivalent?,6.72,,
56,87,1,,NYSE_E_2023.pdf,305,305-1.6,84,0,What is the ratio of direct GHG emissions (Scope 1) to refinery throughputs in 2023 in tonnes CO2 equivalent per ktonnes?,232,,
57,88,1,,NYSE_E_2023.pdf,305,305-1.6,84,0,What was the ratio of direct GHG emissions (Scope 1) to refinery throughputs in 2022 in tonnes CO2 equivalent per ktonnes?,233,,
58,89,1,,NYSE_E_2023.pdf,305,305-1.6,84,0,What was the direct GHG emissions (Scope 1) to refinery throughputs ratio in 2021 in tonnes CO2 equivalent per ktonnes?,228,,
59,90,1,,NYSE_E_2023.pdf,306,306-3.1,178,0,What was the total weight of waste from production activities in 2023 (million of tonnes)?,3.4,,
60,91,1,3,NYSE_E_2023.pdf,306,306-3.2,178,0,How much hazardous waste was generated in 2023 (million of tonnes)?,2.1,,
61,92,1,3,NYSE_E_2023.pdf,306,306-3.3,178,0,What is the total weight of non-hazardous waste generated in 2023 (million of tonnes)?,1.3,,
62,93,1,,NYSE_E_2023.pdf,306,306-5.1,178,0,What was the total weight of waste destined for disposal in 2023 (million of tonnes)?,2.8,,
63,94,1,,NYSE_E_2023.pdf,306,306-4.2,178,0,What was the amount of recycled waste in 2021 in million of tonnes?,0.2,,
64,95,1,3,NYSE_E_2023.pdf,306,"306-3.2, 306-4.2",178,0,What was the amount of hazardous recycled waste in 2021 in million of tonnes?,0,,
65,96,1,3,NYSE_E_2023.pdf,306,"306-3.3, 306-4.2",178,0,What was the amount of non hazardous recycled waste in 2021 in million of tonnes?,0.2,,
66,97,1,3,NYSE_E_2023.pdf,306,"306-5.1, 306-3.2",178,0,How much hazardous waste was destined for disposal in 2023 (million of tonnes)?,1.9,,
67,98,1,3,NYSE_E_2023.pdf,306,"306-5.1, 306-3.3",178,0,What is the total weight of non-hazardous waste destined for disposal in 2023 (million of tonnes)?,0.9,,
68,99,1,,NYSE_E_2023.pdf,308,308-1.1,184,0,What is the total number of suppliers assessed on social responsibility aspects in 2023?,6471,,
69,100,1,3,NYSE_E_2023.pdf,308,308-1.1,184,0,How many suppliers were identified with criticalities or areas for improvement in 2022?,659,,
70,101,1,3,NYSE_E_2023.pdf,308,308-1.1,184,0,What is the count of suppliers with whom Eni has terminated relations in 2021?,34,,
71,102,1,,NYSE_E_2023.pdf,308,308-1.1,184,0,What percentage of new suppliers were assessed using social criteria in 2023?,100,,
72,105,1,,continental-ag_2023.pdf,305,305-1.1,47,0,What were the direct CO2 emissions (Scope 1) in millions of metric tons of CO2 for the year 2023?,0.69,,
73,106,1,,continental-ag_2023.pdf,305,305-1.1,47,0,What were the direct CO2 emissions (Scope 1) in millions of metric tons of CO2 for the year 2022?,0.76,,
74,107,1,,continental-ag_2023.pdf,305,305-2.3,47,0,What were the indirect CO2 emissions (Scope 2) in millions of metric tons of CO2 for the year 2023?,0.21,,
75,108,1,,continental-ag_2023.pdf,305,305-2.3,47,0,What were the indirect CO2 emissions (Scope 2) in millions of metric tons of CO2 for the year 2022?,0.23,,
76,109,1,,continental-ag_2023.pdf,305,"305-1.1, 305-2.3",47,0,What were the total own CO2 emissions (Scopes 1 and 2) in millions of metric tons of CO2 for the year 2023?,0.89,,
77,110,1,,continental-ag_2023.pdf,305,"305-1.1, 305-2.3",47,0,What were the total own CO2 emissions (Scopes 1 and 2) in millions of metric tons of CO2 for the year 2022?,0.99,,
78,111,1,,continental-ag_2023.pdf,306,306-4.2,49,0,What was the percentage of waste for recovery in 2023?,87,,
79,112,1,,continental-ag_2023.pdf,306,306-4.2,49,0,What was the percentage of waste for recovery in 2022?,85,,
80,113,1,,continental-ag_2023.pdf,308,308-1.1,50,0,"How many valid supplier self-assessment questionnaires were available as of December 31, 2023?",1291,,
81,114,1,,continental-ag_2023.pdf,308,308-1.1,50,0,"What was the total number of valid supplier self-assessment questionnaires available as of December 31, 2022?",1009,,
82,115,1,,OTC_ENAKF_2023.pdf,306,306-3.3,48,0,What was the amount of non-hazardous waste generated in 2023 in kilotons?,496.1,,
83,116,1,,OTC_ENAKF_2023.pdf,306,306-3.3,48,0,How much non-hazardous waste was recorded in 2022 in kilotons?,381.3,,
84,117,1,,OTC_ENAKF_2023.pdf,306,306-3.3,48,0,What is the total amount of non-hazardous waste for the year 2021 in kilotons?,428,,
85,118,1,,OTC_ENAKF_2023.pdf,301,301-2.2,48,0,What quantity of recovered materials was reported in 2023 in kilotons?,467,,
86,119,1,,OTC_ENAKF_2023.pdf,301,301-2.2,48,0,How many kilotons of recovered materials were there in 2022?,364.1,,
87,120,1,,OTC_ENAKF_2023.pdf,301,301-2.2,48,0,What was the recovery amount in kilotons for the year 2021?,410.1,,
88,121,1,,OTC_ENAKF_2023.pdf,306,306-5.1,48,0,What was the disposed amount of waste in 2023 in kilotons?,29.1,,
89,122,1,,OTC_ENAKF_2023.pdf,306,306-5.1,48,0,How much waste was disposed of in 2022 in kilotons?,17.3,,
90,123,1,,OTC_ENAKF_2023.pdf,306,306-5.1,48,0,What was the disposed waste amount in 2021 in kilotons?,17.9,,
91,124,1,,OTC_ENAKF_2023.pdf,306,306-3.2,48,1,What was the amount of hazardous waste in kilotons in 2023?,205.4,,
92,125,1,,OTC_ENAKF_2023.pdf,306,306-3.2,48,1,How much hazardous waste was recorded in kilotons for the year 2022?,162.2,,
93,126,1,,OTC_ENAKF_2023.pdf,306,306-3.2,48,1,What is the total amount of hazardous waste in kilotons for the year 2021?,141.3,,
94,127,1,,OTC_ENAKF_2023.pdf,306,306-4.2,48,1,What was the recovered amount in kilotons in 2023?,170.7,,
95,128,1,,OTC_ENAKF_2023.pdf,306,306-4.2,48,1,How much was recovered in kilotons in 2022?,107.5,,
96,129,1,,OTC_ENAKF_2023.pdf,306,306-4.2,48,1,What is the recovered amount in kilotons for the year 2021?,106.7,,
97,130,1,,OTC_ENAKF_2023.pdf,306,306-5.1,48,1,What was the disposed amount in kilotons in 2023?,34.7,,
98,131,1,,OTC_ENAKF_2023.pdf,306,306-5.1,48,1,How much was disposed of in kilotons in 2022?,54.7,,
99,132,1,,OTC_ENAKF_2023.pdf,306,306-5.1,48,1,What is the disposed amount in kilotons for the year 2021?,34.5,,
100,133,1,,OTC_ENAKF_2023.pdf,306,306-4.2,268,0,What was the percentage of total waste recycled in 2023?,91,,
101,134,1,3,OTC_ENAKF_2023.pdf,306,"306-3.3, 306-5.1",268,0,How much non-hazardous waste was disposed of in 2022 (metric kilotons)?,17.3,,
102,135,1,3,OTC_ENAKF_2023.pdf,306,"306-3.2, 306-4.2",268,0,What was the amount of hazardous waste recovered in 2021 (metric kilotons)?,106.7,,
103,136,1,,OTC_ENAKF_2023.pdf,306,306-3.1,268,0,How much total waste was generated in 2023 (metric kilotons)?,701.5,,
104,137,1,,OTC_ENAKF_2023.pdf,306,306-4.2,268,0,What was the percentage of total waste recycled in 2022?,87,,
105,138,1,,OTC_ENAKF_2023.pdf,306,306-3.4,268,0,How much low and intermediate-level radioactive waste was recorded in 2023 (metric tons)?,1374.1,,
106,139,1,3,OTC_ENAKF_2023.pdf,306,"306-3.2, 306-5.1",268,0,What was the amount of hazardous waste disposed of in 2022 (metric kilotons)?,54.7,,
107,140,1,,OTC_ENAKF_2023.pdf,302,302-1.7,267,0,What was the energy consumption within the organization in million GJ for the year 2023?,49,,
108,154,1,,OTC_ENAKF_2023.pdf,303,303-5.3,49,1,What was the fresh water consumption in million cubic meters for the year 2023?,< 1,,
109,155,1,,OTC_ENAKF_2023.pdf,303,303-5.3,49,1,What was the fresh water consumption in million cubic meters for the year 2022?,< 1,,
110,156,1,,OTC_ENAKF_2023.pdf,303,303-5.3,49,1,What was the fresh water consumption in million cubic meters for the year 2021?,< 1,,
111,157,1,,OTC_ENAKF_2023.pdf,303,303-4.9,49,2,What is the infrastructure leakage index (ILI) for the year 2023?,<=1.5,,
112,158,1,,OTC_ENAKF_2023.pdf,303,303-4.9,49,2,What was the infrastructure leakage index (ILI) in 2022?,<=1.5,,
113,159,1,,OTC_ENAKF_2023.pdf,303,303-4.9,49,2,What was the infrastructure leakage index (ILI) for the year 2021?,<=1.5,,
114,168,1,,OTC_ENAKF_2023.pdf,303,303-5.3,267,0,What was the fresh water consumption in million cubic meters for the year 2023?,12.6,,
115,169,1,1,OTC_ENAKF_2023.pdf,303,303-3.9,267,0,How much fresh water was withdrawn from water utilities in million cubic meters for the year 2022?,na.,,
116,170,1,,OTC_ENAKF_2023.pdf,303,303-3.2,267,0,What was the groundwater withdrawal in million cubic meters for the year 2023?,36.6,,
117,171,1,,OTC_ENAKF_2023.pdf,303,303-3.1,267,0,How much surface water was utilized in million cubic meters for the year 2023?,46.4,,
118,172,1,,OTC_ENAKF_2023.pdf,303,303-3.11,267,0,What was the amount of spring water sources withdrawal in million cubic meters for the year 2023?,0.2,,
119,173,1,,OTC_ENAKF_2023.pdf,303,303-3.9,50,0,What was the amount of fresh water withdrawal in million cubic meters for the year 2023?,203.1,,
120,174,1,,OTC_ENAKF_2023.pdf,303,303-4.5,50,0,How much fresh water was discharged in million cubic meters in 2022?,216,,
121,175,1,,OTC_ENAKF_2023.pdf,303,303-5.3,50,0,What was the total fresh water consumption in million cubic meters for the year 2021?,53,,
122,176,1,,OTC_ENAKF_2023.pdf,303,303-3.9,50,0,What is the value of fresh water withdrawal in million cubic meters for the year 2022?,245,,
123,177,1,,OTC_ENAKF_2023.pdf,303,303-4.5,50,0,What was the fresh water discharge in million cubic meters for the year 2023?,191,,
124,178,1,,OTC_ENAKF_2023.pdf,303,303-5.3,50,0,How much fresh water consumption was recorded in million cubic meters for the year 2022?,29,,
125,179,1,,OTC_ENAKF_2023.pdf,305,305-2.1,266,0,What was the total greenhouse gas emissions in million metric tons (location-based) for the year 2023?,76.17,,
126,180,1,,OTC_ENAKF_2023.pdf,305,305-2.2,266,0,How many million metric tons of greenhouse gas emissions (market-based) were reported in 2022?,91.29,,
127,181,1,,OTC_ENAKF_2023.pdf,305,305-1.1,266,0,What is the amount of Scope 1 emissions in tonnes of CO2 equivalent for the year 2021?,3.71,,
128,182,1,,OTC_ENAKF_2023.pdf,305,305-2.1,266,0,What was the location-based Scope 2 emissions in tonnes of CO2 equivalent for the year 2023?,3.46,,
129,183,1,,OTC_ENAKF_2023.pdf,305,305-2.2,266,0,What was the market-based Scope 2 emissions in tonnes of CO2 equivalent for the year 2022?,5.83,,
130,184,1,,OTC_ENAKF_2023.pdf,305,305-3.2,266,0,How much were the location-based Scope 3 emissions in tonnes of CO2 equivalent for the year 2021?,100.38,,
131,185,1,,OTC_ENAKF_2023.pdf,305,305-3.3,266,0,What was the market-based Scope 3 emissions in tonnes of CO2 equivalent for the year 2023?,65.23,,
132,186,1,,OTC_ENAKF_2023.pdf,305,305-*.1,43,0,What was the total CO2 equivalent emissions in million metric tons for the year 2023?,2.01,,
133,187,1,,OTC_ENAKF_2023.pdf,305,305-*.2,43,0,How much did the power and heat generation contribute to CO2 equivalent emissions in million metric tons in 2022?,1.9,,
134,188,1,,OTC_ENAKF_2023.pdf,305,305-*.2,43,0,What were the fugitive emissions in million metric tons for the year 2021?,1.44,,
135,189,1,,OTC_ENAKF_2023.pdf,305,305-*.2,43,0,What is the CO2 equivalent emissions from company-owned vehicles in million metric tons for the year 2023?,0.05,,
136,190,1,,OTC_ENAKF_2023.pdf,305,305-*.2,43,0,What was the total CO2 equivalent emissions from fuels combustion in million metric tons in 2022?,0.05,,
137,191,1,,OTC_ENAKF_2023.pdf,305,305-*.1,43,0,How much were the total CO2 equivalent emissions in million metric tons for the year 2021?,3.71,,
138,192,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What are the power distribution losses based on location for the year 2023 of CO2 equivalents in million metric tons?,3.19,,
139,193,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What were the power distribution losses based on location for the year 2022 of CO2 equivalents in million metric tons?,3.14,,
140,194,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What were the power distribution losses based on location for the year 2021 of CO2 equivalents in million metric tons?,3.67,,
141,195,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What are the power distribution losses based on market for the year 2023 of CO2 equivalents in million metric tons?,5.85,,
142,196,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What were the power distribution losses based on market for the year 2022 of CO2 equivalents in million metric tons?,5.52,,
143,197,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What were the power distribution losses based on market for the year 2021 of CO2 equivalents in million metric tons?,5.56,,
144,198,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What is the amount of purchased power based on location for the year 2023 of CO2 equivalents in million metric tons?,0.27,,
145,199,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What was the purchased power based on location for the year 2022 of CO2 equivalents in million metric tons?,0.25,,
146,200,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,"What was the purchased power based on location for the year 2021 of CO2, equivalents in million metric tons?",0.23,,
147,201,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What is the amount of purchased power based on market for the year 2023 of CO2 equivalents in million metric tons?,0.32,,
148,202,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What was the purchased power based on market for the year 2022 of CO2 equivalents in million metric tons?,0.31,,
149,203,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What was the purchased power based on market for the year 2021 of CO2 equivalents in million metric tons?,0.17,,
150,204,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What is the total amount based on location for the year 2023 of CO2 equivalents in million metric tons?,3.46,,
151,205,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What was the total amount based on location for the year 2022 of CO2 equivalents in million metric tons?,3.38,,
152,206,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What was the total amount based on location for the year 2021 of CO2 equivalents in million metric tons?,3.9,,
153,207,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What is the total amount based on market for the year 2023 of CO2 equivalents in million metric tons?,6.17,,
154,208,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What was the total amount based on market for the year 2022 of CO2 equivalents in million metric tons?,5.83,,
155,209,1,,OTC_ENAKF_2023.pdf,305,305-*.2,44,0,What was the total amount based on market for the year 2021 of CO2 equivalents in million metric tons?,5.73,,
156,210,1,,OTC_ENAKF_2023.pdf,305,305-2.1,45,0,What was the total CO2 equivalents location based in million metric tons for the year 2023?,70.69,,
157,211,1,,OTC_ENAKF_2023.pdf,305,305-*.2,45,0,How much CO2 equivalents of purchased power was sold to end-customers (location-based) in million metric tons in 2022?,40.48,,
158,212,1,,OTC_ENAKF_2023.pdf,305,305-*.2,45,0,What was the value of CO2 equivalents of purchased power sold to end-customers (market-based) in million metric tons for the year 2021?,54.75,,
159,213,1,,OTC_ENAKF_2023.pdf,305,305-*.2,45,0,What is the CO2 equivalents of combustion of natural gas sold to end-customers in million metric tons for the year 2023?,30.12,,
160,214,1,,OTC_ENAKF_2023.pdf,305,305-*.2,45,0,What was the amount of CO2 equivalents of purchased goods and services in million metric tons for the year 2022?,2.81,,
161,215,1,,OTC_ENAKF_2023.pdf,305,305-*.2,45,0,How much CO2 equivalents of power and heat generation from leased assets was recorded in million metric tons in 2021?,1.29,,
162,216,1,,OTC_ENAKF_2023.pdf,305,305-*.2,45,0,What were the CO2 equivalents of total employee commuting emissions in million metric tons for the year 2023?,0.06,,
163,217,1,,OTC_ENAKF_2023.pdf,305,305-*.2,45,0,How much were the CO2 equivalents of upstream processes of leased assets (leased vehicles) in million metric tons in 2022?,0.02,,
164,218,1,,OTC_ENAKF_2023.pdf,305,305-*.2,45,0,What were the CO2 equivalents of total business travel emissions in million metric tons for the year 2021?,0,,
165,220,1,,OTC_ENAKF_2023.pdf,305,305-2.2,45,0,How much were the total GHG emissions (market-based) in million metric tons for the year 2022?,82.58,,
166,221,1,,OTC_ENAKF_2023.pdf,305,305-7.1,49,0,What was the amount of NOx emissions in metric tons for the year 2023?,2501,,
167,222,1,,OTC_ENAKF_2023.pdf,305,305-7.2,49,0,How many metric tons of SO2 emissions were recorded in 2022?,652,,
168,223,1,,OTC_ENAKF_2023.pdf,305,305-7.6,49,0,What was the total amount of Dust emissions in metric tons for the year 2021?,61,,
169,224,1,,OTC_ENAKF_2023.pdf,305,305-7.1,49,0,What was the amount of NOx emissions in metric tons for the year 2022?,1727,,
170,225,1,,OTC_ENAKF_2023.pdf,305,305-7.2,49,0,How many metric tons of SO2 emissions were recorded in 2023?,828,,
171,226,1,,OTC_ENAKF_2023.pdf,305,305-7.6,49,0,What was the total amount of Dust emissions in metric tons for the year 2022?,51,,
172,227,1,,OTC_ENAKF_2023.pdf,305,305-7.1,49,0,What was the amount of NOx emissions in metric tons for the year 2021?,1716,,
173,228,1,,OTC_ENAKF_2023.pdf,305,305-7.2,49,0,How many metric tons of SO2 emissions were recorded in 2021?,581,,
174,229,1,,OTC_ENAKF_2023.pdf,305,305-7.6,49,0,What was the total amount of Dust emissions in metric tons for the year 2023?,53,,
175,240,1,,OTC_ENAKF_2023.pdf,306,306-3.4,51,0,What is the total weight of low and intermediate-level radioactive waste generated in 2023 in metric tons?,1374.1,,
176,241,1,,OTC_ENAKF_2023.pdf,306,306-3.4,51,0,How much low and intermediate-level radioactive waste was generated in 2022 in metric tons?,1105.7,,
177,242,1,,OTC_ENAKF_2023.pdf,306,306-3.4,51,0,What is the total weight of low and intermediate-level radioactive waste generated in 2021 in metric tons?,1420.2,,
178,243,1,,OTC_ENAKF_2023.pdf,306,306-3.4,51,0,What is the total weight of high-level radioactive waste generated in 2023 in metric tons?,0,,
179,244,1,,OTC_ENAKF_2023.pdf,306,306-3.4,51,0,How much high-level radioactive waste was generated in 2022 in metric tons?,0,,
180,245,1,,OTC_ENAKF_2023.pdf,306,306-3.4,51,0,What was the total weight of high-level radioactive waste generated in 2021 in metric tons?,65,,
181,246,1,,axa_2023.pdf,301,301-2.1,183,0,What was the percentage of recycled and/or sustainably managed paper in the office in 2023?,67,,
182,247,1,,axa_2023.pdf,301,301-2.1,183,0,What was the percentage difference of share of recycled and/or sustainably managed paper in the office between 2023 and 2019?,7,,
183,248,1,,axa_2023.pdf,301,301-2.1,183,0,What percentage of recycled and/or sustainably managed paper was used in marketing and distribution in 2022?,72,,
184,249,1,,axa_2023.pdf,301,301-2.1,183,0,What is the difference in percentage of recycled and/or sustainably managed paper was used in marketing and distribution between 2023 and 2025?,-17,,
185,250,1,,axa_2023.pdf,301,301-2.1,183,0,What was the total percentage of recycled and/or sustainably managed paper in 2019?,62,,
186,251,1,,axa_2023.pdf,301,301-2.1,183,0,What was the difference in the total percentage of recycled and/or sustainably managed paper between 2023 and 2022?,4,,
187,252,1,,axa_2023.pdf,306,"306-3.6, 306-4.2",183,0,What was the percentage of waste recycled from total sorted/total waste in 2023?,55,,
