Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
18,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['117', '381', '310', '374', '64']","['0', '0', '1', '0', '0']",5.6,['OTC_SU'],,"[2023, 2022]",What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,multistep_sup,302,5.6
19,"['NYSE_TTE_2023', 'OTC_BAMGF_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['387', '311', '309', '358', '140']","['3', '0', '0', '0', '0']",873.13,['OTC_BAMGF'],kt,"[2023, 2022]",Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,multistep_sup,306,OTC_BAMGF
20,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '381', '310', '374', '47']","['0', '0', '1', '0', '1']",[ 76992. 282307.],"['NASDAQ_DASTY', 'munich-re']",MWh,"[2023, 2022]",What are the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"76992.0, 282307.0"
21,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '60', '84', '46', '105']","['0', '0', '0', '0', '0']",7.61,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,7.61
22,"['NYSE_TTE_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['381', '310', '46', '374', '47']","['0', '1', '0', '0', '1']",[  282307.   1162801.5 12747000. ],"['munich-re', 'OTC_SU', 'deutsche-telekom-ag']",MWh,"[2023, 2022]",Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"munich-re, OTC_SU, deutsche-telekom-ag"
23,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'vivendi_2023']","['141', '84', '63', '79', '105']","['0', '0', '0', '0', '0']",76.57,[],,[2022],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_mean,305,76.57
24,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_RWNEF_2023', 'axa_2023']","['141', '60', '84', '79', '179']","['0', '0', '0', '0', '0']",80.19,[],,[2022],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_mean,305,80.19
25,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['310', '132', '72', '139', '47']","['0', '0', '0', '0', '0']",[80.6  20.4  13.44],"['OTC_ESOCF', 'OTC_CRERF', 'OTC_BAYZF']",millions of m3,"[2023, 2022]",Which companies have the top 3 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,multistep_rank,303,"OTC_ESOCF, OTC_CRERF, OTC_BAYZF"
26,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'axa_2023', 'munich-re_2023', 'vivendi_2023']","['141', '60', '179', '46', '105']","['0', '0', '0', '0', '0']",32.84,['NYSE_AZ'],,[2023],What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_sup,305,32.84
27,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023']","['141', '60', '63', '137', '79']","['0', '0', '0', '0', '0']",133.03,['OTC_ESOCF'],Million metric tons of CO2 equivalents,[2022],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,multistep_sup,305,OTC_ESOCF
28,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023']","['117', '381', '3', '310', '374']","['0', '0', '0', '1', '0']",84.0,['NASDAQ_DASTY'],,[2023],What is the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,multistep_sup,302,84.0
29,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '381', '310', '374', '47']","['0', '0', '1', '0', '1']",[ 76992. 282307.],"['NASDAQ_DASTY', 'munich-re']",MWh,"[2023, 2022]",Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"NASDAQ_DASTY, munich-re"
30,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '3', '310', '374', '47']","['0', '0', '1', '0', '1']",9.4,[],,"[2023, 2022]",What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_mean,302,9.4
31,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023']","['117', '381', '3', '310', '46']","['0', '0', '0', '1', '0']",420.52,[],TWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in TWh?,multistep_sum,302,420.52
32,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'munich-re_2023']","['141', '60', '84', '63', '46']","['0', '0', '0', '0', '0']",1900000.0,['OTC_BAYZF'],tons CO2e,"[2023, 2022]",Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,multistep_sup,305,OTC_BAYZF
33,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023']","['381', '3', '310', '46', '374']","['0', '0', '1', '0', '0']",7.64,['deutsche-telekom-ag'],,"[2023, 2022]",What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,7.64
34,"['NASDAQ_DASTY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['117', '310', '374', '47', '64']","['0', '1', '0', '1', '0']",[338421.5    4186.09],"['heidelberg-materials', 'OTC_SU']",TJ,"[2023, 2022]",Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TJ?,multistep_rank,302,"heidelberg-materials, OTC_SU"
35,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '84', '63', '46', '105']","['0', '0', '0', '0', '0']",363404.0,['NASDAQ_DASTY'],tons CO2e,"[2023, 2022]",Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tons CO2e?,multistep_sup,305,NASDAQ_DASTY
36,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['381', '3', '310', '374', '64']","['0', '0', '1', '0', '0']",66.59,['prosiebensat1-media'],,"[2023, 2022]",What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,multistep_sup,302,66.59
37,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['117', '381', '310', '374', '64']","['0', '0', '1', '0', '0']","[3.31750000e+04 7.69920000e+04 1.16280150e+06 9.40060474e+07
 1.61500000e+08]","['prosiebensat1-media', 'NASDAQ_DASTY', 'OTC_SU', 'heidelberg-materials', 'NYSE_TTE']",MWh,"[2023, 2022]",What are the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"33175.0, 76992.0, 1162801.5, 94006047.43, 161500000.0"
38,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['381', '3', '46', '47', '64']","['0', '0', '0', '1', '0']",161500.0,['NYSE_TTE'],million kWh,"[2023, 2022]",Which company has the highest average energy consumed in the last 2 years among the following companies in million kWh?,multistep_sup,302,NYSE_TTE
39,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '381', '3', '374', '47']","['0', '0', '0', '0', '1']","[7.69920000e+04 2.82307000e+05 3.47745000e+07 9.40060474e+07
 1.61500000e+08]","['NASDAQ_DASTY', 'munich-re', 'OTC_DPSGY', 'heidelberg-materials', 'NYSE_TTE']",MWh,"[2023, 2022]",Which companies have the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"NASDAQ_DASTY, munich-re, OTC_DPSGY, heidelberg-materials, NYSE_TTE"
40,"['OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'vivendi_2023']","['84', '137', '79', '179', '105']","['0', '0', '0', '0', '0']",71.14,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,71.14
41,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '63', '137', '46', '105']","['0', '0', '0', '0', '0']",[0.   0.01 0.04],"['NASDAQ_DASTY', 'vivendi', 'munich-re']",MtCO2eq,"[2023, 2022]",Which companies have the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in MtCO2eq?,multistep_rank,305,"NASDAQ_DASTY, vivendi, munich-re"
42,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'axa_2023', 'munich-re_2023', 'vivendi_2023']","['141', '63', '179', '46', '105']","['0', '0', '0', '0', '0']",[0.   0.01 0.02],"['NASDAQ_DASTY', 'vivendi', 'axa']",Million metric tons of CO2 equivalents,"[2023, 2022]",What are the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,multistep_rank,305,"0.0, 0.01, 0.02"
43,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '381', '46', '374', '47']","['0', '0', '0', '0', '1']",537224692.85,[],MWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in MWh?,multistep_sum,302,537224692.85
44,"['OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['310', '46', '374', '47', '64']","['1', '0', '0', '1', '0']",66.35,['prosiebensat1-media'],GWh,"[2023, 2022]",What is the lowest total energy consumption over the last 2 years among the following companies in GWh?,multistep_sup,302,66.35
45,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['60', '84', '137', '79', '46']","['0', '0', '0', '0', '0']",[0.02 0.03 0.04],"['OTC_ADDDF', 'NYSE_AZ', 'munich-re']",MtCO2eq,"[2023, 2022]",Which companies have the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in MtCO2eq?,multistep_rank,305,"OTC_ADDDF, NYSE_AZ, munich-re"
46,"['OTC_BAMGF_2023', 'OTC_CRERF_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['311', '79', '309', '358', '140']","['0', '0', '0', '0', '0']",873133.5,['OTC_BAMGF'],tonnes,"[2023, 2022]",What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,multistep_sup,306,873133.5
47,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['310', '132', '72', '139', '47']","['0', '0', '0', '0', '0']",40300000.0,['OTC_ESOCF'],m3,"[2023, 2022]",What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,multistep_sup,303,40300000.0
48,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'munich-re_2023']","['84', '63', '79', '179', '46']","['0', '0', '0', '0', '0']",[7.365e+01 1.900e+00 4.000e-02],"['OTC_RWNEF', 'OTC_BAYZF', 'munich-re']",million mt CO2e,"[2023, 2022]",Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in million mt CO2e?,multistep_rank,305,"OTC_RWNEF, OTC_BAYZF, munich-re"
49,"['NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'munich-re_2023']","['60', '63', '137', '179', '46']","['0', '0', '0', '0', '0']",540925.0,['NYSE_AZ'],tCO2e,"[2023, 2022]",What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,multistep_sup,305,540925.0
50,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_BAYZF_2023', 'axa_2023', 'vivendi_2023']","['141', '60', '63', '179', '105']","['0', '0', '0', '0', '0']",12180000.0,['OTC_BAYZF'],tCO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,multistep_sup,305,OTC_BAYZF
51,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '84', '63', '46', '105']","['0', '0', '0', '0', '0']",363404.0,['NASDAQ_DASTY'],tons CO2e,"[2023, 2022]",What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tons CO2e?,multistep_sup,305,363404.0
52,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'vivendi_2023']","['141', '84', '137', '179', '105']","['0', '0', '0', '0', '0']",43790000.0,['OTC_ESOCF'],TCO2eq,"[2023, 2022]",What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in TCO2eq?,multistep_sup,305,43790000.0
53,"['OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['3', '46', '374', '47', '64']","['0', '0', '0', '1', '0']",94006.05,['heidelberg-materials'],GWh,"[2023, 2022]",What is the highest average energy consumed in the last 2 years among the following companies in GWh?,multistep_sup,302,94006.05
54,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['310', '132', '72', '139', '47']","['0', '0', '0', '0', '0']",40.3,['OTC_ESOCF'],millions of cu.m,"[2023, 2022]",Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in millions of cu.m?,multistep_sup,303,OTC_ESOCF
55,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'vivendi_2023']","['141', '84', '137', '179', '105']","['0', '0', '0', '0', '0']",43790000.0,['OTC_ESOCF'],TCO2eq,"[2023, 2022]",Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in TCO2eq?,multistep_sup,305,OTC_ESOCF
56,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['117', '381', '310', '374', '64']","['0', '0', '1', '0', '0']","[3.31750000e+04 7.69920000e+04 1.16280150e+06 9.40060474e+07
 1.61500000e+08]","['prosiebensat1-media', 'NASDAQ_DASTY', 'OTC_SU', 'heidelberg-materials', 'NYSE_TTE']",MWh,"[2023, 2022]",Which companies have the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"prosiebensat1-media, NASDAQ_DASTY, OTC_SU, heidelberg-materials, NYSE_TTE"
57,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023']","['381', '3', '310', '46', '374']","['0', '0', '1', '0', '0']",[157.   96.3],"['NYSE_TTE', 'heidelberg-materials']",TWh,"[2023, 2022, 2021]",Which companies have the top 2 highest values of average energy consumed in the last 3 years (sorted in descending order) among the following companies in TWh?,multistep_rank,302,"NYSE_TTE, heidelberg-materials"
58,"['OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['3', '310', '46', '374', '64']","['0', '1', '0', '0', '0']",[94006.05 34774.5  12747.  ],"['heidelberg-materials', 'OTC_DPSGY', 'deutsche-telekom-ag']",GWh,"[2023, 2022]",Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in GWh?,multistep_rank,302,"heidelberg-materials, OTC_DPSGY, deutsche-telekom-ag"
59,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['117', '381', '310', '374', '64']","['0', '0', '1', '0', '0']",43.68,[],,[2022],What is the average percentage of energy consumption from renewable sources in 2022 among the following companies?,multistep_mean,302,43.68
60,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'munich-re_2023']","['141', '63', '79', '179', '46']","['0', '0', '0', '0', '0']",63.37,[],,[2023],What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,multistep_mean,305,63.37
61,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023']","['117', '381', '3', '46', '374']","['0', '0', '0', '0', '0']",6.73,[],,"[2023, 2022]",What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_mean,302,6.73
62,"['NYSE_TTE_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['381', '310', '46', '374', '47']","['0', '1', '0', '0', '1']",[  282307.   1162801.5 12747000. ],"['munich-re', 'OTC_SU', 'deutsche-telekom-ag']",MWh,"[2023, 2022]",What are the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"282307.0, 1162801.5, 12747000.0"
63,"['OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['3', '310', '46', '47', '64']","['0', '1', '0', '1', '0']",7.24,[],,"[2023, 2022]",What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_mean,302,7.24
64,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_RWNEF_2023', 'axa_2023']","['141', '60', '84', '79', '179']","['0', '0', '0', '0', '0']",83.7,['OTC_RWNEF'],million mt CO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,multistep_sup,305,OTC_RWNEF
65,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023']","['381', '3', '310', '46', '374']","['0', '0', '1', '0', '0']",[157.   96.3],"['NYSE_TTE', 'heidelberg-materials']",TWh,"[2023, 2022, 2021]",What are the top 2 highest values of average energy consumed in the last 3 years (sorted in descending order) among the following companies in TWh?,multistep_rank,302,"157.0, 96.3"
