,GRI,GRI finegrained,Operation,PDF name,Page numbers,Table numbers,Row numbers
21,305,305-1.1,multistep,"['axa_2023.pdf', 'OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[179], [311], [197], [184], [66], [69], [65], [63], [141], [282, 282, 286, 286], [60], [374, 37], [137], [110], [46, 46], [142, 105], [81], [84], [86], [79]]","[[0], [1], [0], [0], [0], [0], [0], [0], [0], [0, 1, 0, 1], [0], [0, 0], [0], [1], [0, 1], [0, 0], [0], [0], [0], [0]]","[['3'], ['6'], ['12'], ['3'], ['3'], ['2'], ['2'], ['3'], ['5'], ['3', '10', '3', '2'], ['2'], ['3', '2'], ['2'], ['3'], ['3', '4'], ['6', '2'], ['4'], ['2'], ['4'], ['2']]"
22,305,"305-1.1, 305-*.2",multistep,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'commerzbank_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'brenntag_2023.pdf', 'vivendi_2023.pdf', 'OTC_ADDDF_2023.pdf']","[[311], [197, 192], [184, 305, 382], [69], [355], [137, 346, 347], [110, 112], [108], [84]]","[[1], [0, 0], [0, 0, 0], [0], [0], [0, 0, 0], [1, 0], [0], [0]]","[['7'], ['3', '3'], ['4', '3', '3'], ['2'], ['3'], ['7', '17', '21'], ['4', '4'], ['2'], ['3']]"
23,305,"305-1.1, 305-2.2",multistep,"['OTC_SU_2023.pdf', 'brenntag_2023.pdf', 'vivendi_2023.pdf']","[[311], [110], [105]]","[[1], [1], [0]]","[['3'], ['14'], ['5']]"
24,305,"305-1.1, 305-2.3",rel_superlative,"['NYSE_TTE_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'OTC_BAYZF_2023.pdf', 'OTC_BAYZF_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[17], [65], [259, 33, 132], [106, 106], [2], [110], [86], [79]]","[[0], [0], [0, 0, 0], [0, 1], [0], [0], [0], [1]]","[['3'], ['14'], ['5', '5', '22'], ['2', '2'], ['45'], ['9'], ['6'], ['2']]"
25,305,305-2.1,rel_ranking,"['OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf']","[[66], [69], [141], [60], [137], [110], [46], [142, 105]]","[[0], [0], [0], [0], [0], [1], [1], [0, 0]]","[['19'], ['3'], ['12'], ['4'], ['3'], ['9'], ['6'], ['12', '4']]"
26,305,305-2.2,quant_sum,"['axa_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[179], [66], [69], [63], [141], [60], [137], [110], [46], [142, 105], [81], [84], [86]]","[[0], [0], [0], [0], [0], [0], [0], [1], [1], [0, 0], [0], [0], [0]]","[['5'], ['9'], ['4'], ['4'], ['11'], ['3'], ['4'], ['10'], ['6'], ['7', '3'], ['7'], ['7'], ['5']]"
27,305,"305-2.2, 305-*.2",quant_avg,"['OTC_SU_2023.pdf', 'commerzbank_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ADDDF_2023.pdf']","[[311], [69], [355], [84]]","[[1], [0], [0], [0]]","[['16'], ['4'], ['7'], ['11']]"
28,305,305-2.3,multistep,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'prosiebensat1-media_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[311], [197], [65], [37], [46], [79]]","[[1], [0], [0], [0], [0], [0]]","[['15'], ['13'], ['6'], ['5'], ['5'], ['3']]"
29,305,"305-2.3, 305-*.2",multistep,"['fresenius_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_ADDDF_2023.pdf']","[[197, 192], [184, 382], [84]]","[[0, 0], [0, 0], [0]]","[['4', '7'], ['16', '16'], ['8']]"
30,305,305-3.1,multistep,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[312, 311], [619, 17, 383], [66], [69], [65], [63], [141], [60], [37], [137], [46, 46], [142, 105, 106], [307], [81], [84], [91], [79]]","[[0, 1], [0, 0, 0], [0], [0], [0], [0], [0], [0], [0], [0], [0, 1], [0, 0, 0], [0], [0], [0], [0], [0]]","[['3', '20'], ['2', '8', '2'], ['12'], ['5'], ['9'], ['6'], ['14'], ['5'], ['6'], ['5'], ['6', '7'], ['26', '7', '3'], ['3'], ['17'], ['12'], ['2'], ['4']]"
31,305,"305-3.1, 305-*.2",multistep,"['commerzbank_2023.pdf', 'OTC_BAYZF_2023.pdf', 'OTC_BAYZF_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf']","[[69], [259, 33], [355], [153, 348], [147], [108]]","[[0], [0, 0], [0], [0, 0], [1], [0]]","[['5'], ['6', '6'], ['21'], ['5', '16'], ['2'], ['2']]"
32,305,305-4.1,rel_superlative,"['NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'talanx_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[306, 619], [141, 117], [97], [349], [87], [80]]","[[3, 1], [0, 0], [0], [0], [0], [0]]","[['2', '2'], ['4', '3'], ['2'], ['31'], ['7'], ['2']]"
33,305,305-7.1,rel_ranking,"['NYSE_TTE_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[387], [357, 37, 119], [137], [148]]","[[0], [0, 0, 0], [0], [0]]","[['4'], ['3', '8', '2'], ['10'], ['3']]"
34,305,305-7.2,quant_sum,"['NYSE_TTE_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[387], [357, 37, 119], [137], [148]]","[[0], [0, 0, 0], [0], [0]]","[['3'], ['5', '8', '3'], ['9'], ['4']]"
35,305,305-7.4,quant_avg,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[309], [374], [148]]","[[2], [0], [0]]","[['2'], ['11'], ['6']]"
36,305,305-7.6,multistep,"['NYSE_TTE_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[387], [357, 119], [137], [148]]","[[0], [0, 0], [0], [0]]","[['6'], ['7', '4'], ['11'], ['7']]"
37,306,306-3.1,multistep,"['axa_2023.pdf', 'OTC_SU_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[183], [309], [132], [125, 141], [295], [358], [154], [140], [311], [79]]","[[0], [0], [0], [0, 0], [0], [0], [0], [0], [0], [0]]","[['33'], ['3'], ['24'], ['2', '31'], ['3'], ['21'], ['3'], ['9'], ['2'], ['3']]"
38,306,306-3.2,multistep,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'vivendi_2023.pdf']","[[309], [387], [295], [358], [140]]","[[0], [3], [0], [0], [0]]","[['11'], ['5'], ['7'], ['23'], ['5']]"
39,306,306-3.3,multistep,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'vivendi_2023.pdf']","[[309], [387], [295], [358], [140]]","[[0], [3], [0], [0], [0]]","[['5'], ['4'], ['8'], ['22'], ['6']]"
40,306,"306-3.3, 306-4.2",rel_superlative,"['OTC_SU_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf']","[[309], [154], [140]]","[[0], [0], [0]]","[['6'], ['12'], ['7']]"
41,306,306-4.2,rel_ranking,"['NYSE_TTE_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[387], [141], [295], [358], [311], [79]]","[[3], [0], [0], [0], [0], [0]]","[['3'], ['34'], ['4'], ['26'], ['3'], ['6']]"
42,308,308-1.1,quant_sum,"['terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[224, 223, 221, 221, 221, 220, 220, 222, 222], [204], [162], [312], [70, 98, 88], [88, 88]]","[[0, 0, 0, 1, 2, 0, 1, 0, 1], [0], [0], [0], [0, 0, 0], [0, 1]]","[['3', '3', '2', '2', '2', '2', '2', '3', '2'], ['6'], ['12'], ['2'], ['8', '2', '6'], ['2', '2']]"
43,301,301-2.1,quant_avg,"['OTC_SU_2023.pdf', 'OTC_MBGAF_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[308], [109], [90, 110], [71]]","[[1], [0], [0, 0], [0]]","[['2'], ['2'], ['3', '4'], ['2']]"
44,302,302-1.1,multistep,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'OTC_DPSGY_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311, 310], [68], [61], [356], [110], [47], [308, 325, 326]]","[[0, 1], [0], [2], [0], [0], [1], [0, 0, 0]]","[['9', '19'], ['3'], ['3'], ['28'], ['7'], ['10'], ['18', '3', '6']]"
45,302,302-1.10,multistep,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'brenntag_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311, 310], [619], [110], [141], [308]]","[[0, 1], [2], [0], [0], [0]]","[['10', '20'], ['5'], ['6'], ['6'], ['13']]"
46,302,302-1.12,multistep,"['OTC_SU_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf']","[[311], [61], [110]]","[[0], [3], [0]]","[['6'], ['2'], ['4']]"
47,302,302-1.2,multistep,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[311, 310], [117], [61], [110], [47], [145], [141], [308, 325, 326], [86, 87]]","[[0, 1], [0], [2], [0], [1], [0], [0], [0, 0, 0], [0, 0]]","[['3', '15'], ['7'], ['2'], ['2'], ['6'], ['5'], ['5'], ['10', '4', '2'], ['11', '16']]"
48,302,302-1.3,rel_superlative,"['OTC_SU_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311], [61], [110], [47], [145], [308]]","[[0], [2], [0], [1], [0], [0]]","[['8'], ['4'], ['5'], ['8'], ['7'], ['11']]"
49,302,302-1.6,rel_ranking,"['fresenius_2023.pdf', 'NYSE_AZ_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf']","[[191], [61, 61], [356, 374, 355]]","[[0], [1, 2], [0, 0, 0]]","[['2'], ['2', '5'], ['4', '18', '29']]"
50,302,302-1.7,quant_sum,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'OTC_CRERF_2023.pdf']","[[310], [191], [381, 619], [68, 3], [64], [132], [117], [287, 288], [61], [374], [47], [144], [141], [308], [2, 46, 136], [87]]","[[1], [0], [0, 2], [0, 0], [0], [0], [0], [1, 0], [1], [0], [1], [0], [0], [0], [0, 0, 0], [0]]","[['4'], ['5'], ['25', '2'], ['2', '4'], ['2'], ['21'], ['4'], ['5', '8'], ['4'], ['16'], ['11'], ['3'], ['19'], ['3'], ['44', '4', '5'], ['6']]"
