Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
68,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'vivendi_2023']","['60', '84', '137', '179', '105']","['0', '0', '0', '0', '0']",941063.8,[],TCO2eq,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,mean,305,941063.8
69,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",1383927.0,[],tCO2e,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,sum,305,1383927.0
70,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'vivendi_2023']","['84', '63', '137', '179', '105']","['0', '0', '0', '0', '0']",1161478.0,[],tCO2eq,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,mean,305,1161478.0
75,"['NYSE_TTE_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['381', '310', '46', '374', '64']","['0', '1', '0', '0', '0']",302832.93,[],,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,302832.93
78,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['381', '3', '310', '374', '64']","['0', '0', '1', '0', '0']",307238.44,[],,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,307238.44
80,"['OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023', 'vivendi_2023']","['84', '137', '79', '46', '105']","['0', '0', '0', '0', '0']",21.28,[],MtCO2eq,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,mean,305,21.28
84,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'vivendi_2023']","['141', '84', '63', '137', '105']","['0', '0', '0', '0', '0']",14.5,[],Million metric tons of CO2 equivalents,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,mean,305,14.5
88,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",1.38,[],million mt CO2e,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,sum,305,1.38
91,"['NYSE_TTE_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['381', '310', '46', '374', '47']","['0', '1', '0', '0', '1']",1941826.18,[],TJ,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in TJ?,sum,302,1941826.18
94,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",293979.8,[],tons CO2e,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,mean,305,293979.8
100,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",1469899.0,[],tCO2-eq,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,sum,305,1469899.0
109,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'vivendi_2023']","['141', '60', '137', '79', '105']","['0', '0', '0', '0', '0']",9313.49,[],,"[2023, 2022]",What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,mean,305,9313.49
116,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'vivendi_2023']","['141', '63', '137', '79', '105']","['0', '0', '0', '0', '0']",21.1,[],MtCO2eq,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,mean,305,21.1
118,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'munich-re_2023']","['117', '381', '3', '46', '47']","['0', '0', '0', '0', '1']",418761.6,[],GWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in GWh?,sum,302,418761.6
119,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",0.29,[],million mt CO2e,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,mean,305,0.29
124,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'prosiebensat1-media_2023']","['117', '381', '3', '46', '64']","['0', '0', '0', '0', '0']",24941.64,[],,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,24941.64
134,"['NYSE_AZ_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023', 'vivendi_2023']","['60', '137', '79', '46', '105']","['0', '0', '0', '0', '0']",16400239.6,[],tCO2e,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,mean,305,16400239.6
140,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['381', '3', '46', '47', '64']","['0', '0', '0', '1', '0']",418673.96,[],million kWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,sum,302,418673.96
156,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['310', '132', '72', '139', '47']","['0', '0', '0', '0', '0']",12523903.2,[],m3,"[2023, 2022]",What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,mean,303,12523903.2
157,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'vivendi_2023']","['141', '84', '137', '79', '105']","['0', '0', '0', '0', '0']",16987870.4,[],tons CO2e,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tons CO2e?,mean,305,16987870.4
158,"['NYSE_TTE_2023', 'OTC_BAMGF_2023', 'OTC_CRERF_2023', 'OTC_SU_2023', 'heidelberg-materials_2023']","['387', '311', '79', '309', '358']","['3', '0', '0', '0', '0']",2005514.6,[],,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,2005514.6
163,"['NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'vivendi_2023']","['60', '63', '137', '179', '105']","['0', '0', '0', '0', '0']",1.13,[],MtCO2eq,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,mean,305,1.13
165,"['NYSE_AZ_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'vivendi_2023']","['60', '137', '79', '179', '105']","['0', '0', '0', '0', '0']",4126790.0,[],tCO2eq,[2022],What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,sum,305,4126790.0
178,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",1.47,[],Million metric tons of CO2 equivalents,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,sum,305,1.47
183,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'axa_2023', 'vivendi_2023']","['60', '84', '63', '179', '105']","['0', '0', '0', '0', '0']",261063.8,[],TCO2eq,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,mean,305,261063.8
185,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '84', '137', '46', '105']","['0', '0', '0', '0', '0']",13.28,[],MtCO2eq,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,mean,305,13.28
213,"['NYSE_TTE_2023', 'OTC_BAMGF_2023', 'OTC_CRERF_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['387', '311', '79', '358', '140']","['3', '0', '0', '0', '0']",1771368.6,[],,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,1771368.6
219,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023']","['60', '84', '63', '137', '179']","['0', '0', '0', '0', '0']",1160219.6,[],tCO2eq,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,mean,305,1160219.6
222,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'vivendi_2023']","['141', '60', '63', '79', '105']","['0', '0', '0', '0', '0']",6910384.8,[],tCO2-eq,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,mean,305,6910384.8
