,GRI,GRI finegrained,Operation,Question,Value,PDF name,Page numbers,Table numbers,Row numbers
10,302,302-1.3,quant_sum,,,"['OTC_SU_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311], [61], [110], [47], [145], [308]]","[[0], [2], [0], [1], [0], [0]]","[['8'], ['4'], ['5'], ['8'], ['7'], ['11']]"
11,302,302-1.6,quant_avg,,,"['fresenius_2023.pdf', 'NYSE_AZ_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf']","[[191], [61, 61], [356, 374, 355]]","[[0], [1, 2], [0, 0, 0]]","[['2'], ['2', '5'], ['4', '18', '29']]"
12,302,302-1.7,multistep,,,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'OTC_CRERF_2023.pdf']","[[310], [191], [381, 619], [68, 3], [64], [132], [117], [287, 288], [61], [374], [47], [144], [141], [308], [2, 46, 136], [87]]","[[1], [0], [0, 2], [0, 0], [0], [0], [0], [1, 0], [1], [0], [1], [0], [0], [0], [0, 0, 0], [0]]","[['4'], ['5'], ['25', '2'], ['2', '4'], ['2'], ['21'], ['4'], ['5', '8'], ['4'], ['16'], ['11'], ['3'], ['19'], ['3'], ['44', '4', '5'], ['6']]"
13,302,"302-1.7, 302-1.6",multistep,,,"['OTC_DPSGY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[68], [141], [308]]","[[0], [0], [0]]","[['5'], ['10'], ['5']]"
14,302,302-1.8,multistep,,,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'prosiebensat1-media_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_MBGAF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[311, 310], [381, 619], [68, 3], [64], [110, 117], [356, 374], [47], [144, 145], [106, 106], [308], [86], [86]]","[[0, 1], [0, 2], [0, 0], [0], [0, 0], [0, 0], [1], [0, 0], [0, 1], [0], [0], [0]]","[['3', '11'], ['26', '3'], ['7', '5'], ['3'], ['2', '6'], ['2', '19'], ['7'], ['6', '8'], ['5', '3'], ['17'], ['4'], ['16']]"
15,302,302-1.9,multistep,,,"['OTC_SU_2023.pdf', 'prosiebensat1-media_2023.pdf']","[[310], [64]]","[[1], [0]]","[['12'], ['4']]"
16,302,302-3.1,rel_superlative,,,"['OTC_SAPMY_2023.pdf', 'OTC_CRERF_2023.pdf']","[[144], [87]]","[[0], [0]]","[['7'], ['13']]"
17,302,302-3.3,rel_ranking,,,"['NYSE_TTE_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[381], [446], [86]]","[[0], [0], [0]]","[['29'], ['8'], ['15']]"
18,302,302-3.4,quant_sum,,,"['fresenius_2023.pdf', 'prosiebensat1-media_2023.pdf']","[[191], [64]]","[[1], [0]]","[['2'], ['8']]"
19,303,303-3.1,quant_avg,,,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf']","[[310], [359]]","[[0], [0]]","[['4'], ['3']]"
20,303,303-3.10,multistep,,,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf']","[[310], [186], [358], [139]]","[[0], [0], [0], [0]]","[['3'], ['4'], ['31'], ['2']]"
21,303,303-3.2,multistep,,,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf']","[[310], [359]]","[[0], [0]]","[['5'], ['4']]"
22,303,303-3.5,multistep,,,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf']","[[310], [359]]","[[0], [0]]","[['6'], ['28']]"
23,303,303-3.8,multistep,,,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf']","[[310], [327, 387], [358], [139]]","[[0], [0, 0], [0], [0]]","[['11'], ['4', '14'], ['32'], ['3']]"
24,303,303-3.9,rel_superlative,,,"['NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_ESOCF_2023.pdf']","[[327, 387], [139]]","[[0, 0], [0]]","[['2', '13'], ['4']]"
25,303,303-4.4,rel_ranking,,,"['heidelberg-materials_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[359], [152]]","[[0], [1]]","[['17'], ['6']]"
26,303,303-5.1,quant_sum,,,"['OTC_BAYZF_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'munich-re_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_MBGAF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[132], [359], [139], [47], [310], [350], [72]]","[[0], [0], [0], [0], [0], [0], [0]]","[['23'], ['30'], ['5'], ['3'], ['2'], ['16'], ['3']]"
27,303,303-5.2,quant_avg,,,"['heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf']","[[359], [139]]","[[0], [0]]","[['19'], ['6']]"
28,303,303-5.4,multistep,,,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'heidelberg-materials_2023.pdf']","[[310], [387], [37]]","[[0], [0], [3]]","[['12'], ['9'], ['4']]"
29,304,304-2.1,multistep,,,"['NASDAQ_DASTY_2023.pdf', 'OTC_CRERF_2023.pdf']","[[119], [71]]","[[0], [0]]","[['5'], ['10']]"
30,304,304-3.1,multistep,,,"['terna_2023.pdf', 'heidelberg-materials_2023.pdf']","[[303], [121]]","[[0], [0]]","[['2'], ['2']]"
31,305,305-*.1,multistep,,,"['fresenius_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'prosiebensat1-media_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'talanx_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf', 'NYSE_AZ_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_BAMGF_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_RWNEF_2023.pdf', 'OTC_RWNEF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[197], [66, 68], [69], [65, 66], [141], [97], [286], [60, 61, 58], [374, 37, 81, 118], [88, 137], [46, 29, 29], [148], [306], [2], [81], [84], [79, 80, 45]]","[[0], [0, 1], [0], [0, 0], [0], [0], [0], [0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 1], [0], [0], [0], [0], [0], [0, 1, 1]]","[['11'], ['17', '2'], ['6'], ['15', '2'], ['23'], ['15'], ['5'], ['6', '2', '2'], ['4', '7', '4', '2'], ['7', '12'], ['4', '2', '2'], ['5'], ['2'], ['45'], ['18'], ['18'], ['16', '2', '9']]"
32,305,"305-*.1, 305-*.2",rel_superlative,,,"['OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'brenntag_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_MBGAF_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_LVMUY_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[137], [110, 112], [147], [142, 108], [306, 307, 309], [350], [81], [167], [84], [87, 91, 88], [45]]","[[0], [1, 0], [1], [0, 0], [0, 0, 0], [0], [0], [0], [0], [0, 0, 0], [1]]","[['6'], ['11', '2'], ['2'], ['20', '2'], ['6', '4', '3'], ['8'], ['2'], ['2'], ['6'], ['2', '4', '4'], ['5']]"
33,305,"305-*.1, 305-5.1",rel_ranking,,,"['OTC_SU_2023.pdf', 'OTC_SAPMY_2023.pdf', 'Lufthansa_2023.pdf', 'OTC_MBGAF_2023.pdf']","[[311], [148], [288], [86]]","[[1], [1], [1], [0]]","[['4'], ['5'], ['2'], ['3']]"
34,305,305-*.2,quant_sum,,,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf']","[[312], [619, 305, 306, 383, 383], [68, 3], [69], [65], [282, 284, 287], [54]]","[[0], [0, 0, 0, 0, 1], [1, 0], [0], [0], [1, 1, 0], [0]]","[['4'], ['4', '4', '3', '5', '3'], ['3', '2'], ['6'], ['12'], ['4', '2', '3'], ['2']]"
35,305,305-*.5,quant_avg,,,"['fresenius_2023.pdf', 'prosiebensat1-media_2023.pdf', 'heidelberg-materials_2023.pdf']","[[192], [66], [355]]","[[1], [0], [0]]","[['2'], ['6'], ['26']]"
36,305,305-*.7,multistep,,,"['NYSE_TTE_2023.pdf', 'OTC_BAYZF_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf']","[[306], [63], [286, 284]]","[[1], [0], [0, 0]]","[['2'], ['5'], ['4', '3']]"
37,305,305-1.1,multistep,,,"['axa_2023.pdf', 'OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[179], [311], [197], [184], [66], [69], [65], [63], [141], [282, 282, 286, 286], [60], [374, 37], [137], [110], [46, 46], [142, 105], [81], [84], [86], [79]]","[[0], [1], [0], [0], [0], [0], [0], [0], [0], [0, 1, 0, 1], [0], [0, 0], [0], [1], [0, 1], [0, 0], [0], [0], [0], [0]]","[['3'], ['6'], ['12'], ['3'], ['3'], ['2'], ['2'], ['3'], ['5'], ['3', '10', '3', '2'], ['2'], ['3', '2'], ['2'], ['3'], ['3', '4'], ['6', '2'], ['4'], ['2'], ['4'], ['2']]"
38,305,"305-1.1, 305-*.2",multistep,,,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'commerzbank_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'brenntag_2023.pdf', 'vivendi_2023.pdf', 'OTC_ADDDF_2023.pdf']","[[311], [197, 192], [184, 305, 382], [69], [355], [137, 346, 347], [110, 112], [108], [84]]","[[1], [0, 0], [0, 0, 0], [0], [0], [0, 0, 0], [1, 0], [0], [0]]","[['7'], ['3', '3'], ['4', '3', '3'], ['2'], ['3'], ['7', '17', '21'], ['4', '4'], ['2'], ['3']]"
39,305,"305-1.1, 305-2.1",multistep,,,"['brenntag_2023.pdf', 'vivendi_2023.pdf']","[[110], [105]]","[[1], [0]]","[['13'], ['6']]"
40,305,"305-1.1, 305-2.2",rel_superlative,,,"['OTC_SU_2023.pdf', 'brenntag_2023.pdf', 'vivendi_2023.pdf']","[[311], [110], [105]]","[[1], [1], [0]]","[['3'], ['14'], ['5']]"
41,305,"305-1.1, 305-2.3",rel_ranking,,,"['NYSE_TTE_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'OTC_BAYZF_2023.pdf', 'OTC_BAYZF_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[17], [65], [259, 33, 132], [106, 106], [2], [110], [86], [79]]","[[0], [0], [0, 0, 0], [0, 1], [0], [0], [0], [1]]","[['3'], ['14'], ['5', '5', '22'], ['2', '2'], ['45'], ['9'], ['6'], ['2']]"
42,305,"305-1.1, 305-2.3, 305-*.2",quant_sum,,,"['NYSE_TTE_2023.pdf', 'OTC_MBGAF_2023.pdf']","[[382], [350]]","[[0], [0]]","[['19'], ['13']]"
43,305,305-1.5,quant_avg,,,"['OTC_SU_2023.pdf', 'terna_2023.pdf']","[[311], [282]]","[[1], [1]]","[['12'], ['3']]"
44,305,305-2.1,multistep,,,"['OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf']","[[66], [69], [141], [60], [137], [110], [46], [142, 105]]","[[0], [0], [0], [0], [0], [1], [1], [0, 0]]","[['19'], ['3'], ['12'], ['4'], ['3'], ['9'], ['6'], ['12', '4']]"
45,305,"305-2.1, 305-*.2",multistep,,,"['commerzbank_2023.pdf', 'heidelberg-materials_2023.pdf']","[[69], [355]]","[[0], [0]]","[['3'], ['16']]"
46,305,305-2.2,multistep,,,"['axa_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[179], [66], [69], [63], [141], [60], [137], [110], [46], [142, 105], [81], [84], [86]]","[[0], [0], [0], [0], [0], [0], [0], [1], [1], [0, 0], [0], [0], [0]]","[['5'], ['9'], ['4'], ['4'], ['11'], ['3'], ['4'], ['10'], ['6'], ['7', '3'], ['7'], ['7'], ['5']]"
47,305,"305-2.2, 305-*.2",multistep,,,"['OTC_SU_2023.pdf', 'commerzbank_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ADDDF_2023.pdf']","[[311], [69], [355], [84]]","[[1], [0], [0], [0]]","[['16'], ['4'], ['7'], ['11']]"
48,305,305-2.3,rel_superlative,,,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'prosiebensat1-media_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[311], [197], [65], [37], [46], [79]]","[[1], [0], [0], [0], [0], [0]]","[['15'], ['13'], ['6'], ['5'], ['5'], ['3']]"
49,305,"305-2.3, 305-*.2",rel_ranking,,,"['fresenius_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_ADDDF_2023.pdf']","[[197, 192], [184, 382], [84]]","[[0, 0], [0, 0], [0]]","[['4', '7'], ['16', '16'], ['8']]"
50,305,305-3.1,quant_sum,,,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[312, 311], [619, 17, 383], [66], [69], [65], [63], [141], [60], [37], [137], [46, 46], [142, 105, 106], [307], [81], [84], [91], [79]]","[[0, 1], [0, 0, 0], [0], [0], [0], [0], [0], [0], [0], [0], [0, 1], [0, 0, 0], [0], [0], [0], [0], [0]]","[['3', '20'], ['2', '8', '2'], ['12'], ['5'], ['9'], ['6'], ['14'], ['5'], ['6'], ['5'], ['6', '7'], ['26', '7', '3'], ['3'], ['17'], ['12'], ['2'], ['4']]"
51,305,"305-3.1, 305-*.2",quant_avg,,,"['commerzbank_2023.pdf', 'OTC_BAYZF_2023.pdf', 'OTC_BAYZF_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf']","[[69], [259, 33], [355], [153, 348], [147], [108]]","[[0], [0, 0], [0], [0, 0], [1], [0]]","[['5'], ['6', '6'], ['21'], ['5', '16'], ['2'], ['2']]"
52,305,305-4.1,multistep,,,"['NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'talanx_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[306, 619], [141, 117], [97], [349], [87], [80]]","[[3, 1], [0, 0], [0], [0], [0], [0]]","[['2', '2'], ['4', '3'], ['2'], ['31'], ['7'], ['2']]"
53,305,"305-4.1, 305-*.2",multistep,,,"['NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'commerzbank_2023.pdf']","[[185, 306], [54]]","[[1, 2], [0]]","[['2', '2'], ['15']]"
54,305,"305-4.1, 305-5.1",multistep,,,"['NYSE_TTE_2023.pdf', 'OTC_ESOCF_2023.pdf']","[[17], [349]]","[[0], [0]]","[['7'], ['31']]"
55,305,305-5.1,multistep,,,"['NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf']","[[117, 142], [106, 110]]","[[0, 0], [0, 0]]","[['11', '11'], ['6', '2']]"
56,305,"305-5.1, 305-*.2",rel_superlative,,,"['NYSE_TTE_2023.pdf', 'commerzbank_2023.pdf']","[[383], [54]]","[[0], [0]]","[['9'], ['2']]"
57,305,305-7.1,rel_ranking,,,"['NYSE_TTE_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[387], [357, 37, 119], [137], [148]]","[[0], [0, 0, 0], [0], [0]]","[['4'], ['3', '8', '2'], ['10'], ['3']]"
58,305,305-7.2,quant_sum,,,"['NYSE_TTE_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[387], [357, 37, 119], [137], [148]]","[[0], [0, 0, 0], [0], [0]]","[['3'], ['5', '8', '3'], ['9'], ['4']]"
59,305,305-7.4,quant_avg,,,"['OTC_SU_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[309], [374], [148]]","[[2], [0], [0]]","[['2'], ['11'], ['6']]"
60,305,305-7.6,multistep,,,"['NYSE_TTE_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[387], [357, 119], [137], [148]]","[[0], [0, 0], [0], [0]]","[['6'], ['7', '4'], ['11'], ['7']]"
61,306,306-3.1,multistep,,,"['axa_2023.pdf', 'OTC_SU_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[183], [309], [132], [125, 141], [295], [358], [154], [140], [311], [79]]","[[0], [0], [0], [0, 0], [0], [0], [0], [0], [0], [0]]","[['33'], ['3'], ['24'], ['2', '31'], ['3'], ['21'], ['3'], ['9'], ['2'], ['3']]"
62,306,306-3.2,multistep,,,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'vivendi_2023.pdf']","[[309], [387], [295], [358], [140]]","[[0], [3], [0], [0], [0]]","[['11'], ['5'], ['7'], ['23'], ['5']]"
63,306,"306-3.2, 306-4.2",multistep,,,"['NYSE_TTE_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[387], [154]]","[[3], [0]]","[['5'], ['7']]"
64,306,"306-3.2, 306-5.2",rel_superlative,,,"['OTC_SU_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[309], [154]]","[[0], [0]]","[['7'], ['4']]"
65,306,306-3.3,rel_ranking,,,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'vivendi_2023.pdf']","[[309], [387], [295], [358], [140]]","[[0], [3], [0], [0], [0]]","[['5'], ['4'], ['8'], ['22'], ['6']]"
66,306,"306-3.3, 306-4.2",quant_sum,,,"['OTC_SU_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf']","[[309], [154], [140]]","[[0], [0], [0]]","[['6'], ['12'], ['7']]"
67,306,"306-3.3, 306-5.2",quant_avg,,,"['OTC_SU_2023.pdf', 'OTC_SAPMY_2023.pdf']","[[309], [154]]","[[0], [0]]","[['8'], ['9']]"
68,306,306-3.7,multistep,,,"['NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'vivendi_2023.pdf']","[[125, 141], [140]]","[[0, 0], [0]]","[['3', '32'], ['2']]"
69,306,306-4.2,multistep,,,"['NYSE_TTE_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[387], [141], [295], [358], [311], [79]]","[[3], [0], [0], [0], [0], [0]]","[['3'], ['34'], ['4'], ['26'], ['3'], ['6']]"
