,GRI,GRI finegrained,Operation,PDF name,Page numbers,Table numbers,Row numbers
10,305,305-1.1,quant_sum,"['axa_2023.pdf', 'OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[179], [311], [197], [184], [66], [69], [65], [63], [141], [282, 282, 286, 286], [60], [374, 37], [137], [110], [46, 46], [142, 105], [81], [84], [86], [79]]","[[0], [1], [0], [0], [0], [0], [0], [0], [0], [0, 1, 0, 1], [0], [0, 0], [0], [1], [0, 1], [0, 0], [0], [0], [0], [0]]","[['3'], ['6'], ['12'], ['3'], ['3'], ['2'], ['2'], ['3'], ['5'], ['3', '10', '3', '2'], ['2'], ['3', '2'], ['2'], ['3'], ['3', '4'], ['6', '2'], ['4'], ['2'], ['4'], ['2']]"
11,305,"305-1.1, 305-*.2",quant_avg,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'commerzbank_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'brenntag_2023.pdf', 'vivendi_2023.pdf', 'OTC_ADDDF_2023.pdf']","[[311], [197, 192], [184, 305, 382], [69], [355], [137, 346, 347], [110, 112], [108], [84]]","[[1], [0, 0], [0, 0, 0], [0], [0], [0, 0, 0], [1, 0], [0], [0]]","[['7'], ['3', '3'], ['4', '3', '3'], ['2'], ['3'], ['7', '17', '21'], ['4', '4'], ['2'], ['3']]"
12,305,"305-1.1, 305-2.3",multistep,"['NYSE_TTE_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'OTC_BAYZF_2023.pdf', 'OTC_BAYZF_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[17], [65], [259, 33, 132], [106, 106], [2], [110], [86], [79]]","[[0], [0], [0, 0, 0], [0, 1], [0], [0], [0], [1]]","[['3'], ['14'], ['5', '5', '22'], ['2', '2'], ['45'], ['9'], ['6'], ['2']]"
13,305,305-2.1,multistep,"['OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf']","[[66], [69], [141], [60], [137], [110], [46], [142, 105]]","[[0], [0], [0], [0], [0], [1], [1], [0, 0]]","[['19'], ['3'], ['12'], ['4'], ['3'], ['9'], ['6'], ['12', '4']]"
14,305,305-2.2,multistep,"['axa_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[179], [66], [69], [63], [141], [60], [137], [110], [46], [142, 105], [81], [84], [86]]","[[0], [0], [0], [0], [0], [0], [0], [1], [1], [0, 0], [0], [0], [0]]","[['5'], ['9'], ['4'], ['4'], ['11'], ['3'], ['4'], ['10'], ['6'], ['7', '3'], ['7'], ['7'], ['5']]"
15,305,305-2.3,multistep,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'prosiebensat1-media_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[311], [197], [65], [37], [46], [79]]","[[1], [0], [0], [0], [0], [0]]","[['15'], ['13'], ['6'], ['5'], ['5'], ['3']]"
16,305,305-3.1,rel_superlative,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[312, 311], [619, 17, 383], [66], [69], [65], [63], [141], [60], [37], [137], [46, 46], [142, 105, 106], [307], [81], [84], [91], [79]]","[[0, 1], [0, 0, 0], [0], [0], [0], [0], [0], [0], [0], [0], [0, 1], [0, 0, 0], [0], [0], [0], [0], [0]]","[['3', '20'], ['2', '8', '2'], ['12'], ['5'], ['9'], ['6'], ['14'], ['5'], ['6'], ['5'], ['6', '7'], ['26', '7', '3'], ['3'], ['17'], ['12'], ['2'], ['4']]"
17,305,"305-3.1, 305-*.2",rel_ranking,"['commerzbank_2023.pdf', 'OTC_BAYZF_2023.pdf', 'OTC_BAYZF_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf']","[[69], [259, 33], [355], [153, 348], [147], [108]]","[[0], [0, 0], [0], [0, 0], [1], [0]]","[['5'], ['6', '6'], ['21'], ['5', '16'], ['2'], ['2']]"
18,305,305-4.1,quant_sum,"['NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'talanx_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[306, 619], [141, 117], [97], [349], [87], [80]]","[[3, 1], [0, 0], [0], [0], [0], [0]]","[['2', '2'], ['4', '3'], ['2'], ['31'], ['7'], ['2']]"
19,306,306-3.1,quant_avg,"['axa_2023.pdf', 'OTC_SU_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[183], [309], [132], [125, 141], [295], [358], [154], [140], [311], [79]]","[[0], [0], [0], [0, 0], [0], [0], [0], [0], [0], [0]]","[['33'], ['3'], ['24'], ['2', '31'], ['3'], ['21'], ['3'], ['9'], ['2'], ['3']]"
20,306,306-3.2,multistep,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'vivendi_2023.pdf']","[[309], [387], [295], [358], [140]]","[[0], [3], [0], [0], [0]]","[['11'], ['5'], ['7'], ['23'], ['5']]"
21,306,306-3.3,multistep,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'vivendi_2023.pdf']","[[309], [387], [295], [358], [140]]","[[0], [3], [0], [0], [0]]","[['5'], ['4'], ['8'], ['22'], ['6']]"
22,306,306-4.2,multistep,"['NYSE_TTE_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[387], [141], [295], [358], [311], [79]]","[[3], [0], [0], [0], [0], [0]]","[['3'], ['34'], ['4'], ['26'], ['3'], ['6']]"
23,308,308-1.1,multistep,"['terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[224, 223, 221, 221, 221, 220, 220, 222, 222], [204], [162], [312], [70, 98, 88], [88, 88]]","[[0, 0, 0, 1, 2, 0, 1, 0, 1], [0], [0], [0], [0, 0, 0], [0, 1]]","[['3', '3', '2', '2', '2', '2', '2', '3', '2'], ['6'], ['12'], ['2'], ['8', '2', '6'], ['2', '2']]"
24,302,302-1.1,rel_superlative,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'OTC_DPSGY_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311, 310], [68], [61], [356], [110], [47], [308, 325, 326]]","[[0, 1], [0], [2], [0], [0], [1], [0, 0, 0]]","[['9', '19'], ['3'], ['3'], ['28'], ['7'], ['10'], ['18', '3', '6']]"
25,302,302-1.10,rel_ranking,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'brenntag_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311, 310], [619], [110], [141], [308]]","[[0, 1], [2], [0], [0], [0]]","[['10', '20'], ['5'], ['6'], ['6'], ['13']]"
26,302,302-1.2,quant_sum,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[311, 310], [117], [61], [110], [47], [145], [141], [308, 325, 326], [86, 87]]","[[0, 1], [0], [2], [0], [1], [0], [0], [0, 0, 0], [0, 0]]","[['3', '15'], ['7'], ['2'], ['2'], ['6'], ['5'], ['5'], ['10', '4', '2'], ['11', '16']]"
27,302,302-1.3,quant_avg,"['OTC_SU_2023.pdf', 'NYSE_AZ_2023.pdf', 'brenntag_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_BAMGF_2023.pdf']","[[311], [61], [110], [47], [145], [308]]","[[0], [2], [0], [1], [0], [0]]","[['8'], ['4'], ['5'], ['8'], ['7'], ['11']]"
28,302,302-1.7,multistep,"['OTC_SU_2023.pdf', 'fresenius_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'prosiebensat1-media_2023.pdf', 'OTC_BAYZF_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'OTC_CRERF_2023.pdf']","[[310], [191], [381, 619], [68, 3], [64], [132], [117], [287, 288], [61], [374], [47], [144], [141], [308], [2, 46, 136], [87]]","[[1], [0], [0, 2], [0, 0], [0], [0], [0], [1, 0], [1], [0], [1], [0], [0], [0], [0, 0, 0], [0]]","[['4'], ['5'], ['25', '2'], ['2', '4'], ['2'], ['21'], ['4'], ['5', '8'], ['4'], ['16'], ['11'], ['3'], ['19'], ['3'], ['44', '4', '5'], ['6']]"
29,302,302-1.8,multistep,"['OTC_SU_2023.pdf', 'OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'prosiebensat1-media_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_MBGAF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[311, 310], [381, 619], [68, 3], [64], [110, 117], [356, 374], [47], [144, 145], [106, 106], [308], [86], [86]]","[[0, 1], [0, 2], [0, 0], [0], [0, 0], [0, 0], [1], [0, 0], [0, 1], [0], [0], [0]]","[['3', '11'], ['26', '3'], ['7', '5'], ['3'], ['2', '6'], ['2', '19'], ['7'], ['6', '8'], ['5', '3'], ['17'], ['4'], ['16']]"
30,303,303-5.1,multistep,"['OTC_BAYZF_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'munich-re_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_MBGAF_2023.pdf', 'OTC_CRERF_2023.pdf']","[[132], [359], [139], [47], [310], [350], [72]]","[[0], [0], [0], [0], [0], [0], [0]]","[['23'], ['30'], ['5'], ['3'], ['2'], ['16'], ['3']]"
31,305,305-*.1,multistep,"['fresenius_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'prosiebensat1-media_2023.pdf', 'NASDAQ_DASTY_2023.pdf', 'talanx_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf', 'NYSE_AZ_2023.pdf', 'NYSE_AZ_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'heidelberg-materials_2023.pdf', 'OTC_ESOCF_2023.pdf', 'OTC_ESOCF_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'munich-re_2023.pdf', 'OTC_SAPMY_2023.pdf', 'OTC_BAMGF_2023.pdf', 'deutsche-telekom-ag_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_RWNEF_2023.pdf', 'OTC_RWNEF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[197], [66, 68], [69], [65, 66], [141], [97], [286], [60, 61, 58], [374, 37, 81, 118], [88, 137], [46, 29, 29], [148], [306], [2], [81], [84], [79, 80, 45]]","[[0], [0, 1], [0], [0, 0], [0], [0], [0], [0, 0, 0], [0, 0, 0, 0], [0, 0], [1, 0, 1], [0], [0], [0], [0], [0], [0, 1, 1]]","[['11'], ['17', '2'], ['6'], ['15', '2'], ['23'], ['15'], ['5'], ['6', '2', '2'], ['4', '7', '4', '2'], ['7', '12'], ['4', '2', '2'], ['5'], ['2'], ['45'], ['18'], ['18'], ['16', '2', '9']]"
32,305,"305-*.1, 305-*.2",rel_superlative,"['OTC_ESOCF_2023.pdf', 'brenntag_2023.pdf', 'brenntag_2023.pdf', 'OTC_SAPMY_2023.pdf', 'vivendi_2023.pdf', 'vivendi_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_BAMGF_2023.pdf', 'OTC_MBGAF_2023.pdf', 'hugo-boss_2023.pdf', 'OTC_LVMUY_2023.pdf', 'OTC_ADDDF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_CRERF_2023.pdf', 'OTC_RWNEF_2023.pdf']","[[137], [110, 112], [147], [142, 108], [306, 307, 309], [350], [81], [167], [84], [87, 91, 88], [45]]","[[0], [1, 0], [1], [0, 0], [0, 0, 0], [0], [0], [0], [0], [0, 0, 0], [1]]","[['6'], ['11', '2'], ['2'], ['20', '2'], ['6', '4', '3'], ['8'], ['2'], ['2'], ['6'], ['2', '4', '4'], ['5']]"
33,305,305-*.2,rel_ranking,"['OTC_SU_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'NYSE_TTE_2023.pdf', 'OTC_DPSGY_2023.pdf', 'OTC_DPSGY_2023.pdf', 'commerzbank_2023.pdf', 'prosiebensat1-media_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'terna_2023.pdf', 'NYSE_AZ_2023.pdf']","[[312], [619, 305, 306, 383, 383], [68, 3], [69], [65], [282, 284, 287], [54]]","[[0], [0, 0, 0, 0, 1], [1, 0], [0], [0], [1, 1, 0], [0]]","[['4'], ['4', '4', '3', '5', '3'], ['3', '2'], ['6'], ['12'], ['4', '2', '3'], ['2']]"
