,companies,answer_value,answer_company,unit,years,question,operation,GRI,out
64,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",[7.64 9.72],['OTC_ADDDF' 'OTC_BAYZF'],Million metric tons of CO2 equivalents,[2022],What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"7.64, 9.72"
65,"['OTC_ESOCF_2023_137_0', 'munich-re_2023_46_0']",[71.04  3.13],['OTC_ESOCF' 'munich-re'],MtCO2eq,[2022],Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in MtCO2eq?,rank,305,"OTC_ESOCF, munich-re"
66,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",[ 142457. 1110000.],['OTC_ADDDF' 'OTC_BAYZF'],tons CO2e,[2023],Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"OTC_ADDDF, OTC_BAYZF"
67,"['NYSE_AZ_2023_60_0', 'vivendi_2023_105_0']",[10291. 31774.],['vivendi' 'NYSE_AZ'],tCO2e,[2023],Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"vivendi, NYSE_AZ"
68,"['OTC_ADDDF_2023_84_0', 'axa_2023_179_0']",[142293.  37172.],['OTC_ADDDF' 'axa'],tCO2eq,[2022],What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,rank,305,"142293.0, 37172.0"
69,"['NASDAQ_DASTY_2023_141_0', 'NYSE_AZ_2023_60_0']",31774.0,NYSE_AZ,tCO2-eq,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,sup,305,31774.0
70,"['OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[0.02 0.2 ],['vivendi' 'OTC_RWNEF'],million mt CO2e,[2023],What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,rank,305,"0.02, 0.2"
71,"['OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0']",35056,OTC_DPSGY,GWh,"[2023, 2022, 2021, 2020]",What is the highest energy consumed in the last 4 years among the following companies in GWh?,sup,302,35056
72,"['OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",569155.0,,tCO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,mean,305,569155.0
73,"['NASDAQ_DASTY_2023_117_0', 'OTC_DPSGY_2023_3_0']",55883.25,,,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,55883.25
74,"['NYSE_TTE_2023_381_0', 'heidelberg-materials_2023_374_0']",347068,heidelberg-materials,,"[2023, 2022]",What is the largest energy consumption from 2022 to 2023 among the following companies?,sup,302,347068
75,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",20138555.0,,tCO2e,"[2023, 2022]",What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,sum,305,20138555.0
76,"['OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",85400000.0,OTC_RWNEF,tons CO2e,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,sup,305,85400000.0
77,"['OTC_ADDDF_2023_84_0', 'axa_2023_179_0']",[142293.  37172.],['OTC_ADDDF' 'axa'],tCO2eq,[2022],Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,rank,305,"OTC_ADDDF, axa"
78,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0']",86391.5,,tons CO2e,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,mean,305,86391.5
79,"['NYSE_AZ_2023_60_0', 'munich-re_2023_46_0']",3039435,munich-re,tCO2e,[2023],Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,sup,305,munich-re
80,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0']",[202.     7.57],['NYSE_TTE' 'OTC_SU'],kt,[2023],Which companies have the 2 highest amounts of hazardous waste produced in 2023 (sorted in descending order) among the following companies in kt?,rank,306,"NYSE_TTE, OTC_SU"
81,"['OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",[  14249. 1110000.],['munich-re' 'OTC_BAYZF'],tCO2e,[2023],What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"14249.0, 1110000.0"
82,"['OTC_BAYZF_2023_63_0', 'vivendi_2023_105_0']",569748.0,,TCO2eq,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,mean,305,569748.0
83,"['OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",0.34,,million mt CO2e,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,sum,305,0.34
84,"['NYSE_AZ_2023_60_0', 'vivendi_2023_105_0']",160942.0,,tCO2e,[2022],What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,sum,305,160942.0
85,"['NASDAQ_DASTY_2023_141_0', 'munich-re_2023_46_0']",1609479.0,,tCO2-eq,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,mean,305,1609479.0
86,"['axa_2023_179_0', 'vivendi_2023_105_0']",[21598. 10291.],['axa' 'vivendi'],TCO2eq,[2023],Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"axa, vivendi"
87,"['OTC_ESOCF_2023_137_0', 'axa_2023_179_0']",[0.04 3.28],['axa' 'OTC_ESOCF'],MtCO2eq,[2023],What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,rank,305,"0.04, 3.28"
88,"['OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",1.14,,Million metric tons of CO2 equivalents,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,sum,305,1.14
89,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0']",[ 0.09 71.04],['NYSE_AZ' 'OTC_ESOCF'],MtCO2eq,[2022],Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,rank,305,"NYSE_AZ, OTC_ESOCF"
90,"['OTC_DPSGY_2023_3_0', 'prosiebensat1-media_2023_64_0']",35056.0,OTC_DPSGY,,"[2023, 2022]",What is the largest energy consumption from 2022 to 2023 among the following companies?,sup,302,35056.0
91,"['NYSE_AZ_2023_60_0', 'vivendi_2023_105_0']",[30490. 19496.],['NYSE_AZ' 'vivendi'],tCO2e,[2022],Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,rank,305,"NYSE_AZ, vivendi"
92,"['OTC_RWNEF_2023_79_0', 'axa_2023_179_0']",[2.00e-02 6.19e+01],['axa' 'OTC_RWNEF'],million mt CO2e,[2023],What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,rank,305,"0.02, 61.9"
93,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0']",6.78,OTC_BAYZF,million cubic meters,"[2023, 2022]",What is the highest water consumption in the years 2023 and 2022 for the following companies in million cubic meters?,sup,303,6.78
94,"['NYSE_TTE_2023_387_3', 'vivendi_2023_140_0']",[  8430. 322000.],['vivendi' 'NYSE_TTE'],tons,[2022],Which companies have the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,rank,306,"vivendi, NYSE_TTE"
95,"['NASDAQ_DASTY_2023_141_0', 'OTC_ESOCF_2023_137_0']",[34.51  0.  ],['OTC_ESOCF' 'NASDAQ_DASTY'],MtCO2eq,[2023],Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,rank,305,"OTC_ESOCF, NASDAQ_DASTY"
96,"['NASDAQ_DASTY_2023_117_0', 'deutsche-telekom-ag_2023_46_0']",71.22,NASDAQ_DASTY,GWh,"[2023, 2022]",Which company has the lowest energy consumption over the last 2 years among the following companies in GWh?,sup,302,NASDAQ_DASTY
97,"['OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0']",12241,deutsche-telekom-ag,GWh,"[2023, 2022, 2021, 2020]",What is the lowest energy consumption over the last 4 years among the following companies in GWh?,sup,302,12241
98,"['OTC_BAMGF_2023_311_0', 'OTC_CRERF_2023_79_0']",1747525,,,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,1747525
99,"['munich-re_2023_46_0', 'vivendi_2023_105_0']",[3130824.  770748.],['munich-re' 'vivendi'],TCO2eq,[2022],Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"munich-re, vivendi"
100,"['OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",22042.0,vivendi,TCO2eq,"[2023, 2022]",What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in TCO2eq?,sup,305,22042.0
101,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0']",[1.89 0.02],['OTC_BAYZF' 'OTC_ADDDF'],Million metric tons of CO2 equivalents,[2023],Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_BAYZF, OTC_ADDDF"
102,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",[7635784. 3130824.],['OTC_ADDDF' 'munich-re'],tons CO2e,[2022],Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"OTC_ADDDF, munich-re"
103,"['OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0']",[12241 35056],['deutsche-telekom-ag' 'OTC_DPSGY'],GWh,[2023],Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,rank,302,"deutsche-telekom-ag, OTC_DPSGY"
104,"['OTC_DPSGY_2023_3_0', 'OTC_SU_2023_310_1']",1124.33,OTC_SU,million kWh,"[2023, 2022, 2021, 2020]",What is the lowest energy consumption over the last 4 years among the following companies in million kWh?,sup,302,1124.33
