index,question,value,response
64,"What is the sum of the averages in the years 2021, 2022, 2019 between Nox and NMVOC emissions?",126.67, 67
65,"Between grid electricity, purchased and self generated renewable electricity, what is the value of the lowest sum in the years 2020, 2023, 2022?",56377, 66733
66,"Between surface and groundwater withdrawal, what are the top 2 highest sums (in ascending order) in the years 2021, 2022, 2023?","51369.0, 1478138.0", 2072263
67,"Between the total water withdrawn except for cooling and water withdrawn for cooling, what is the average of the percentage ratios from 2022 to 2020?",89.75, 67.6%
68,"Between the total water withdrawn except for cooling and water withdrawn for cooling, what is the sum of the averages in the years 2020, 2022, 2023, 2021?",2729304.75, 2072263
69,"Between scope 1 and scope 2 emissions, what is the average of the percentage ratios from 2022 to 2023?",114.3, 0.11%
70,What is the value of the highest percentage ratio from 2020 to 2022 between scope 2 and 3 emissions?,132.33, 60788549
71,"Which are the top 2 lowest sums (in descending order) in the years 2023, 2020 between scope 1 and 3 emissions?","122548685.0, 255180.0", 11.4
72,"What are the top 2 lowest averages (in descending order) in the years 2021, 2022, 2020 between scope 2 emissions and emissions from grid electricity?","136017.33, 62170.33", 0.10%
73,"Between scope 1,2 and 3 emissions, what is the sum of the averages in the years 2020, 2022, 2023, 2021?",63271889, 293832
74,"What is the value of the highest average in the years 2021, 2020, 2023 between the different sources of energy consumption?",602953.67, 1080366
75,"Which are the top 2 lowest averages (in descending order) in the years 2022, 2020, 2023, 2021 between purchased and self generated renewable electricity?","599428.0, 18059.5", 15861
76,"Between surface and groundwater withdrawal, what is the value of the highest average in the years 2020, 2023?",462400.5, 452602
77,Which are the top 2 highest percentage ratios (in ascending order) from the year 2021 to 2022 between total and surface water withdrawal?,"107.84, 131.98", 36.4%
78,What is the average of the percentage ratios from 2021 to 2023 between water withdrawn except for cooling and water withdrawn for cooling?,108.62, 2072263
79,"What is the value of the highest average in the years 2023, 2021 between scope 1+2 market based and scope 2 emissions?",248032, 293832
80,"Between scope 1 and gas emissions, what is the value of the lowest percentage ratio from 2022 to 2023?",105.9, 0.08%
81,What are the top 2 highest percentage ratios (in descending order) from the year 2022 to 2021 between fuel and gas emissions?,"97.65, 83.26", 99%
82,Which are the top 2 highest percentage ratios (in descending order) from the year 2021 to 2023 between vehicle and SF6 emissions?,"145.19, 101.94", 0.11%
83,"Between grid and renewable electricity scope 2 emissions, what is the average of the percentage ratios from 2022 to 2021?",87.38, 672
84,"Between scope 2 and 3 emissions, what are the top 2 highest averages (in descending order) in the years 2022, 2023, 2021, 2020?","63018679.75, 124373.0", 10.2
85,"What is the sum of the averages in the years 2021, 2023 between non hazardous waste and non hazardous reused waste?",232988, 13667
86,"Between non hazardous and hazardous, what is the average of the percentage ratios from 2022 to 2023?",106.31, 94.4%
87,"Between total and hazardous waste generated, what is the value of the lowest average in the years 2022, 2020, 2023?",7783, 0.24
88,"Which are the top 2 lowest sums (in descending order) in the years 2021, 2020, 2022, 2023 between total waste and non hazardous waste generated?","517649.0, 485751.0", 131402
89,"What are the top 3 highest percentage ratios (in descending order) from the year 2021 to 2022 between reused, incinerated and landfilled non hazardous waste?","114.49, 103.65, 103.57"," 3.84, 4.73, 6.4%"
90,What is the average of the percentage ratios from 2022 to 2023 between recycled polyester and sustainable cotton?,98.48, 80
91,"Between recycled polyester and sustainable cotton, what is the value of the highest average in the years 2023, 2022?",100, nan
92,"Between the energy consumption from cement and clinker production, which are the top 2 lowest percentage ratios (in descending order) from the year 2022 to 1990?","80.1, 74.79", 0.2
93,Which are the top 2 highest percentage ratios (in descending order) from the year 2021 (group) to 2022 (full consolidated between direct and indirect energy consumption?,"182.11, 88.34"," 16665, 380"
94,"Between direct and indirect energy consumption, which are the top 2 highest percentage ratios (in descending order) from the year 2023 (full consolidated) to 2022 (group)?","84.56, 50.43", 5%
95,What are the top 2 highest percentage ratios (in descending order) from the year 2023 to 2021 between indirect and direct group consumption of energy?,"101.15, 54.48"," 16665, 380"
96,What are the top 2 lowest percentage ratios (in descending order) from the year 2022 to 2023 between total and direct full consolidated consumption of energy?,"113.83, 113.66", 1.2
97,"Between direct and indirect energy consumption, what is the value of the lowest sum in the years 2021 (group), 2023 (full consolidated), 2021 (full consolidated), 2023 (group), 2022 (full consolidated)?",2166, 16665
98,What are the top 2 lowest percentage ratios (in ascending order) from the year 2021 (group) to 2022 (full consolidated between direct and indirect energy consumption?,"88.34, 182.11", 1.2
99,What is the average of the percentage ratios from 2022 (group) to 2021 (full consolidated between direct and indirect energy consumption?,157.62, 16665
100,"Between direct and indirect group energy consumption, what is the average of the percentage ratios from 2023 to 2021?",77.81, 3600
101,"Between direct and indirect energy consumption, which are the top 2 highest averages (in descending order) in the years 2021, 2022, 2023 for the group consumption and 2022, 2023 for fully consolidated?","15060.6, 499.2", 4661
102,What is the average of the percentage ratios from 2022 to 2021 between direct and indirect group energy consumption?,109.09, 692
103,"Between the group electricity consumed from the grid and the group electricity consumed from the grid, but produced from renewable sources, what are the top 2 lowest sums (in ascending order) in the years 2023, 2022?","30532.0, 106254.0", 365.2
104,"Between location based and target based emissions, what are the top 2 lowest sums (in descending order) in the years 2022, 2023 for fully consolidated and 2023 for group emissions?","16429.5, 16427.2", 4385.6
105,"What is the sum of the averages in the years 2023, 2022 for group emissions, 2023, 2022 for fully consolidated between location based and target based emissions?",10406.39, 3642.4
106,Which are the top 2 highest percentage ratios (in descending order) from the year 2023 to 2021 between location based and target based group emissions?,"242.13, 241.95", 6446.5
107,"What is the value of the highest average in the years 2022 (group), 2022 (full consolidated), 2023 (group), 2023 (full consolidated between location based and target based emissions?",5203.77, 3642.4
108,What are the top 2 highest percentage ratios (in descending order) from the year 2022 to 2023 between operated and not operated intensity emissions?,"105.56, 100.0"," 0.11, 0.1"
109,"What is the value of the lowest sum in the years 2022, 2019, 2020 between fresh water withdrawal from cooling water and total fresh water consumption?",226, 105
110,"What is the average of the percentage ratios from 2023 to 2019 between NMVOC, SO2 and Nox emissions?",55.3, 36.0
111,"Between downstream transportation and purchased goods and services, what is the value of the lowest sum in the years 2023, 2022?",2, 30
112,"Between downstream and upstream transportation, what is the value of the lowest average in the years 2023, 2022?",1, 11
113,"Between the total processed waste and non hazardous waste, what is the sum of the averages in the years 2022, 2023, 2020?",821.34, 672
114,"What is the sum of the averages in the years 2023, 2019 between non hazardous and hazardous waste?",592, 371
115,"What is the value of the lowest sum in the years 2023, 2022 between operated and not operated intensity emissions?",34, 0.11
116,"Between operated and not operated intensity emissions, what is the value of the lowest percentage ratio from 2023 to 2021?",94.74, 0.13
117,"What is the value of the lowest sum in the years 2021, 2023, 2020, 2022 between freshwater (excluding cooling water) withdrawal and water withdrawal from water-stressed areas?",211, 0.0
118,"Between NMVOC and Nox emissions, what are the top 2 lowest percentage ratios (in descending order) from the year 2023 to 2020?","93.75, 62.32", 36
119,"Between grid electricity, purchased and self generated renewable electricity, what is the value of the lowest percentage ratio from 2021 to 2020?",89.13, 15861
120,"Between surface and groundwater withdrawal, what is the sum of the averages in the years 2020, 2021?",501425, 513631
121,"What is the value of the lowest sum in the years 2022, 2021, 2023, 2020 between total water withdrawn (except for cooling) and water withdrawn for cooling?",3096165, 780201
122,"Between total water withdrawn not for cooling and water withdrawn for cooling, what is the average of the percentage ratios from 2023 to 2020?",101.38, 53.6%
123,Which are the top 2 lowest percentage ratios (in descending order) from the year 2022 to 2021 between scope 1 and 2 emissions?,"84.88, 71.67", 0.11%
124,"Between scope 2 and 3 emissions, what is the average of the percentage ratios from 2020 to 2021?",95.26, 0.11%
125,"What is the value of the highest average in the years 2022, 2021, 2020 between scope 1 and 3 emissions?",65098918.33, 68737485
126,"Between scope 1, 2 and 3 emissions, what is the value of the lowest percentage ratio from 2020 to 2022?",132.33, 0.11%
127,"What is the value of the highest percentage ratio from 2021 to 2023 between scope 1, 2 and 3 emissions?",171.19, 293832
128,What is the average of the sums in the years 2021 and 2023 between different sources of energy consumption (except for self generated renewable electricity?,72441.17, 5491
129,What is the value of the lowest percentage ratio from 2023 to 2021 between the energy consumption from renewable sources and non renewable sources?,63.69, 37.1%
130,"What is the sum of the averages in the years 2023, 2022, 2020, 2021 between the different sources of energy consumption?",1007168, 360033
131,What is the average of the sums in the years 2020 and 2022 between self generated and purchased renewable electricity?,603764.5, 20719
132,"Which are the top 2 highest averages (in descending order) in the years 2021, 2022, 2020, 2023 between surface and groundwater withdrawal?","482685.0, 17207.5"," 36,655"
133,"Between total and surface water withdrawn, what are the top 2 lowest sums (in ascending order) in the years 2023, 2021?","36855.0, 3971453.0", 360033
134,"Between the total water withdrawn and the water withdrawn for water stressed areas, what is the value of the highest average in the years 2023, 2021, 2022?",1964340.67, 2072263
135,"Between the water withdrawn not for cooling and the water withdrawn for cooling, which are the top 2 highest sums (in descending order) in the years 2023, 2021, 2022?","5893022.0, 2315964.0", 622951
136,"Between scope 1+2 market based emissions and scope 2 emissions, what is the average of the sums in the years 2022 to 2023?",315289.5, 229177
137,"Between scope 1 emissions and gas emissions, what is the value of the highest sum in the years 2022, 2021, 2020, 2023?",515345, 68737485
138,"Between fuel emissions and gas emissions, what is the value of the lowest average in the years 2020, 2021?",4485.5, 0.00%
139,"Between the vehicle fleet and SF6 emissions, what are the top 2 lowest averages (in descending order) in the years 2020, 2022, 2021?","63836.67, 5926.33", 0.10%
140,"What is the value of the highest average in the years 2022, 2023 between the grid electricity and renewable electricity scope 2 emissions?",44575, 6792
141,"What is the value of the lowest sum in the years 2022, 2021, 2023 between the scope 2 and 3 emissions?",352285, 60788549
142,"Which are the top 2 lowest sums (in descending order) in the years 2020, 2022, 2023 between non hazardous waste and non hazardous waste recycled?","357484.0, 330371.0", 115567
143,"Which are the top 2 highest sums (in ascending order) in the years 2022, 2021 between hazardous and non hazardous waste generated?","16640.0, 251578.0", 115567
144,"Between total and hazardous waste, which are the top 2 lowest percentage ratios (in descending order) from the year 2023 to 2022?","94.47, 93.6", 0.24%
145,"What is the value of the lowest sum in the years 2023, 2021 between total and non hazardous waste?",244833, 136816
146,"Between reused and incinerated non hazardous waste, what is the sum of the averages in the years 2021, 2022?",120400, 115550
147,"Between reused, incinerated and landfilled non hazardous waste, what is the sum of the averages in the years 2023, 2021, 2022?",122714.66, 115567
148,"Between sustainable cotton and recycled polyester, what are the top 2 lowest sums (in descending order) in the years 2021, 2023, 2022?","300.0, 286.0", 100
149,"Between sustainable cotton and recycled polyester, which are the top 2 highest averages (in ascending order) in the years 2023, 2022?","97.5, 100.0", % of more sustainable cotton sourced
150,What is the average of the sums in the years 2023 to 2022 between the energy consumption from cement and clinker production?,628016.5, 2993.4
151,"Between direct and indirect energy consumption, what are the top 2 lowest sums (in descending order) in the years 2022 (group), 2023 (full consolidated), 2021 (group), 2022 (full consolidated), 2023 (group)?","75303.0, 2496.0", 47733
152,"Which are the top 2 lowest sums (in ascending order) in the years 2022, 2021 for the group emissions, 2023, 2022 for the full consolidated between direct and indirect energy consumption?","2119.0, 60969.0"," 16665, 3600"
153,"Between direct and indirect energy consumption, what is the value of the highest average in the years 2022, 2023 for the group emissions and 2022 for the full consolidated?",15680, 16041
154,"Which are the top 2 highest averages (in descending order) in the years 2021, 2023 for the full consolidated emissions, 2023, 2021, 2022 for the group between the total and direct energy consumption?","15015.4, 14517.4", 4661
155,"Between direct and indirect energy consumption, what is the average of the percentage ratios from 2023 (group) to 2022 (full consolidated)?",94.28, 3675
156,"What is the value of the lowest average in the years 2022 (full consolidated), 2022 (group), 2023 (full consolidated), 2023 (group between direct and indirect energy consumption?",451, 1.75
157,"Between direct and indirect group energy consumption, what is the average of the sums in the years 2022 to 2021?",16112, 14171
158,What is the value of the lowest percentage ratio from 2021 to 2023 between direct and indirect full consolidated energy consumption?,94.56, 1.2
159,"What is the value of the highest sum in the years 2022, 2021 between direct and indirect group energy consumption?",30836, 16041
160,"Between direct and indirect energy consumption, what is the average of the sums in the years 2021 (full consolidated) and 2021 (group)?",14277, 11661
161,"What are the top 2 highest averages (in ascending order) in the years 2023 (full consolidated), 2021 (group), 2022 (full consolidated), 2023 (group), 2021 (full consolidated between the electricity consumed from the grid and the one consumed from the grid but purchased from renewable sources?","11996.4, 43627.0"," 16133, 365.2"
162,"Between location based and market based emissions, what is the average of the sums in full consolidated and group scenarios in 2023?",12786.85, 2467.16
163,"What is the value of the highest average in the years 2022 for the group emissions, 2023, 2021 for full consolidated between location based and market based emissions?",4375.8, 2471.4
164,What is the average of the percentage ratios from 2023 to 2021 between location based and market based group emissions?,242.04, 2471.4
165,What is the average of the sums in the years 2023 to 2022 between location based and market based group emissions?,10831.05, 2467.16
