index,question,value,response
15,Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, OTC_RWNEF, OTC_ADDDF",Response too long
16,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"OTC_BAYZF, OTC_RWNEF",Response too long
17,Which companies have the 5 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"NYSE_AZ, NASDAQ_DASTY, vivendi, munich-re, OTC_ESOCF",Response too long
18,Which companies have the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_RWNEF, OTC_ESOCF, munich-re, axa, NASDAQ_DASTY",Response too long
19,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,OTC_ESOCF,Response too long
20,Which companies have the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"OTC_RWNEF, OTC_ESOCF, munich-re, OTC_ADDDF",Response too long
21,What is the largest energy consumption from 2022 to 2023 among the following companies?,347068,Response too long
22,Which companies have the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_ESOCF, OTC_RWNEF, OTC_BAYZF, munich-re",92467#96745#94182#90780 |
23,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,5894811.0,"735018 |

### Instruction
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘"
24,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,OTC_RWNEF,"vivendi |

### Instruction
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format of """
25,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"axa, OTC_ADDDF, NYSE_AZ",Response too long
26,What are the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0, 7635784.0, 3130824.0","5.89481e+06#5.67481e+06#5.67481e+06#5.67481e+06 |

### Instruction
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format of """
27,What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"5100000.0, 1120000.0, 142293.0","19496#14221#30724 |

### Input

Company name: vivendi

| TCO,eq                              |   2022 |
|:------------------------------------|-------:|
| Scope 1                             | 11228 |
| Scope 2 market-based                | 19496 |
| Scope 2 location-based              | 22603 |
| Total Scopes 1 and 2 market-based   | 30724 |
| Total Scopes 1 and 2 location-based | 33831 |

Company name: OTC_ADDDF

| TCO,eq                              |   2022 |
|:------------------------------------|-------:|
| Scope 1                             | 11228 |
| Scope 2 market-based                | 14221 |
| Scope 2 location-based              | 22042 |
| Total Scopes 1 and 2 market-based   | 24512 |
| Total Scopes 1 and 2 location-based | 32333 |

Company name: OTC_BAYZF

| TCO,eq                              |   2022 |
|:------------------------------------|-------:|
| Scope 1                             | 11228 |
| Scope 2 market-based                | 14221 |
| Scope 2 location-based              | 22042 |
| Total Scopes 1 and 2 market-based   | 24512 |
| Total Scopes 1 and 2 location-based | 32333 |

"
28,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,OTC_BAYZF,NYSE_AZ
29,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"vivendi, NYSE_AZ","14221#30490 |

### Text

| Company name: OTC_ADDDF |

| Scope 2 emissions, market-based (in tons CO2e) | 142293 |

| Company name: OTC_BAYZF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Unnamed: 0 |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: OTC_ESOCF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: vivendi |

| Scope 2 market-based | 19496 |

| Company name: OTC_ADDDF |

| Scope 2 emissions, market-based (in tons CO2e) | 142293 |

| Company name: OTC_BAYZF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: OTC_ESOCF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: vivendi |

| Scope 2 market-based | 19496 |

| Company name: OTC_ADDDF |

| Scope 2 emissions, market-based (in tons CO2e) | 142293 |

| Company name: OTC_BAYZF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: OTC_ESOCF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: vivendi |

| Scope 2 market-based | 19496 |

| Company name: OTC_ADDDF |

| Scope 2 emissions, market-based (in tons CO2e) | 142293 |

| Company name: OTC_BAYZF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: OTC_ESOCF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: vivendi |

| Scope 2 market-based | 19496 |

| Company name: OTC_ADDDF |

| Scope 2 emissions, market-based (in tons CO2e) | 142293 |

| Company name: OTC_BAYZF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: OTC_ESOCF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: vivendi |

| Scope 2 market-based | 19496 |

| Company name: OTC_ADDDF |

| Scope 2 emissions, market-based (in tons CO2e) | 142293 |

| Company name: OTC_BAYZF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: OTC_ESOCF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: vivendi |

| Scope 2 market-based | 19496 |

| Company name: OTC_ADDDF |

| Scope 2 emissions, market-based (in tons CO2e) | 142293 |

| Company name: OTC_BAYZF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: OTC_ESOCF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: vivendi |

| Scope 2 market-based | 19496 |

| Company name: OTC_ADDDF |

| Scope 2 emissions, market-based (in tons CO2e) | 142293 |

| Company name: OTC_BAYZF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: OTC_ESOCF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: vivendi |

| Scope 2 market-based | 19496 |

| Company name: OTC_ADDDF |

| Scope 2 emissions, market-based (in tons CO2e) | 142293 |

| Company name: OTC_BAYZF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

| Company name: OTC_ESOCF |

| Scope 2: Indirect emissions according to the market-based method | 5.1 |

|"
30,What are the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"61.9, 34.51, 0.03, 0.02, 0.0",Response too long
31,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"NASDAQ_DASTY, vivendi, NYSE_AZ","NYSE_AZ#OTC_RWNEF#munich-re |

| Unnamed: 0                 | Unnamed: 1                                                                                  | 2023    | Prev. year   | Change   |
|:---------------------------|:--------------------------------------------------------------------------------------------|:--------|:-------------|:---------|
| Scope                      | Source of emission                                                                          | tCO2e   | tCO2e        | %        |
| Scope 1"
32,Which companies have the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"vivendi, axa, NYSE_AZ, OTC_RWNEF, OTC_ESOCF",Response too long
33,Which companies have the 4 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"OTC_ESOCF, OTC_BAYZF, axa, NYSE_AZ",Response too long
34,Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in million mt CO2e?,vivendi,Response too long
35,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,9720000.0,"3130824 |

### Instruction
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format"
36,What are the 5 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,"22042.0, 42423.0, 112228.0, 200000.0, 3280000.0",Response too long
37,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"NASDAQ_DASTY, munich-re, deutsche-telekom-ag, OTC_DPSGY, heidelberg-materials",Response too long
38,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,4510000.0,Response too long
39,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"OTC_RWNEF, OTC_BAYZF, munich-re",92467#96745#97455 |
40,What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in MtCO2eq?,"0.09, 3.13, 7.64","17731#14479#1014 | none

### Input
Company name: OTC_ADDDF

| Scope 3 emissions (in tons COze)                                                   |      7.63578e+06 |

Company name: OTC_BAYZF

| Scope 3: Indirect emissions from our upstream and downstream value chains (by materiality) |      9.72 |

Company name: munich-re

| Scope 3                    | Thereof financed GHG emissions                                                              | 3113093 |

Company name: OTC_ESOCF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: NYSE_AZ

| Scope 3                    | Thereof financed GHG emissions                                                              | 3113093 |

Company name: OTC_ADDDF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: OTC_BAYZF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: munich-re

| Scope 3                    | Thereof financed GHG emissions                                                              | 3113093 |

Company name: OTC_ESOCF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: NYSE_AZ

| Scope 3                    | Thereof financed GHG emissions                                                              | 3113093 |

Company name: OTC_ADDDF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: OTC_BAYZF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: munich-re

| Scope 3                    | Thereof financed GHG emissions                                                              | 3113093 |

Company name: OTC_ESOCF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: NYSE_AZ

| Scope 3                    | Thereof financed GHG emissions                                                              | 3113093 |

Company name: OTC_ADDDF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: OTC_BAYZF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: munich-re

| Scope 3                    | Thereof financed GHG emissions                                                              | 3113093 |

Company name: OTC_ESOCF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name: NYSE_AZ

| Scope 3                    | Thereof financed GHG emissions                                                              | 3113093 |

Company name: OTC_ADDDF

| Scope 3                    | Thereof financed GHG emissions                                                              | 71.04 |

Company name:"
41,What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,33.09,Response too long
42,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,OTC_SU,Response too long
43,What are the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"23800000.0, 9720000.0, 3130824.0",92467#9745#96745 |
44,Which company has the smallest water consumption from 2022 to 2023 among the following companies in millions of cu.m?,munich-re,OTC_BAYZF
45,What is the highest energy consumed in the last 2 years among the following companies in million kWh?,166000.0,No answer in the response
46,Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,OTC_ESOCF,Response too long
47,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2eq?,"OTC_RWNEF, munich-re",Response too long
48,What are the 4 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"5100000.0, 1120000.0, 37172.0, 30490.0",Response too long
49,What are the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"71.04, 23.8, 9.72, 3.13",92467#96745#94182#90818 |
50,Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"NASDAQ_DASTY, munich-re",Response too long
51,What is the lowest energy consumption over the last 2 years among the following companies in MWh?,71218.0,Response too long
52,What are the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"33090.0, 250916.0, 1124327.0, 12241000.0, 157000000.0",Response too long
53,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, munich-re",Response too long
54,What are the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"1110000.0, 200000.0",Response too long
55,Which companies have the 5 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2-eq?,"NASDAQ_DASTY, munich-re, OTC_ADDDF, OTC_RWNEF, OTC_BAYZF",Response too long
56,What are the top 4 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in GWh?,"35056.0, 12241.0, 1124.33, 250.92","12241#13253#13323#9324 |

### Instruction
Given a table and a list of texts in the following, what is the answer to the question? Please predict the answer and store it in a variable named ‘{answer}‘. If there are multiple values, separate them using the ’#’ symbol. If the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. The value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. For non-numerical values, set the value of ‘{scale}‘ to ’none’. Finally, present the final answer in the format of """
57,Which companies have the top 5 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"munich-re, OTC_BAMGF, OTC_BAYZF, OTC_CRERF, OTC_ESOCF","OTC_BAYZF#OTC_CRERF#OTC_ESOCF#OTC_BAMGF#OTC_BAYZF#OTC_CRERF#OTC_ESOCF#OTC_BAMGF

"
58,What are the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.0, 0.02",Response too long
59,What are the top 2 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in GWh?,"33.09, 250.92",Response too long
60,What are the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"4178.0, 21598.0, 33093.0, 34510000.0, 61900000.0",Response too long
61,What are the 4 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"19496.0, 30490.0, 37172.0, 142293.0",Response too long
62,What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"1110000.0, 200000.0, 142457.0",Response too long
63,Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,OTC_ADDDF,92467
64,What is the highest energy consumed in the last 2 years among the following companies in TJ?,347068.0,Response too long
65,What is the highest energy consumed in the last 2 years among the following companies in GWh?,35056.0,"33.27#33.09#33.26#31.4#31.2#3062#30486#35056#34493#31277#31.4#31.2#3062#35056#34493#31277#31.4#31.2#3062#35056#34493#31277 |

"
66,Which companies have the 2 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"NASDAQ_DASTY, OTC_ADDDF",Response too long
67,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"heidelberg-materials, deutsche-telekom-ag, OTC_SU, NASDAQ_DASTY, prosiebensat1-media",Response too long
68,Which companies have the top 4 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of cu.m?,"OTC_ESOCF, OTC_CRERF, OTC_BAYZF, OTC_BAMGF","OTC_BAYZF#OTC_CRERF#OTC_BAMGF#OTC_ESOCF |

"
69,Which companies have the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"OTC_ESOCF, OTC_BAYZF, OTC_ADDDF, axa, vivendi",Response too long
70,Which companies have the 5 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"OTC_ESOCF, OTC_RWNEF, NYSE_AZ, axa, vivendi",Response too long
71,What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in million mt CO2e?,0.02,Response too long
72,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,21600000.0,"96745#92467#97471#98975#92467#96745 |

"
73,Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,heidelberg-materials,"OTC_SU |

| Company name: OTC_SU |

| GRI                 | Indicators                                                                                 | Units                  | 2023   | 2022   | 2021   | 2020   |
|:--------------------|:-------------------------------------------------------------------------------------------|:-----------------------|:-------|:-------|:-------|:-------|
| nan                 | Estimated coverage (% waste generation)                                                    | %                      | 87%    | 86%    | 87%    | 90%    |
| 306-3               | Total waste generated                                                                      | metric tons            | 124139 | 131402 | 136816 | 125292 |
| 306-3               | Total waste generated/Turnover                                                             | metric tons/ million € | 3.46   | 3.84   | 4.73   | 4.98   |
| 306-3, 306-4, 306-5 | Non-hazardous waste generated                                                              | metric"
74,Which companies have the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"vivendi, axa",Response too long
75,Which companies have the top 5 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"prosiebensat1-media, munich-re, OTC_SU, deutsche-telekom-ag, NYSE_TTE",Response too long
76,Which companies have the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"vivendi, munich-re, OTC_ADDDF, OTC_BAYZF",770748#727100#763578#752926 |
77,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,NASDAQ_DASTY,"deutsche-telekom-ag |

### scale

none"
78,What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.2, 0.14",Response too long
79,What are the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"5100000.0, 1120000.0, 142293.0, 37172.0, 19496.0",Response too long
80,What are the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in TWh?,"0.07, 1.12, 12.24",Response too long
81,Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,prosiebensat1-media,Response too long
82,What are the top 4 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of cu.m?,"35.4, 8.2, 6.78, 5.05",5.04914e+06#4.92448e+06#4.84016e+06#4.72231e+06
83,Which company has the highest energy consumed in the last 2 years among the following companies in million kWh?,NYSE_TTE,deutsche-telekom-ag
84,What is the highest water consumption in the years 2023 and 2022 for the following companies in millions of cu.m?,45.2,4.92448e+06#5.41743e+06
85,What are the 5 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.0, 0.01, 0.14, 0.2, 1.11",Response too long
86,What is the highest energy consumed in the last 2 years among the following companies in MWh?,96407854.9,Response too long
87,What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.12, 0.14","19496#30724 |

"
