index,question,value,response
41,"For the year 2023, between Scope 1, Scope 2 and Scope 3 total emissions, what are the two lowest amounts of emissions in ascending order?","89440.0, 112792.0","305-1, 305-2 305-5 "
42,Is the value of direct Scope 1 GHG emissions greater than the Scope 3 emissions in TCO2e for the year 2023?,no,of which fuel oil 
43,What are the top two amounts of GHG Scope 2 emissions by source in TCO2e in 2022 ranked in descending order?,"50995, 49674","305-1, 305-2 305-5 "
44,What is the minimum value of the direct (Scope 1) GHG emissions from gas for the years 2020 to 2023?,38968,202232 
45,"What are the lowest values of direct (Scope 1) GHG emissions from coal for the years 2023, 2022, 2021, and 2020 in ascending order?","0.0, 0.0, 0.0, 0.0",202232 305-5 
46,What was the highest value of GHG emissions from the vehicle fleet (Scope 1) reported in the years 2020 to 2023?,73229,305-5 
47,Is the value of SF6 emissions recorded in the year 2022 higher than the one recorded in 2020?,no, 
48,What is the minimum estimated Scope 1 GHG emissions of sites out of the reporting perimeter in TCO2e for the years 2020 to 2023?,5162,202232.0 
49,"What are the total Scope 2 GHG emissions in TCO2e for the years 2023, 2022, 2021, and 2020, ranked in ascending order?","89440.0, 109730.0, 145207.0, 153115.0",202232 million
50,What was the maximum value of grid electricity (market-based) GHG emissions in TCO2e reported for the years 2020 to 2023?,70145, 
51,Is the value of the market-based renewable electricity GHG emissions in TCO2e in the year 2021 higher than the one in 2022?,no, 
52,What are the two highest values of district heating GHG emissions (in TCO2e) reported for the years 2020 to 2023 in descending order?,"14714.0, 11550.0","305-1, 305-2 305-5 "
53,Is the value of estimated Scope 2 GHG emissions out of reporting perimeter in 2021 lower than in 2023?,no, 
54,Is the value of the direct Scope 1 GHG emissions lower than the energy indirect Scope 2 GHG emissions in 2023?,no, 
55,"What was the highest amount of tCO2e emissions between Scope 1, Scope 2 and Scope 3 emissions for the year 2022?",60788549,112792 
56,"What was the lowest amount of tCO2e emissions between Scope 1, Scope 2 and Scope 3 emissions for the year 2022?",109730,112792 
57,What are the four values associated to different indirect Scope 2 emissions sources in 2020 in increasing order?,"694, 11550, 62818, 70145",Energy indirect (Scope 2) GHG emissions of which district heating of which grid electricity (market-based) of which renewable electricity (market-based) 
58,What are the top three values associated to different direct Scope 1 emissions sources in 2021 in decreasing order?,"62683, 56776, 5886","305-1, 305-2 SF6 leakage rate of which SF6 emissions of which coal of which fuel oil of which gas of which vehicle fleet "
59,Is the value of the direct (Scope 1) GHG gas emissions in TCO2e in 2021 lower than in 2020?,no,of which fuel oil 
60,What is the maximum value of direct (Scope 1) GHG emissions from coal reported in the years 2020 to 2023?,0,202232.0 
61,"What was the minimum value of the direct (Scope 1) GHG vehicle fleet emissions recorded in the years 2020, 2021, 2022, and 2023?",55598,202232 million
62,Is the value of SF6 emissions (TCO2e) reported for the year 2022 lower than the one reported in 2021?,yes, 
63,Is the target SF leakage rate of sites out of reporting perimeter in TCO2e in 2021 lower than the one in 2020?,no, 
64,What is the maximum value of the Energy indirect (Scope 2) GHG emissions in TCO2e reported for the years 2020 to 2023?,153115,5162 million
65,What is the minimum value of the GHG Scope 2 emissions from grid electricity (market-based) for the years 2020 to 2023?,39476,202232 
66,Is the value of the GHG Scope 2 market-based emissions from renewable electricity in 2021 higher than in 2020?,yes, 
67,What are the two highest values of district heating GHG emissions (in TCO2e) reported in the years 2020 to 2023 in decreasing order?,"14714.0, 11550.0","305-1, 305-2 305-5 "
68,"In ascending order, what are the values of estimated Scope 2 GHG emissions of sites out of the reporting perimeter for the years 2023, 2022, 2021 and 2020?","42961.0, 50995.0, 62818.0, 71008.0",2022 202232 2023 
69,Is the value of energy indirect Scope 2 GHG emissions lower than the other relevant indirect Scope 3 GHG emissions for the year 2023?,yes,of which grid electricity (market-based) 
70,"In descending order, what are the amounts of metric tons of the two types of non-hazardous waste management methods associated with the largest amounts of waste generated in 2023?","105593.0, 6871",124139 306-3 
71,Is the amount of generated hazardous waste higher than the amount of hazardous waste channeled according to Schneider electric in 2020?,yes,125292 
72,What is the minimum amount of hazardous waste generated in metric tons by the company from 2020 to 2023?,7573,44212.3333 million
73,"What are the amounts of non-hazardous waste generated and then recycled in metric tons for the years 2020, 2021, 2022, 2023, ranked in ascending order?","105593.0, 111567.0, 113211.0, 115550.0", 
74,What was the highest amount of hazardous waste channeled according to Schneider Electric in metric tons from the years 2020 to 2023?,8549, 
75,Is the value of non-hazardous waste reduction reported in metric tons in 2023 higher than in 2020?,yes,2023 
76,What are the two highest values of hazardous waste generated per million euros in the years 2021 and 2022 in ascending order?,"0.24, 0.3", 
77,"In 2021, is the total amount of generated hazardous waste higher than the amount of non-hazardous?",no,-126247.0 
78,What are the amounts of hazardous and non hazardous waste generated in 2021 in ascending order?,"8549, 128267",306-3 306-3 
79,Is the amount of hazardous waste generated in metric tons in 2021 lower than in 2020?,no,2020 
80,What was the highest amount of non-hazardous waste generated that was reused or recycled from the years 2020 to 2023?,115550,2023 
81,Is the value of non-hazardous waste reduction reported in metric tons for the year 2023 higher than the one reported in 2021?,yes,2023 
82,"What are the top four values of hazardous waste generated per million euros in 2023, 2022, 2021 and 2020, ranked in descending order?","0.3, 0.3, 0.24, 0.21",306-3 
83,"What are the numbers of 'Waste-to-Resource' sites reported for the years 2020, 2021, 2022, and 2023, ranked in ascending order?","120.0, 126.0, 127.0, 137.0",2023 
84,Is the value of hazardous waste generated lower than the amount of hazardous waste channeled according to Schneider in the year 2020?,no, 
85,"In 2022, is the amount, in metric tons, of non-hazardous waste incinerated with energy recovery higher than the non-hazardous waste incinerated without energy recovery or landfilled?",yes,2022 
86,Is the intensity of GHG emissions (Scope 1+2) of operated Upstream oil/gas activities greater than the intensity of emissions on equity basis Upstream oil/gas activities for the year 2023?,no,-1936.0 
87,What are the lowest two amounts of intensity emissions in 2022 in descending order in kg CO2e?,"19, 17",88 
88,Is the intensity of GHG emissions (Scope 1+2) of upstream oil & gas activities on an equity basis in 2023 greater than the same metric in 2022?,no,1936.0 
89,Is the intensity of GHG emissions (Scope 1+2) of operated upstream oil & gas activities lower than the intensity of GHG emissions (Scope 1+2) of upstream oil & gas activities on an equity basis for the year 2022?,yes, 
90,"What is the minimum intensity of GHG emissions (Scope 1+2) of upstream oil and gas activities on an equity basis (kg CO2e/boe) for the years 2023, 2022, and 2021?",18,87 90* (89) 
91,What are the three lowest values of methane emissions intensity from operated oil and gas activities over the years 2021 to 2023 in ascending order?,"0.11, 0.11, 0.13", 
92,"What is the maximum intensity of methane emissions from operated oil and gas facilities (Upstream) recorded in the years 2023, 2022, 2021, and 2015?",0.23,100(b) 2015 million
93,Is the intensity of methane emissions from operated oil and gas facilities (Upstream) in 2021 greater than in 2023?,yes, 
94,Is the intensity of GHG emissions (Scope 1+2) of upstream oil & gas activities on an equity basis for the years 2021 smaller than in 2022?,no,2021 
95,"What is the minimum intensity of methane emissions from operated oil and gas facilities (Upstream) in the years 2023, 2022, 2021, and 2015?",0.11,100(b) 2015 million
96,"What are the four values of methane emissions intensity from operated oil and gas activities for the years 2015, 2021, 2022, and 2023, ranked in descending order?","0.23, 0.13, 0.11, 0.11",100(b) thousand
97,"What are the top three values of the intensity of methane emissions from operated oil and gas activities for the years 2015, 2021, and 2023, ranked in descending order?","0.23, 0.13, 0.11",100(b) 87 percent
98,Is the net primary energy consumption (in TWh) recorded in the year 2022 higher than the one recorder in 2023?,yes, 
99,"What are the top two values of renewable energy consumption (TWh) for the years 2023, 2020, 2021, and 2022 when ranked in descending order?","2.0, 1.0",2023.0 
100,Is the value of net primary energy consumption in TWh in 2021 lower than in 2023?,yes,10 
101,"In 2020, in descending order, what are the two values associated with sites with an auditable energy management system and sites with annual consumption > 50 ktoe?","42, 26",Renewable energy consumption(g) (TWh) 
102,Is the value of LNG sales lower than the production of biofuels in Mt in 2022?,no, million
103,"What is the minimum number of operated sites with annual consumption greater than 50 ktoe in the years 2020, 2021, 2022, and 2023?",42,141.0 
104,What are the four lowest values of the Global Energy Efficiency Indicator (GEEI) from the years 2019 to 2023 in ascending order?,"85.1, 86.4, 87.0, 88.0",Gas(b) (%) Low-carbon energies(c) (%) Petroleum products(a) (%) 
105,What was the maximum value of the Global Energy Efficiency Indicator (GEEI) from the years 2015 to 2023?,90.8,-92.0 
106,Is the value of the Global Energy Efficiency Indicator (GEEI) in 2019 higher than the one in 2020?,no,2019 
107,What are the two highest values in descending order of the Global Energy Efficiency Indicator (GEEI) from the years 2015 to 2022?,"90.8, 90.2",Gas(b) (%) Petroleum products(a) (%) 
108,Is the value of the Global Energy Efficiency Indicator (GEEI) in 2015 lower than in 2019?,no,2015 
109,"What are the values of net primary energy consumption (TWh) from 2015 to 2023, ranked in ascending order?","147.0, 148.0, 153.0, 157.0, 160.0, 166.0",157.0 60.0 percent
110,Is the number of operated sites with annual consumption greater than 50 ktoe in 2020 lower than in 2021?,yes,2020 
111,What is the minimum value of the Global Energy Efficiency Indicator (GEEI) from the years 2015 to 2023?,85.1,111.0 
112,Is the value of the Global Energy Efficiency Indicator (GEEI) for the years 2020 higher than the one in 2021?,yes,10 
113,What are the amounts of the Global Energy Efficiency Indicator (GEEI) from the years 2015 to 2023 when ranked in descending order?,"90.8, 90.2, 88.0, 87.0, 86.4, 85.1",153 157.0 65 86.4 million
114,"What are the values of the Global Energy Efficiency Indicator (GEEI) from 2015 to 2023, ranked in ascending order, considering only the years 2015, 2019, 2020, 2021, 2022, and 2023?","85.1, 86.4, 87.0, 88.0, 90.2, 90.8",153 157.0 86.4 percent
115,"What are the three values of particulate matter emissions, SO2 emissions, and NOx emissions for the year 2021 in ascending order?","3.8, 16.0, 58.0",13.7 
116,What is the maximum offshore continuous water discharge of hydrocarbon content recorded from 2019 to 2023?,13.7,63.6667 
117,What is the minimum percentage of sites that met the target for offshore discharges quality (30 mg/l) from 2019 to 2023?,92,39.0 percent
118,Is the value of onshore continuous water discharge of hydrocarbon content in mg/l in 2020 higher than in 2022?,yes, 
119,Is the amount of fresh water withdrawals excluding open loop cooling water lower than the amount of fresh water withdrawal in water stress area for the year 2021?,no,16 
120,Is the amount of NOx emissions in 2021 smaller than the amount of NMVOC emissions in 2021?,no, million
121,What are the three lowest values of offshore continuous water discharges measured in mg/l from 2020 to 2023 in ascending order?,"11.6, 12.8, 12.9",Total particulate matters 
122,What is the maximum percentage of sites that met the target for offshore discharges quality (30 mg/l) from 2019 to 2023?,100,227.0 percent
123,Is the value of onshore continuous water discharges in 2019 greater than in 2022?,no, 
124,"What are the two values of the lifecycle carbon intensity of energy products in 2023 and 2022, ranked in descending order?","88.0, 87.0",87 88 
125,Is the intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities in 2023 lower than in 2015?,yes, 
126,"What are the ranked values of the intensity of GHG emissions (Scope 1+2) of operated upstream facilities for the years 2023, 2022, 2021, and the base year 2015, when the values are sorted in ascending order?","17.0, 17.0, 17.0, 21.0",100(b) 2015 87 
127,"What is the minimum value of indirect GHG emissions in Mt CO2e for the year 2015 among the categories ""of which Europe: EU 27 + Norway + UK + Switzerland,"" ""Oil,"" and ""Gas""?",60,410 
128,"What are the two highest values of other indirect GHG emissions in Mt CO2e for the year 2023 from the categories Gas, Oil, and Biofuels in decreasing order?","227, 124", 
129,"What is the maximum value of other indirect GHG emissions in Mt CO2e for the year 2015 among Biofuels, Europe (EU 27 + Norway + UK + Switzerland), and Gas?",256,606.0 
130,"What are the top three values of other indirect GHG emissions in 2022 from the rows ""Biofuels"" ""Oil,"" and ""Europe: EU 27 + Norway + UK + Switzerland,"" ranked in descending order?","254, 191, 4", 
131,Is the value of Scope 3 emissions in 2015 lower than the oil emissions in the same year?,no,-60.0 
132,"What are the top three values from the 2015 column for the rows ""Scope 3,"" ""Oil,"" and ""Gas"" ranked in descending order?","410.0, 350.0, 60.0", 
133,"What are the highest two values of the GHG emissions from gas in the years 2023, 2022, 2021, 2015 when ranked in descending order?","130, 124",350 
134,What are the two lowest values between gas emissions and petroleum products emissions for the year 2015 in ascending order?,"60.0, 350.0",256 
135,"What are the top four values of indirect GHG emissions from gas in the years 2023, 2022, 2021 and 2015, when ranked in descending order?","130.0, 124.0, 115.0, 60.0",355 
136,Is the value of the indirect GHG emissions from gas in 2015 lower than the one in 2022?,yes,94.0 
137,"What are the four values of indirect GHG emissions from gas for the years 2015, 2021, 2022, and 2023 in ascending order?","60.0, 115.0, 124.0, 130.0",350 410 
138,"What is the maximum value of indirect GHG emissions in Mt CO2e for the year 2015 between the emissions from Europe (EU 27 + Norway + UK + Switzerland), and emissions from petroleum products?",350,760.0 
139,"What is the maximum value of indirect GHG emissions in Mt CO2e for the year 2015 among the categories ""of which Europe: EU 27 + Norway + UK + Switzerland,"" ""Petroleum products,"" and ""Gas""?",350,666.0 
140,"What is the maximum value of indirect GHG emissions in Mt CO2e for the year 2015 among Petroleum products, and Gas?",350,410 
141,Is the value of indirect european GHG emissions in Mt CO2e for the year 2019 higher than the amount of petroleum products emissions in the same year?,no,178.0 
142,"In ascending order, what are the four lowest values of indirect GHG emissions in Mt CO2e for the year 2023 from the categories “Biofuels”, ""Gas,"" ""of which Europe: EU 27 + Norway + UK + Switzerland,"" and ""Petroleum products""?","4.0, 124.0, 216.0, 227.0", 
143,What are the two values of indirect GHG emissions in Mt CO2e for the year 2023 between gas and biofuels in increasing order?,"4.0, 124.0",216 355 million
144,Is the value of indirect GHG gas emissions greater than the emissions due to petroleum products in 2019?,no,0.0 million
145,"What is the minimum value of indirect GHG emissions in Mt CO2e for the year 2015 among Europe emissions, petroleum emissions and gas emissions?",60,-154.0 million
146,"What is the maximum value of indirect GHG emissions in Mt CO2e for the year 2023 among Europe emissions, petroleum emissions, gas emissions and biofuels emissions?",227,139.0 million
147,Is the value of the indirect european GHG emissions greater than the amount of gas emissions in 2019?,yes, million
148,Is the amount of indirect GHG biofuel emissions smaller than the amount of gas emissions in 2022?,yes, million
149,"In decreasing order, what are the top six ranked estimates of indirect GHG emissions (in Mt CO2e) for the categories of fuel and energy related activities, upstream transportation, downstream transportation, end of life treatment, upstream leased assets, and processing of sold products for the year 2022?","11.0, 9.0, 6.0, 3.0, 1.0, 0.0", 
150,Is the estimate of indirect GHG emissions in Mt CO2e from capital goods lower than the estimate for fuel/energy related activities in the year 2023?,yes, 
151,Is the estimate of indirect GHG emissions from fuel/energy related activities for the year 2022 lower than in 2023?,yes, 
152,What are the two estimates of indirect GHG emissions for upstream transportation between 2022 and 2023 in increasing order?,"8.0, 9.0",- 2022 30 Cat 5 Waste generated in operations(e) 
153,"Is the estimate of indirect GHG emissions for the category ""upstream leased assets"" in the year 2022 lower than in 2023?",no, 
154,"What is the minimum estimate of indirect GHG emissions in Mt CO2e for the year 2022 among purchased goods and services, fuel-and-energy-related activities, upstream transportation, upstream leased assets, processing of sold products, and end of life treatment of sold products?",0,389*(381) 
155,What are the highest 5 estimates of MtCO2e in increasing order in 2023?,"5, 8, 10, 27, 355",Cat 5 Waste generated in operations(e) 
156,Is the value of indirect GHG emissions in Mt CO2e for end of life treatment emissions greater than the value of the processing of sold products emissions in the year 2023?,yes, 
157,What are the two values of indirect GHG emissions in Mt CO2e for end of life treatment of sold products and upstream transportation in 2022 in decreasing order?,"11.0, 9.0", 
158,Is the estimate of indirect GHG emissions from upstream transportation in Mt CO2e for the year 2022 higher than in 2023?,yes, 
159,Is the value of the indirect GHG emissions in 2022 from downstream transportation lower than from upstream transportation?,yes, 
160,Is the value in Mt CO2e of the indirect GHG emissions for end of life treatment of sold products higher than for generated waste for the year 2023?,yes,355 
161,What are the two values of hazardous waste and non-hazardous waste processed in kilotonnes in 2019 when ranked in ascending order?,"288.0, 375.0",375 662 
162,Is the value of the total volume of processed waste in 2020 greater than the hazardous waste in 2020?,yes,-198.0 
163,What is the minimum volume of non-hazardous waste processed by the company from 2019 to 2023?,303,452.0 
164,What are the three smallest values of hazardous waste processed in the years 2019 to 2022 in increasing order?,"165.0, 176.0, 198.0",2019 
165,What was the highest volume of non-hazardous waste processed by the company in the years 2019 to 2023?,375,662 
166,Is the amount of hazardous waste processed in kilotons in 2022 higher than in 2023?,no, 
167,Is the volume of waste processed in 2019 for non-hazardous waste greater than for hazardous waste?,yes, 
168,Is the value of the processed volume of non hazardous waste in 2020 smaller than the amount of hazardous waste in 2020?,no,-198.0 
169,Is the value of the processed volume of non hazardous waste greater than the hazardous waste in the year 2021?,yes,-165.0 
170,"What are the two values of processed waste in increasing order in 2023, specifically for hazardous waste and non-hazardous waste?","202.0, 319.0",319 
171,Is the volume of non-hazardous waste processed in the year 2019 smaller than the volume processed in 2022?,no, 
172,What was the highest volume of hazardous waste processed by the company in the years from 2019 to 2023?,288,375 
173,What is the minimum volume of non-hazardous waste processed by the company from 2019 to 2023?,303,452.0 
174,Is the amount of hazardous waste processed in kilotons for the year 2020 higher than for 2023?,no,-198.0 
175,"What are the lowest three values of energy consumption (Scopes 1 and 2) from the years 2019, 2021, and 2023 in increasing order?","26199.0, 30486.0, 35056.0",Staff costs 
176,"What are the top three percentages of logistic emissions from the years 2019, 2021, and the latest available year, ranked in descending order?","39.36, 33.27, 33.2",33.2 39.36 percent
177,"What is the maximum energy consumption (in million kWh) recorded in the years 2019, 2021, and 2023?",35056,33.2 39.36 96.5 million
178,What are the top two values of energy consumption (MWh) for the years 2022 and 2023 in decreasing order?,"82766.0, 71218.0",31.4 million
179,Is the energy consumption in MWh for the year 2022 lower than for 2023?,no,2022 million
180,Is the quantity of carbon credits acquired during the year in 2022 lower than in 2023?,yes,2022 million
181,"What are the energy consumption values in MWh for the years 2023 and 2022, ranked in ascending order?","71218.0, 82766.0",671 673 
182,What is the lowest carbon intensity in millions of euros of revenue IFRS reported in the years 2023 and 2022?,31.2, million
183,Is the carbon intensity per employee (tCO2eq/employee) in 2023 greater than in 2022?,no,2023 
184,What are the top two values for carbon intensity per employee (tCO2eq/employee) from the years 2022 and 2023 when ranked in descending order?,"8.2, 8.1", million
185,"What are the quantities of carbon credits acquired during the years 2022 and 2023, ranked in ascending order?","671.0, 673.0",673 thousand
186,Is the quantity of carbon credits acquired during the year 2023 greater than in 2022?,yes,-1991.6 million
187,Is the quantity of carbon credits acquired during the year in 2022 lower than in 2023?,yes,2022 million
188,Is the total weight of waste (in tons) for the year 2022 higher than for the year 2023?,yes,-700.5 
189,"What are the weights of ordinary waste in tons for the year 2022 and 2023, ranked in descending order?","1274.0, 874.0",1321.5 
190,Is the weight of electrical waste in tons recorded in the year 2022 smaller than the weight recorded in 2023?,yes, million
191,"What are the weights of electrical waste in tons for the years 2022 and 2023, ranked in ascending order?","47.5, 57.3",1321.5 
192,What is the maximum weight of collected electric waste in tons reported for the years 2019 to 2023?,57.3, 
193,Is the weight of collected electric waste smaller than the weight of ordinary waste in tons reported for the year 2023?,yes, 
194,What is the highest value of CO2 emissions between different business lines in 2023?,7.9, 
195,What is the lowest value of CO2 emissions between different business lines in 2023?,0.2,353640 
196,What is the highest energy consumption by source in 2021?,353640,565 
197,Is the value of market based greater than location based CO2 emissions from external electrical power and thermal energy production per tonne of cementitious material in 2023?,yes, 
198,Is the amount of absolute energy consumption in TJ of cement higher than the amount of energy consumption due to clinker production in 2022?,yes,-4.2 
199,Is the value of net absolute CO2 emissions (Scope 1) lower than the gross absolute CO2 emissions recorded in 2022?,yes,9524.8 percent
200,What has been the raw highest change for water related indicators?,-9.3,-13.2 percent
201,Is the value for water intensity in 2023 lower than in 2022?,yes,432730 million
202,What are the two highest values of group total consumption of energy and total indirect consumption of energy in 2023 in descending order?,"14715.0, 377.0",14334 377 
203,"What is the minimum fully consolidated consumption of energy (in TJ) for the years 2021, 2022 and 2023?",13691,14447 million
204,"What are the energy intensity percentages from renewable sources for group and fully consolidated scenarios in 2023, ranked in ascending order?","9.76, 9.92",1.2 9.76 percent
205,"What is the maximum energy intensity (in TJ/€mln) recorded in the years 2021, 2022, and 2023?",2.1,1.2 9.76 
206,Is the group total direct consumption of energy (in TJ) for the year 2022 greater than the year 2023?,yes, 
207,"Independently of group or full consolidated total, what are the top five values of total indirect consumption of energy (in TJ) from the years 2021 to 2023, ranked in descending order?","696.0, 692.0, 380.0, 377.0, 366.0",692 million
208,Is the fully consolidated total consumption of energy (in TJ) in the year 2022 lower than the year 2023?,no, million
209,"What is the minimum value between total, direct and indirect consumption of energy of the group in 2022?",696,-15969.0 
210,"In 2023, what are the top three values obtained from ranking the total consumption of energy, total direct consumption of energy, and total indirect consumption of energy in descending order for the group?","14715.0, 14334.0, 377.0",Total direct consumption of energy Total indirect consumption of energy 
211,Is the consumption of fully consolidated energy in TJ in 2023 lower than in 2021?,no, million
212,Is the percentage of group energy from renewable sources higher than full consolidated energy from renewable sources in 2023?,no,97.54 percent
213,"What is the minimum energy intensity (in TJ/€mln) recorded in the years 2021, 2022, and 2023?",1.2,1.2 14715 9.76 
214,Is the value of the group total direct consumption of energy greater than the value of the group total indirect consumption of energy for the year 2021?,yes,13479.0 
215,"What is the maximum energy intensity (in TJ/€mln) recorded between the years 2021, 2022, 2023?",2.1,9.76 
216,Is the value of the total indirect consumption of energy in 2023 lower than the electricity consumed from renewable sources in 2023 for the group?,no,-2362.0 million
217,What is the minimum amount of fully consolidated electricity consumed from the grid (in MWh) across the years 2021 to 2023?,35329,40508.0 million
218,"In increasing order, what are the three smallest values of fully consolidated electricity self-produced from renewable sources (in MWh) for the years 2021, 2022, and 2023?","298.9, 365.2, 384.3", - 1977 298.9 384.3 million
219,What is the highest group total indirect consumption of energy (in MWh) recorded in the years 2021 to 2023?,78551,384.3 
220,Is the electricity consumed from the grid in MWh from the group greater than the one consumed from fully consolidated scenarios in 2023?,yes,2707.0 million
221,"What are the two values of group thermal energy consumed in MWh for the years 2022 and 2023, in descending order?","10066.0, 1977.0",10066 1977 365.2 384.3 million
222,Is the amount of consumed energy produced from renewable sources in MWh for the year 2023 lower than in 2022?,yes,2023 million
223,"What are the three lowest values of electricity consumption from the grid, thermal energy consumed, and electricity self-produced from renewable sources in MWh for the year 2023 in ascending order?","384.3, 1977.0, 38134.0",Thermal energy consumed 
224,Is the amount of full consolidated electricity consumed from the grid in MWh for the year 2021 smaller than in 2023?,no,37975 million
225,What is the highest amount of group electricity self-produced from renewable sources (in MWh) recorded in the years 2021 to 2023?,384.3,4384.3 million
226,"What is the minimum full consolidated total indirect consumption of energy (in MWh) recorded in the years 2021, 2022, and 2023?",37789, - 10066 1977 298.9 365.2 384.3 million
227,Is the group total electricity consumed from the grid in MWh in 2023 greater than in 2022?,no,40496 million
228,Is the value of location-based group total emissions for the year 2022 lower than market-based group total emissions for the same year?,no, percent
229,What is the fully consolidated minimum value of location-based total emissions recorded in the years 2021 to 2023?,2355.9,5998.4 million
230,"Independently on group or full consolidated, what are the six values of market-based total emissions from the years 2021 to 2023, when ranked in ascending order?","2403.9, 2662.4, 3640.5, 4383.3, 6340.2, 6446.5", percent
231,Is the value of the market-based group emissions higher than the one for full consolidated scenarios in 2021?,yes, 
232,"What are the two highest emission intensity values (in kt CO2 eq/€mln) for Market-based Scope 1, 2 and 3 from the years 2022 and 2023 in descending order?","156.5, 125.4",2023 
233,Is the emission intensity (in kt CO2 eq/€mln) for Market-based Scope 1 and 2 for the year 2022 smaller than in 2021?,yes, 
234,Is the value of location-based group total emissions lower than market based emissions for the year 2021?,no,2664.5 percent
235,Is the group total emissions location based (in kt CO2eq) for the year 2021 lower than the one for the year 2023?,yes, 
