index,question,value,response
19,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"1900000.0, 31363.5, 21817.5"," 31774.00, 30953.00, 21856.00"
20,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,5.72, 11.52
21,Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"NYSE_TTE, OTC_SU"," nyse_tte, otc_su"
22,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tons CO2e?,7799933.0, 6059047.00
23,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,OTC_ESOCF, munich-re
24,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2eq?,43790000.0, 43790.00
25,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,3.64, -3.64
26,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in TCO2eq?,12180000.0, 186894.00
27,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,7.64, 1.63%
28,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,8.55, 10.79
29,Which company has the highest percentage of hazardous compared to non-hazardous waste produced in 2023 among the following companies?,NYSE_TTE, nyse_tte
30,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,vivendi, vivendi
31,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in Million metric tons of CO2 equivalents?,1.9, 38.38
32,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2e?,1900000.0, 38378.50
33,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,286.57, 286.57
34,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in t?,OTC_BAMGF, otc_bamgf
35,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in TCO2eq?,3086777.0, 3086777.00
36,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,121.61, 123.87
37,What are the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"38.77, 7.92"," 38.76, 6.10."
38,Which companies have the top 2 highest values of average energy consumed in the last 3 years (sorted in descending order) among the following companies in GWh?,"heidelberg-materials, deutsche-telekom-ag"," deutsche telekom ag, gri"
39,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in Million metric tons of CO2 equivalents?,axa, otc_bayzf
40,What is the average percentage of energy consumption from renewable sources in 2022 among the following companies?,33.66, 33.66
41,Which companies have the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,"NYSE_TTE, heidelberg-materials"," nyse_tte, heidelberg-materials"
42,Which companies have the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in million mt CO2e?,"vivendi, munich-re, OTC_RWNEF"," vivendi, munich-re, otc_rwnef"
43,Which companies have the top 3 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"OTC_ESOCF, OTC_CRERF, munich-re"," otc_esocf, otc_crerf"
44,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2e?,OTC_BAYZF, munich-re
45,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2eq?,"OTC_BAYZF, axa, vivendi"," vivendi: 10759.50, otc_bayzf: 1.90"
46,Which companies have the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,"munich-re, OTC_BAMGF"," munich-re, otc_bamgf"
47,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in million cubic meters?,40.3, 40.30
48,What are the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"282307.0, 1162801.5, 12747000.0"," 282307.00, 1162802.00, 12746000.00"
49,What is the total energy consumption generated by the following companies in the last 2 years in GWh?,25714.33, 25614.33 gwh
50,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,5.6, 5.60
51,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in million cubic meters?,OTC_ESOCF, otc_esocf
52,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,8.45, -31.06
53,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,munich-re, munich-re
54,Which company has the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,prosiebensat1-media, prosiebensat.1 media
55,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,83.7, 351.39
56,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in kt?,"3.75, 15.66"," 0.05, 0.05"
57,Which company has the highest percentage of hazardous waste generated in 2023 among the following companies?,NYSE_TTE, nyse_tte
58,Which company has the highest average energy consumed in the last 2 years among the following companies in million kWh?,OTC_DPSGY, otc_dpsgy
59,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,13.17, 15.99
60,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,84.0,"to determine the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the companies listed, we need to extract the relevant data from each company's table.

1. **nasdaq_dasty**:
   - share of renewable energy in 2023: 84%
   - share of renewable energy in 2022: 84%
   - maximum"
61,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,OTC_RWNEF, otc_rwnef
62,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,NYSE_AZ, otc_bayzf
63,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in t?,873133.5, 873133.50
64,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,12.75, 3086777.00
65,What are the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,"378000.0, 47652.0"," 378000.00, 8000.00"
66,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"NASDAQ_DASTY, munich-re, deutsche-telekom-ag"," nasdaq_dasty, deutsche-telekom-ag, munich-re"
67,Which company has the lowest total energy consumption over the last 2 years among the following companies in MWh?,NASDAQ_DASTY, nasdaq_dasty
68,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"NASDAQ_DASTY, munich-re, OTC_DPSGY"," otc_dpsgy, nasdaq_dasty, munich-re"
69,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,9.35, -6.59
70,What are the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"161.5, 12.75"," 282.31, 161.50"
71,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"38378.5, 31363.5"," 43664.00, 33093.00"
72,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,83700000.0, 3086777.00
73,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,714800.0, 714800.00
74,Which company has the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,prosiebensat1-media, prosiebensat1-media
75,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in million mt CO2e?,0.36, 55.24
76,Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"NYSE_TTE, vivendi"," nyse_tte, otc_su"
77,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"OTC_BAYZF, NYSE_AZ, OTC_ADDDF"," nyse_az, otc_adddf, otc_bayzf"
78,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in MWh?,"NYSE_TTE, OTC_SU, NASDAQ_DASTY"," otc_su, nyse_tte, nasdaq_dasty"
79,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,19.65, 19.63
80,Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_RWNEF, OTC_BAYZF"," nyse_az, otc_rwnef"
81,What is the average amount of hazardous waste obtained by summing the values related to the years 2023 and 2022 among the following companies in tons?,132471.67, 131236.00
82,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,11.35, -11.66
83,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,13.55, 15.15
84,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,OTC_BAYZF, munich-re
85,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,10200000.0, 10100000.00
86,What is the highest average energy consumed in the last 2 years among the following companies in MWh?,12747000.0, 282307.00
87,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"73.65, 1.9"," 31774.00, 30953.00"
88,What are the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in MWh?,"94006047.43, 282307.0"," 282307.00, 94019.44"
89,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,358.82, 358.74
90,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in million mt CO2e?,OTC_RWNEF, otc_rwnef
91,Which companies have the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"vivendi, munich-re, OTC_BAYZF"," otc_bayzf, vivendi, munich-re"
92,What are the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in million mt CO2e?,"0.01, 0.04, 73.65"," 10.29, 11.23, 33.09"
93,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,17.8, 17.13
94,What are the top 3 highest values of average energy consumed in the last 3 years (sorted in ascending order) among the following companies in TJ?,"46580.4, 120042.0, 346689.67"," 46548.73, 120377.33, 346356.33"
95,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in million mt CO2e?,NASDAQ_DASTY, otc_rwnef
96,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_SU, otc_su
97,What is the total energy consumption generated by the following companies in the last 2 years in GWh?,2956.57, 2956.56 gwh
98,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,2.89, 4.82
99,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,OTC_BAMGF, otc_bamgf
100,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in GWh?,"prosiebensat1-media, munich-re, OTC_SU"," prosiebensat1-media, munich-re, otc_su"
101,What is the lowest total energy consumption over the last 2 years among the following companies in MWh?,153984.0, 69549.00
102,What are the top 3 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"80.6, 20.4, 0.91"," 80.60, 20.40"
103,What is the average percentage of hazardous waste generated in 2022 among the following companies?,14.5, 14.26
104,What is the highest average energy consumed in the last 2 years among the following companies in TJ?,338421.5, 355147.00
105,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,7.0, -5.91
106,Which company has the highest percentage of hazardous waste generated in 2023 among the following companies?,vivendi, gri
107,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,OTC_CRERF, otc_crerf
108,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,heidelberg-materials, vivendi
109,What is the highest average energy consumed in the last 2 years among the following companies in million kWh?,34774.5, 34724.50
110,What are the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in GWh?,"33.17, 282.31, 1162.8"," 33.18, 282.31, 1162.81"
111,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in Million metric tons of CO2 equivalents?,0.96, 3.00
112,What is the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,4.32, -21.68
113,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in Million metric tons of CO2 equivalents?,0.54, 3.00
114,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in kt?,714.8, 714.80
115,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,540925.0, 3000.00
116,Which company has the lowest total energy consumption over the last 2 years among the following companies in MWh?,prosiebensat1-media, prosiebensat1-media
117,What is the average percentage of energy consumption from renewable sources in 2023 among the following companies?,53.27, 53.25
118,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,61.05, 61.00
119,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,OTC_SU, otc_su
120,Which companies have the 2 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,"heidelberg-materials, vivendi"," vivendi, heidelberg-materials"
121,What is the highest average energy consumed in the last 2 years among the following companies in million kWh?,94006.05, 34774.50
122,Which company has the highest percentage of hazardous compared to non-hazardous waste produced in 2022 among the following companies?,vivendi, gri
123,What is the highest percentage of hazardous waste generated in 2022 among the following companies?,25.97, 7.00
124,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2eq?,OTC_ESOCF, otc_esocf
125,Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,NYSE_TTE, nyse_tte
126,What is the average percentage of energy consumption from renewable sources in 2022 among the following companies?,24.43, 25.15
127,What are the top 2 highest values of average energy consumed in the last 3 years (sorted in descending order) among the following companies in GWh?,"96302.76, 12939.0"," 12972.33, 1217.03"
128,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,23.22, 7.06
129,What are the top 3 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in MWh?,"161500000.0, 1162801.5, 76992.0"," 1162801.50, 76992.00"
130,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,OTC_ESOCF, otc_esocf
131,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,70179.96, 70113.68
132,What is the highest percentage of hazardous compared to non-hazardous waste produced in 2022 among the following companies?,35.09, 6.56
133,What is the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,12.13, -50.00%
134,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2eq?,"1900000.0, 21490.0, 10759.5"," 11228.00, 10291.00, 1.91"
135,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"munich-re, OTC_SU, deutsche-telekom-ag"," munich re, gri, deutsche telekom ag"
136,What is the average amount of hazardous waste obtained by summing the values related to the years 2023 and 2022 among the following companies in tons?,22355.67, 31680.00
137,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in MWh?,"heidelberg-materials, munich-re"," munich-re, heidelberg-materials"
138,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,OTC_RWNEF, otc_rwnef
139,Which companies have the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in kt?,"vivendi, OTC_SU"," vivendi, heidelberg-materials"
140,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"NYSE_TTE, deutsche-telekom-ag"," munich-re, nyse_tte"
141,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,873133.5, 873.14
142,Which company has the highest average energy consumed in the last 2 years among the following companies in MWh?,deutsche-telekom-ag, munich-re
143,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tons CO2e?,OTC_ADDDF, otc_adddf
144,Which company has the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,NASDAQ_DASTY, nasdaq_dasty
145,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,11.78, 11.78
146,Which companies have the top 3 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"OTC_ESOCF, OTC_BAMGF, munich-re"," otc_bamgf, otc_esocf, munich-re"
147,What is the average percentage of hazardous waste generated in 2023 among the following companies?,6.67, 6.05
148,Which company has the smallest percentage variation in water consumption from 2022 to 2023 among the following companies?,OTC_BAMGF, otc_bamgf
149,Which companies have the top 3 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TJ?,"heidelberg-materials, OTC_SU, NASDAQ_DASTY"," otc_su, heidelberg-materials, nasdaq_dasty"
150,Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"munich-re, NYSE_AZ"," munich-re, nyse_az"
151,What are the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0, 34774500.0"," 34774.50, 76992.00, 282307.00"
152,What is the highest average energy consumed in the last 3 years among the following companies in GWh?,96302.76, 12905.67
153,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in million mt CO2e?,109.3, 109.30
154,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.0, 1.9"," 1.89, 1.91"
155,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"31363.5, 1900000.0"," 1.89, 1.91"
156,What is the highest percentage of hazardous compared to non-hazardous waste produced in 2023 among the following companies?,63.32, 63.31
157,Which company has the highest percentage of hazardous compared to non-hazardous waste produced in 2022 among the following companies?,NYSE_TTE, nyse_tte
158,What are the 3 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"10759.5, 38378.5, 1900000.0"," 1.89, 1.91, 10291.00"
159,Which company has the highest average energy consumed in the last 3 years among the following companies in GWh?,heidelberg-materials, deutsche telekom ag
160,What is the lowest total energy consumption over the last 2 years among the following companies in GWh?,66.35, 66.35
161,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,OTC_DPSGY, otc_dpsgy
162,What are the top 3 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,"909727.0, 9889305.0, 20400000.0"," 909727.00, 9889305.00, 20420000.00"
163,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,OTC_ESOCF, otc_esocf
164,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag, otc_dpsgy
165,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,20.95, -20.93%
166,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in tons?,"3751.0, 15664.0"," 8.00, 44.00"
167,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,97.98, 100.78
168,What are the 3 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,"2.0, 6.16, 35.34"," 0.21, 5.76, 35.41"
169,"What is the average total water consumption across the following companies, calculated as the sum of their 2023 and 2022 consumption in m3?",33969909.0, 33.97
170,What is the average percentage of energy consumption from renewable sources in 2023 among the following companies?,24.3, 26.21
171,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59, 67.03
172,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2-eq?,OTC_ESOCF, otc_adddf
173,What is the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,67.06, 67.03
174,Which companies have the 3 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,"heidelberg-materials, OTC_SU, NYSE_TTE"," heidelberg-materials, otc_su, nyse_tte"
175,What are the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,"909727.0, 9889305.0"," 909727.00, 9889305.00"
176,What are the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"38.77, 6.1"," 38.76, 6.10"
177,What is the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,2.16, 2.16
178,What are the top 3 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TJ?,"338421.5, 4186.09, 277.17"," 4186083.40, 355147.00, 275171.20"
179,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2eq?,"NASDAQ_DASTY, axa"," nasdaq_dasty, axa"
180,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,348.65, 502.47 twh
181,Which company has the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,NASDAQ_DASTY, nasdaq_dasty
182,Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,vivendi, gri
183,What are the top 3 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"80.6, 9.89, 0.91"," 80600000.00, 9889305.00, 909727.00"
184,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,OTC_BAYZF, otc_bayzf
185,Which companies have the top 3 highest values of average energy consumed in the last 3 years (sorted in ascending order) among the following companies in TJ?,"deutsche-telekom-ag, OTC_DPSGY, heidelberg-materials"," deutsche-telekom-ag, otc_dpsgy, heidelberg-materials"
186,What is the highest percentage of hazardous waste generated in 2023 among the following companies?,38.77, 38.76
187,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,6720000.0, 6720000.00
188,Which company has the highest average energy consumed in the last 2 years among the following companies in million kWh?,heidelberg-materials, heidelberg-materials
189,What is the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,84.0, 84.00
190,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,NYSE_TTE, nyse_tte
191,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,74.7, 74.75
192,What is the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,5.53, -76.00%
193,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in TCO2eq?,vivendi, vivendi
194,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in TCO2eq?,munich-re, munich-re
195,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2eq?,959708.0, 221606.00
196,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2eq?,"4327.0, 21490.0"," 4178.00, 4476.00"
197,Which companies have the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"munich-re, axa, vivendi"," munich re, axa, vivendi"
198,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,OTC_RWNEF, otc_rwnef
199,Which companies have the top 3 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,"munich-re, OTC_BAMGF, OTC_CRERF"," munich-re, otc_bamgf, otc_crerf"
200,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,70267.6, 753654.00
201,What is the highest percentage of hazardous compared to non-hazardous waste produced in 2022 among the following companies?,54.66, 54.67
202,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,10.64, -10.64
203,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2-eq?,133030000.0, 6059047.00
204,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,13.95, -13.95
205,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"NASDAQ_DASTY, OTC_BAYZF"," otc_bayzf, nasdaq_dasty"
206,What are the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,"378000.0, 15664.0"," 378000.00, 15664.00"
207,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in TCO2eq?,824075.0, 770748.00
