index,question,value,response
16,What is the average energy consumption from 2023 to 2022 among the following companies?,55883.25,"average energy consumption: 71218.00, 82766.00, 35056.00"
17,What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,20138555.0,9145824.00
18,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,86391.5,average: 72641.50
19,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,569748.0,average amount of market-based scope 2 ghg emissions in 2022: 10.04
20,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.34,"142457.00, 0.20"
21,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,160942.0,161942.00
22,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,1609479.0,average scope 3 ghg emissions in 2023: 1519680.00
23,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.14,2.24
24,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1747525.0,total waste: 819267.00
25,What is the average energy consumption from 2023 to 2022 among the following companies?,6390.09,"average energy consumption: 12241.00, 13253.00, 33.09, 33.26"
26,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.61,0.56
27,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,2.81,the average amount of market-based scope 2 ghg emissions in 2023 among the companies is 2.91.
28,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,134270.0,134270.00
29,What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tons CO2e?,14222384.0,"total emissions in 2023: 186894 + 6059047 = 6245931.00  
total emissions in 2022: 176510 + 7799933 = 7976443.00  
sum of total ghg emissions in the last 2 years: 6245931.00 + 7976443.00 = 14212374.00  

14212374.00"
30,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tCO2e?,107124.5,"average scope 2 ghg emissions in 2023: 14249.00, 0.20"
31,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,0.56,"1.11, 14.25"
32,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,80894.5,average amount of market-based scope 2 ghg emissions in 2022:  16639.50
33,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,78353.0,average: 78653.00
34,What is the average energy consumption from 2023 to 2022 among the following companies?,722554.25,"average energy consumption: 1124327.00, 1201276.00, 250916.00"
35,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,64465.0,"total location-based scope 2 ghg emissions in 2023: 42423.00, 22042.00. sum: 64465.00"
36,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,20.38,"35.40, 45.20"
37,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2e?,214249.0,"14249.00, 0.20"
38,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in TCO2eq?,12285374.0,average ghg emissions scope 3 in 2022: 373.00
39,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.48,3.48
40,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in million mt CO2e?,39.06,average amount of ghg emissions scope 3 in 2023: 39.07
41,What is the total energy consumption generated by the following companies in the last 4 years in MWh?,622867939.0,"total energy consumption: 1124327.00, 1201276.00, 1325491.00, 1216845.00"
42,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1262293.0,143405.00
43,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,2.62,71.39
44,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2-eq?,561662.0,average: 1605.25
45,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,0.66,"1.11, 0.20"
46,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,16.76,average: 16.76
47,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,184187.0,193187.00
48,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,35.6,average scope 3 ghg emissions in 2022: 115.78
49,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,86584.5,average amount of market-based scope 2 ghg emissions in 2023: 173169.50
50,What is the total energy consumption generated by the following companies in the last 4 years in GWh?,669660.0,"total energy consumption: 12241.00, 13253.00, 13323.00, 12843.00"
51,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,2.57,average: 15.80
52,What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in tons?,658644.0,10033.00
53,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tCO2-eq?,103324.0,"sum of ghg emissions scope 2 in 2022: 3193.00, 0.10"
54,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,24569.0,average: 154.77
55,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,23.51,total water consumption average: 21.92
56,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,323.07,"total energy consumption: 0.07, 0.07"
57,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2e?,11946233.5,average scope 3 ghg emissions in 2022: 46235.00
58,What is the average energy consumption from 2023 to 2022 among the following companies?,6454.25,average energy consumption: 13982.00
59,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,78339.0,average: 78689.00
60,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,19226.07,"average: 61.90, 85.40, 33.95"
61,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,2.27,"average amount of market-based scope 2 ghg emissions in 2023: 4.51, 30.71"
62,What is the total amount of waste generated from 2022 to 2023 among the following companies?,22414.0,"total waste: 10007.00, 498.00, 521.00"
63,What is the total amount of waste generated from 2022 to 2023 among the following companies?,22824.6,"total waste generated: 1276.70, 953.10, 10007.00"
64,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,1568090.0,average scope 3 ghg emissions in 2023: 155718.50
65,What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in tons?,257521.0,total non-hazardous waste produced in 2023 and 2022: 125780.00
66,What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2-eq?,6642979.0,"total ghg emissions in the last 2 years: 186894, 176510, 3086777, 3192798. sum: 3487979.00"
67,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,3842603.0,sum: 26.42
68,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,3.87,"total ghg emissions in 2022 for otc_esocf: 3.82 mtco2eq  
total ghg emissions in 2022 for axa: 65.47 mtco2eq  

sum: 3.82, 65.47  
sum of location-based scope 2 ghg emissions in 2022: 69.29 mtco2eq"
69,What is the total amount of waste generated from 2022 to 2023 among the following companies?,256799.0,"total waste generated from 2022 to 2023 is 124139.00, 671.00."
70,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.2,"sum of ghg emissions scope 2 in 2023: 3193.00, 0.20"
71,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.12,sum of ghg emissions scope 2 in 2022: 4.24
72,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,1.31,2.23
73,What is the average amount of hazardous waste produced in the years 2023 and 2022 among the following companies in kt?,98.42,average hazardous waste: 3.88
74,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,3.96,138342.00
